2:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_functions_xpu.FunctionTests,test_get_device_properties_tensor_device
4:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_misc_xpu.MiscTests,test_const_dict_variable_python_type
6:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_local_stream_enter_exit
7:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_local_stream_nested_enter_exit
8:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_stream_backward_simple
9:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_epilogue_copy_stream_tracking
10:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_epilogue_copy_streams_inference
11:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_event_tracing
12:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_record_stream_problem_basic
13:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_stream_enter_exit
14:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_record_stream_problem_interleaved
15:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_stream_backward_sync
16:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_stream_with_mutation
17:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams,test_nested_stream_enter_exit
248:op_ut,third_party.torch-xpu-ops.test.xpu.export.test_torchbind_xpu.TestCompileTorchbind,test_compile_obj_torchbind_op_with_autocast_device_xpu_backend_aot_eager
259:op_ut,third_party.torch-xpu-ops.test.xpu.export.test_torchbind_xpu.TestCompileTorchbind,test_compile_obj_torchbind_op_with_autocast_device_xpu_backend_eager
266:op_ut,third_party.torch-xpu-ops.test.xpu.export.test_torchbind_xpu.TestCompileTorchbind,test_compile_obj_torchbind_op_with_autocast_device_xpu_backend_inductor
271:op_ut,third_party.torch-xpu-ops.test.xpu.export.test_torchbind_xpu.TestCompileTorchbind,test_export_obj_torchbind_op_with_autocast_device_xpu
359:op_ut,third_party.torch-xpu-ops.test.xpu.nn.test_convolution_xpu.TestConvolutionNN,test_Conv2d_groups_nobias
360:op_ut,third_party.torch-xpu-ops.test.xpu.nn.test_convolution_xpu.TestConvolutionNNDeviceTypeXPU,test_Conv2d_naive_groups_xpu_float16
361:op_ut,third_party.torch-xpu-ops.test.xpu.nn.test_convolution_xpu.TestConvolutionNNDeviceTypeXPU,test_depthwise_conv_64bit_indexing_xpu
362:op_ut,third_party.torch-xpu-ops.test.xpu.profiler.test_cpp_thread_xpu.CppThreadTestXPU,test_without_enable_profiler_in_child_thread_xpu
363:op_ut,third_party.torch-xpu-ops.test.xpu.profiler.test_cpp_thread_xpu.CppThreadTestXPU,test_with_enable_profiler_in_child_thread_xpu
364:op_ut,third_party.torch-xpu-ops.test.xpu.profiler.test_profiler_xpu.TestProfiler,test_disable_external_correlation
365:op_ut,third_party.torch-xpu-ops.test.xpu.profiler.test_profiler_xpu.TestProfiler,test_dynamic_toggle
377:op_ut,third_party.torch-xpu-ops.test.xpu.test_custom_ops_xpu.TestCustomOp,test_backward_dict_grad_for_nontensor
379:op_ut,third_party.torch-xpu-ops.test.xpu.test_dataloader_xpu.TestDataLoaderDeviceTypeXPU,test_nested_tensor_multiprocessing_context_forkserver_xpu
380:op_ut,third_party.torch-xpu-ops.test.xpu.test_dataloader_xpu.TestDataLoaderDeviceTypeXPU,test_nested_tensor_multiprocessing_context_spawn_xpu
381:op_ut,third_party.torch-xpu-ops.test.xpu.test_dataloader_xpu.TestDataLoaderDeviceTypeXPU,test_sparse_tensor_multiprocessing_context_forkserver_xpu
382:op_ut,third_party.torch-xpu-ops.test.xpu.test_dataloader_xpu.TestDataLoaderDeviceTypeXPU,test_sparse_tensor_multiprocessing_context_spawn_xpu
594:op_ut,third_party.torch-xpu-ops.test.xpu.test_modules_xpu.TestModuleXPU,test_cpu_gpu_parity_nn_ConvTranspose1d_xpu_complex32
599:op_ut,third_party.torch-xpu-ops.test.xpu.test_multiprocessing_xpu.TestMultiprocessing,test_integer_parameter_serialization_cpu
600:op_ut,third_party.torch-xpu-ops.test.xpu.test_multiprocessing_xpu.TestMultiprocessing,test_autograd_fine_with_spawn
601:op_ut,third_party.torch-xpu-ops.test.xpu.test_multiprocessing_xpu.TestMultiprocessing,test_cuda_bad_call
602:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_gradients_xpu.TestBwdGradientsXPU,test_fn_gradgrad_index_reduce_mean_xpu_float64
603:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_gradients_xpu.TestBwdGradientsXPU,test_fn_gradgrad_index_reduce_prod_xpu_float64
604:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_gradients_xpu.TestBwdGradientsXPU,test_inplace_gradgrad_index_reduce_mean_xpu_float64
605:op_ut,third_party.torch-xpu-ops.test.xpu.test_ops_gradients_xpu.TestBwdGradientsXPU,test_inplace_gradgrad_index_reduce_prod_xpu_float64
606:op_ut,third_party.torch-xpu-ops.test.xpu.test_optim_xpu.TestOptimRenewedXPU,test_fused_mixed_precision_hook_skips_existing_state_amsgrad_False_Adam_xpu_float32
607:op_ut,third_party.torch-xpu-ops.test.xpu.test_optim_xpu.TestOptimRenewedXPU,test_fused_mixed_precision_hook_skips_existing_state_amsgrad_True_AdamW_xpu_float32
608:op_ut,third_party.torch-xpu-ops.test.xpu.test_optim_xpu.TestOptimRenewedXPU,test_fused_mixed_precision_hook_skips_existing_state_amsgrad_True_Adam_xpu_float32
609:op_ut,third_party.torch-xpu-ops.test.xpu.test_optim_xpu.TestOptimRenewedXPU,test_fused_mixed_precision_numerics_AdamW_xpu_float32
610:op_ut,third_party.torch-xpu-ops.test.xpu.test_optim_xpu.TestOptimRenewedXPU,test_fused_mixed_precision_numerics_Adam_xpu_float32
611:op_ut,third_party.torch-xpu-ops.test.xpu.test_optim_xpu.TestOptimRenewedXPU,test_fused_mixed_precision_state_init_amsgrad_False_AdamW_xpu_float32
612:op_ut,third_party.torch-xpu-ops.test.xpu.test_optim_xpu.TestOptimRenewedXPU,test_fused_mixed_precision_state_init_amsgrad_False_Adam_xpu_float32
613:op_ut,third_party.torch-xpu-ops.test.xpu.test_optim_xpu.TestOptimRenewedXPU,test_fused_mixed_precision_state_init_amsgrad_True_AdamW_xpu_float32
614:op_ut,third_party.torch-xpu-ops.test.xpu.test_optim_xpu.TestOptimRenewedXPU,test_fused_mixed_precision_state_init_amsgrad_True_Adam_xpu_float32
615:op_ut,third_party.torch-xpu-ops.test.xpu.test_optim_xpu.TestOptimRenewedXPU,test_state_dict_with_cuda_params_Muon_xpu_float32
616:op_ut,third_party.torch-xpu-ops.test.xpu.test_optim_xpu.TestOptimRenewedXPU,test_fused_mixed_precision_hook_skips_existing_state_amsgrad_False_AdamW_xpu_float32
617:op_ut,third_party.torch-xpu-ops.test.xpu.test_prims_xpu.TestPrimsXPU,test_philox_rand_xpu_float32
618:op_ut,third_party.torch-xpu-ops.test.xpu.test_schema_check.TestSchemaCheckModeOpInfoXPU,test_schema_correctness_torch_ops_aten__flash_attention_forward_xpu_float16
619:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sparse_csr_unary_inplace_abs_xpu_complex64
620:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_autograd_dense_output_addmm_xpu_float64
621:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sparse_csr_unary_out_abs_xpu_complex64
622:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_autograd_xpu_complex128
623:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_autograd_xpu_complex64
624:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_autograd_xpu_float32
625:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_autograd_xpu_float64
626:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_errors_xpu_complex128
627:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_errors_xpu_complex64
628:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_errors_xpu_float32
629:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_errors_xpu_float64
630:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_xpu_complex128
631:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_xpu_complex64
632:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_xpu_float32
633:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_xpu_float64
634:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_zero_sized_xpu_complex128
635:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_zero_sized_xpu_complex64
636:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_zero_sized_xpu_float32
637:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCSRXPU,test_sampled_addmm_zero_sized_xpu_float64
638:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCompressedTritonKernelsXPU,test_triton_sampled_addmm_block_size_16_xpu_bfloat16
639:op_ut,third_party.torch-xpu-ops.test.xpu.test_sparse_csr_xpu.TestSparseCompressedTritonKernelsXPU,test_triton_sampled_addmm_block_size_16_xpu_float16
