| op_ut | third_party.torch-xpu-ops.test.xpu.distributed.test_c10d_ops_xccl.ProcessGroupXCCLOpTest | test_allgather_graph_replay | failed | RuntimeError: Exception in worker process: ; RuntimeError: Graph nodes cannot depend on events from outside the graph. | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.distributed.test_c10d_xccl.XCCLTraceTest | test_allgather_uneven_timing_enabled_False | failed | RuntimeError: Process 0 exited with error code 10 and exception: ; AssertionError: Scalars are not equal! ; AssertionError: Scalars are not equal! | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.distributed.test_c10d_xccl.XCCLTraceTest | test_batched_send_recv_op_sizes_per_coalesce0_timing_enabled_False | failed | RuntimeError: Process 0 exited with error code 10 and exception: ; AssertionError: Scalars are not equal! ; AssertionError: Scalars are not equal! | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.distributed.test_c10d_xccl.XCCLTraceTest | test_batched_send_recv_op_sizes_per_coalesce1_timing_enabled_False | failed | RuntimeError: Process 0 exited with error code 10 and exception: ; AssertionError: Scalars are not equal! ; AssertionError: Scalars are not equal! | XML |
| op_ut | test.distributed._composable.fsdp.test_fully_shard_comm.TestFullyShardCommunication | test_set_reduce_scatter_divide_factor | failed | Unexpected success | XML |
| op_ut | test.distributed.fsdp.test_fsdp_core.TestParityWithDDPXPU | test_mixture_of_experts_offload_false_shard_grad_op_xpu | failed | RuntimeError: Process 0 terminated or timed out after 300.0258615016937 seconds | XML |
| op_ut | test.distributed.fsdp.test_fsdp_core.TestParityWithDDPXPU | test_mixture_of_experts_with_delay_before_free_offload_false_shard_grad_op_xpu | failed | RuntimeError: Process 0 terminated or timed out after 300.02532410621643 seconds | XML |
| op_ut | test.distributed.pipelining.test_backward.StageBackwardTestsXPU | test_stage_backward_weight_shared_weights_xpu | failed | AssertionError: Tensor-likes are not close! | XML |
| op_ut | test.distributed.tensor.test_random_ops.DistTensorRandomOpCompileTest | test_compile_bernoulli | failed | RuntimeError: Process 0 exited with error code 10 and exception: ; AssertionError: Torch not compiled with CUDA enabled ; AssertionError: Torch not compiled with CUDA enabled ; AssertionError: Torch not compiled with CUDA enabled ; AssertionError: Torch not compiled with CUDA enabled | XML |
| op_ut | test.distributed.tensor.test_random_ops.DistTensorRandomOpCompileTest | test_compile_bernoulli_float | failed | RuntimeError: Process 0 exited with error code 10 and exception: ; AssertionError: Torch not compiled with CUDA enabled ; AssertionError: Torch not compiled with CUDA enabled ; AssertionError: Torch not compiled with CUDA enabled | XML |
| op_ut | test.distributed.tensor.test_random_ops.DistTensorRandomOpCompileTest | test_compile_multiple_random_ops | failed | RuntimeError: Process 0 exited with error code 10 and exception: ; AssertionError: Torch not compiled with CUDA enabled ; AssertionError: Torch not compiled with CUDA enabled ; AssertionError: Torch not compiled with CUDA enabled ; AssertionError: Torch not compiled with CUDA enabled | XML |
