-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::add        12.78%     123.188us        24.59%     236.960us     236.960us       7.520us        96.91%       7.520us       7.520us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       7.520us        96.91%       7.520us       7.520us             1  
                                            aten::copy_        13.30%     128.209us        64.65%     623.009us     623.009us       0.240us         3.09%       0.240us       0.240us             1  
                 Memcpy M2D (MEMORY(Unknown) -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us       0.240us         3.09%       0.240us       0.240us             1  
                                               aten::to         2.11%      20.310us        75.13%     724.018us     724.018us       0.000us         0.00%       0.240us       0.240us             1  
                                         aten::_to_copy         5.41%      52.104us        73.02%     703.708us     703.708us       0.000us         0.00%       0.240us       0.240us             1  
                                    aten::empty_strided         2.97%      28.595us         2.97%      28.595us      28.595us       0.000us         0.00%       0.000us       0.000us             1  
                                     urEnqueueUSMMemcpy        44.00%     423.995us        47.35%     456.340us     456.340us       0.000us         0.00%       0.000us       0.000us             1  
                                zeMemGetAllocProperties         0.24%       2.313us         0.24%       2.313us       2.313us       0.000us         0.00%       0.000us       0.000us             1  
                                          zeEventCreate         0.58%       5.595us         0.58%       5.595us       5.595us       0.000us         0.00%       0.000us       0.000us             1  
                          zeCommandListAppendMemoryCopy         2.54%      24.437us         2.54%      24.437us      24.437us       0.000us         0.00%       0.000us       0.000us             1  
                                 zeEventHostSynchronize         4.27%      41.154us         4.27%      41.154us      20.577us       0.000us         0.00%       0.000us       0.000us             2  
                       urEnqueueKernelLaunchWithArgsExp         5.16%      49.698us        11.81%     113.772us     113.772us       0.000us         0.00%       0.000us       0.000us             1  
                               zeKernelSetArgumentValue         0.49%       4.764us         0.49%       4.764us       1.588us       0.000us         0.00%       0.000us       0.000us             3  
                                   zeKernelSetGroupSize         0.06%       0.559us         0.06%       0.559us       0.559us       0.000us         0.00%       0.000us       0.000us             1  
                                       zeEventHostReset         0.05%       0.462us         0.05%       0.462us       0.462us       0.000us         0.00%       0.000us       0.000us             1  
                        zeCommandListAppendLaunchKernel         6.05%      58.289us         6.05%      58.289us      58.289us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 963.672us
Self XPU time total: 7.760us

