datatype: torch.float16 ; i: 0
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::matmul         0.02%     631.446us         2.99%      76.011ms     336.330us       0.000us         0.00%      31.378ms     138.842us           226  
                                           aten::linear         0.01%     266.147us         1.69%      42.914ms     190.729us       0.000us         0.00%      31.367ms     139.410us           225  
                                               aten::mm         1.09%      27.552ms         1.60%      40.585ms     180.376us      31.367ms        75.29%      31.367ms     139.410us           225  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      31.364ms        75.28%      31.364ms     138.779us           226  
                                            aten::copy_         2.56%      65.052ms         3.56%      90.438ms     428.618us       2.205ms         5.29%       2.205ms      10.449us           211  
                                               aten::to         0.01%     168.398us         1.70%      43.153ms     156.919us       0.000us         0.00%       2.146ms       7.805us           275  
                                         aten::_to_copy         0.02%     462.538us         1.69%      42.984ms     213.852us       0.000us         0.00%       2.146ms      10.679us           201  
                                              aten::cat         0.82%      20.842ms         1.36%      34.642ms     262.442us       1.810ms         4.34%       1.810ms      13.710us           132  
at::native::xpu::CatArrayBatchedCopy<at::native::xpu...         0.00%       0.000us         0.00%       0.000us       0.000us       1.777ms         4.26%       1.777ms      13.883us           128  
                                              aten::mul         4.50%     114.123ms         5.65%     143.337ms     487.540us       1.503ms         3.61%       1.503ms       5.111us           294  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.077ms         2.58%       1.077ms      16.315us            66  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.052ms         2.53%       1.052ms      15.704us            67  
                                              aten::add         0.10%       2.586ms         0.28%       7.026ms      35.847us       1.013ms         2.43%       1.013ms       5.171us           196  
                                             aten::mean         2.22%      56.295ms         2.63%      66.759ms       1.027ms     901.120us         2.16%     901.120us      13.863us            65  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us     901.120us         2.16%     901.120us      13.863us            65  
                                             aten::topk         2.66%      67.469ms         3.14%      79.654ms      79.654ms     751.040us         1.80%     751.040us     751.040us             1  
