dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,Qwen/Qwen3-0.6B,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,GoogleFnet,1,pass,232,1,3,3,0,0,0,3.036211,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,BlenderbotSmallForCausalLM,1,pass,63,7,6,4,0,0,0,16.646495,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,DistillGPT2,1,pass,296,4,6,4,0,0,0,23.112569,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,AlbertForMaskedLM,1,pass,397,1,3,3,0,0,0,27.626208,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,MegatronBertForQuestionAnswering,1,pass,742,1,3,3,0,0,0,42.918368,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,RobertaForCausalLM,1,pass,331,1,3,3,0,0,0,25.378840,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,BlenderbotSmallForConditionalGeneration,1,pass,125,11,9,5,0,0,0,14.508679,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,XLNetLMHeadModel,1,pass,772,1,3,3,0,0,0,58.005743,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,LayoutLMForMaskedLM,1,pass,422,1,3,3,0,0,0,28.584617,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,AlbertForQuestionAnswering,1,pass,397,1,3,3,0,0,0,25.571969,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,ElectraForCausalLM,1,pass,325,1,3,3,0,0,0,31.953664,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,RobertaForQuestionAnswering,1,pass,331,1,3,3,0,0,0,24.643654,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,LayoutLMForSequenceClassification,1,pass,840,2,4,3,0,0,0,36.756032,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,YituTechConvBert,1,pass,652,1,3,3,0,0,0,39.498438,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,ElectraForQuestionAnswering,1,pass,325,1,3,3,0,0,0,27.455360,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,T5ForConditionalGeneration,1,pass,829,1,3,3,0,0,0,31.502541,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,MobileBertForMaskedLM,1,pass,1311,1,3,3,0,0,0,83.430812,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,google/gemma-2-2b,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,DebertaV2ForQuestionAnswering,1,pass,1089,1,3,3,0,0,0,47.217154,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,AllenaiLongformerBase,1,pass,1832,6,7,4,0,0,0,63.493587,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,T5Small,1,pass,829,1,3,3,0,0,0,11.916949,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,meta-llama/Llama-3.2-1B,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,openai/whisper-tiny,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,DistilBertForMaskedLM,1,pass,162,1,3,3,0,0,0,18.245584,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,GPT2ForSequenceClassification,1,pass,1080,2,4,3,0,0,0,44.860016,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
xpu,TrOCRForCausalLM,1,pass,61,7,5,4,0,0,0,14.217644,inductor_huggingface_amp_bf16_training_xpu_accuracy.csv
