dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,GoogleFnet,1,pass,232,1,0,0,0,0,0,2.368941,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,BlenderbotSmallForCausalLM,1,pass,232,1,0,0,0,0,0,6.801321,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,DistillGPT2,1,pass,292,2,3,1,0,0,0,9.044486,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,AlbertForMaskedLM,1,pass,395,1,0,0,0,0,0,12.885921,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,MegatronBertForQuestionAnswering,1,pass,740,1,0,0,0,0,0,14.740488,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,XLNetLMHeadModel,1,pass,818,1,0,0,0,0,0,21.526091,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,Qwen/Qwen3-0.6B,1,pass,2114,1,0,0,0,0,0,21.484048,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,AlbertForQuestionAnswering,1,pass,395,1,0,0,0,0,0,7.927792,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,LayoutLMForMaskedLM,1,pass,420,1,0,0,0,0,0,9.136487,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,ElectraForCausalLM,1,pass,323,1,0,0,0,0,0,13.075015,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,RobertaForCausalLM,1,pass,329,1,0,0,0,0,0,12.607691,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,YituTechConvBert,1,pass,650,1,0,0,0,0,0,14.768303,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,BlenderbotSmallForConditionalGeneration,1,pass,600,1,0,0,0,0,0,17.667928,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,MobileBertForMaskedLM,1,pass,1309,1,0,0,0,0,0,24.154928,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,ElectraForQuestionAnswering,1,pass,323,1,0,0,0,0,0,9.257134,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,RobertaForQuestionAnswering,1,pass,329,1,0,0,0,0,0,9.344103,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,LayoutLMForSequenceClassification,1,pass,836,2,0,0,0,0,0,9.949329,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,MobileBertForQuestionAnswering,1,pass,1313,1,0,0,0,0,0,22.828905,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,google/gemma-2-2b,1,pass,2224,1,0,0,0,0,0,23.363529,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,AllenaiLongformerBase,1,pass,1828,4,4,1,0,0,0,35.788437,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,DebertaV2ForQuestionAnswering,1,pass,1087,1,0,0,0,0,0,18.730976,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,T5ForConditionalGeneration,1,pass,847,1,0,0,0,0,0,17.417821,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,GPT2ForSequenceClassification,1,pass,1076,2,0,0,0,0,0,19.421635,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,M2M100ForConditionalGeneration,1,pass,887,1,0,0,0,0,0,21.003865,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,OPTForCausalLM,1,pass,367,1,0,0,0,0,0,10.461552,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,BartForCausalLM,1,pass,336,1,0,0,0,0,0,12.560775,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,meta-llama/Llama-3.2-1B,1,pass,970,1,0,0,0,0,0,14.722953,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,T5Small,1,pass,847,1,0,0,0,0,0,3.522430,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,DistilBertForMaskedLM,1,pass,160,1,0,0,0,0,0,9.669272,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,MBartForCausalLM,1,pass,337,1,0,0,0,0,0,12.052040,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,DistilBertForQuestionAnswering,1,pass,168,1,0,0,0,0,0,6.075676,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,PLBartForCausalLM,1,pass,186,1,0,0,0,0,0,9.186386,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,openai/whisper-tiny,1,pass,383,1,0,0,0,0,0,12.824575,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,BartForConditionalGeneration,1,pass,879,1,0,0,0,0,0,21.290007,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,TrOCRForCausalLM,1,pass,446,1,0,0,0,0,0,10.232996,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,MBartForConditionalGeneration,1,pass,885,1,0,0,0,0,0,25.467763,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,BertForMaskedLM,1,pass,315,1,0,0,0,0,0,12.566953,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,PLBartForConditionalGeneration,1,pass,476,1,0,0,0,0,0,21.558908,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,MT5ForConditionalGeneration,1,pass,1232,1,0,0,0,0,0,15.140793,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,BertForQuestionAnswering,1,pass,322,1,0,0,0,0,0,8.457186,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,XGLMForCausalLM,1,pass,972,1,0,0,0,0,0,17.060608,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,PegasusForCausalLM,1,pass,333,1,0,0,0,0,0,9.055486,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,MegatronBertForCausalLM,1,pass,740,1,0,0,0,0,0,12.841538,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,BlenderbotForCausalLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
xpu,PegasusForConditionalGeneration,1,pass,871,1,0,0,0,0,0,20.773984,inductor_huggingface_bfloat16_inference_xpu_accuracy.csv
