dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,Qwen/Qwen3-0.6B,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,BlenderbotSmallForCausalLM,1,pass,59,5,6,4,0,0,0,12.241367,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,GoogleFnet,1,pass,232,1,3,3,0,0,0,21.627177,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,DistillGPT2,1,pass,292,2,6,4,0,0,0,24.003828,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,AlbertForMaskedLM,1,pass,395,1,3,3,0,0,0,26.591033,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,MegatronBertForQuestionAnswering,1,pass,740,1,3,3,0,0,0,42.486852,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,RobertaForCausalLM,1,pass,329,1,3,3,0,0,0,26.306959,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,XLNetLMHeadModel,1,pass,770,1,3,3,0,0,0,50.923040,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,BlenderbotSmallForConditionalGeneration,1,pass,121,9,9,5,0,0,0,10.962581,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,LayoutLMForMaskedLM,1,pass,420,1,3,3,0,0,0,23.494679,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,ElectraForCausalLM,1,pass,323,1,3,3,0,0,0,25.520936,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,RobertaForQuestionAnswering,1,pass,329,1,3,3,0,0,0,22.274635,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,AlbertForQuestionAnswering,1,pass,395,1,3,3,0,0,0,22.237235,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,LayoutLMForSequenceClassification,1,pass,836,2,4,3,0,0,0,27.253591,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,YituTechConvBert,1,pass,650,1,3,3,0,0,0,34.031538,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,ElectraForQuestionAnswering,1,pass,323,1,3,3,0,0,0,23.132542,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,MobileBertForMaskedLM,1,pass,1309,1,3,3,0,0,0,65.665793,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,T5ForConditionalGeneration,1,pass,815,1,3,3,0,0,0,29.380145,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,DebertaV2ForQuestionAnswering,1,pass,1087,1,3,3,0,0,0,38.106059,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,google/gemma-2-2b,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,T5Small,1,pass,815,1,3,3,0,0,0,4.660748,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,AllenaiLongformerBase,1,pass,1828,4,7,4,0,0,0,56.325775,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,meta-llama/Llama-3.2-1B,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,GPT2ForSequenceClassification,1,pass,1076,2,4,3,0,0,0,31.364556,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,M2M100ForConditionalGeneration,1,pass,891,1,3,3,0,0,0,46.869242,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,DistilBertForMaskedLM,1,pass,160,1,3,3,0,0,0,20.519399,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,openai/whisper-tiny,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,BartForCausalLM,1,pass,63,6,6,4,0,0,0,14.283741,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,MobileBertForQuestionAnswering,1,pass,1313,1,3,3,0,0,0,64.070218,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,MBartForCausalLM,1,pass,63,6,6,4,0,0,0,10.813080,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,DistilBertForQuestionAnswering,1,pass,168,1,3,3,0,0,0,12.201846,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,TrOCRForCausalLM,1,pass,57,5,5,4,0,0,0,10.116709,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,BartForConditionalGeneration,1,pass,127,10,9,5,0,0,0,11.984533,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,MBartForConditionalGeneration,1,pass,131,10,8,5,0,0,0,10.368358,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,OPTForCausalLM,1,pass,59,4,6,4,0,0,0,13.502552,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,XGLMForCausalLM,1,pass,69,5,5,4,0,0,0,10.872236,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,BertForMaskedLM,1,pass,315,1,3,3,0,0,0,23.516349,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,PLBartForCausalLM,1,pass,63,6,6,4,0,0,0,11.284027,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,MT5ForConditionalGeneration,1,pass,1190,1,3,3,0,0,0,31.938487,inductor_huggingface_float32_training_xpu_accuracy.csv
xpu,BertForQuestionAnswering,1,pass,322,1,3,3,0,0,0,20.127192,inductor_huggingface_float32_training_xpu_accuracy.csv
