dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,GoogleFnet,16,1.248989,69.289787,2.887488,0.000000,0,0,232,1,0,0,0,0,0
xpu,PLBartForCausalLM,8,1.309483,15.846970,8.284192,0.000000,0,0,188,1,0,0,0,0,0
xpu,ElectraForQuestionAnswering,128,0.890465,39.152927,16.264998,0.000000,0,0,325,1,0,0,0,0,0
xpu,BertForQuestionAnswering,32,0.980722,36.375129,15.537881,0.000000,0,0,324,1,0,0,0,0,0
xpu,RobertaForCausalLM,16,1.519369,20.218632,17.799015,0.000000,0,0,330,1,0,0,0,0,0
xpu,AlbertForMaskedLM,4,1.351555,67.637209,21.040352,0.000000,0,0,397,1,0,0,0,0,0
xpu,LayoutLMForMaskedLM,16,4.624846,17.945366,13.121298,0.000000,0,0,422,1,0,0,0,0,0
xpu,MT5ForConditionalGeneration,16,2.153176,16.534326,27.330478,0.000000,0,0,1192,1,0,0,0,0,0
xpu,XLNetLMHeadModel,8,2.500545,46.523955,32.902538,0.000000,0,0,820,1,0,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,1.663663,27.892108,29.297607,0.000000,0,0,1082,1,0,0,0,0,0
xpu,PLBartForConditionalGeneration,8,1.395766,39.172682,18.393849,0.000000,0,0,478,1,0,0,0,0,0
xpu,GPT2ForSequenceClassification,4,2.189554,10.777256,14.730474,0.000000,0,0,1082,2,0,0,0,0,0
xpu,RobertaForQuestionAnswering,32,1.006078,31.198794,15.550397,0.000000,0,0,331,1,0,0,0,0,0
xpu,AlbertForQuestionAnswering,8,1.428582,124.494520,16.739033,0.000000,0,0,397,1,0,0,0,0,0
xpu,LayoutLMForSequenceClassification,32,5.705820,22.909445,17.529727,0.000000,0,0,840,2,0,0,0,0,0
xpu,PegasusForCausalLM,32,1.559254,13.948467,12.012154,0.000000,0,0,335,1,0,0,0,0,0
xpu,MegatronBertForCausalLM,4,2.312090,17.414687,21.211482,0.000000,0,0,741,1,0,0,0,0,0
xpu,BlenderbotForCausalLM,4,1.311503,33.170403,20.180612,0.000000,0,0,635,1,0,0,0,0,0
xpu,YituTechConvBert,16,2.283282,25.654096,20.308422,0.000000,0,0,652,1,0,0,0,0,0
xpu,T5ForConditionalGeneration,4,3.906246,16.066679,17.000809,0.000000,0,0,829,1,0,0,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,2.052258,51.454683,24.952072,0.000000,0,0,1089,1,0,0,0,0,0
xpu,BlenderbotSmallForCausalLM,256,1.871889,33.732146,11.087009,0.000000,0,0,234,1,0,0,0,0,0
xpu,T5Small,4,3.829064,16.246577,7.306207,0.000000,0,0,829,1,0,0,0,0,0
xpu,MegatronBertForQuestionAnswering,16,2.790176,41.191713,20.195318,0.000000,0,0,742,1,0,0,0,0,0
xpu,DistilBertForMaskedLM,128,1.551068,18.271697,11.224768,0.000000,0,0,162,1,0,0,0,0,0
xpu,M2M100ForConditionalGeneration,16,1.565625,23.570635,30.105021,0.000000,0,0,889,1,0,0,0,0,0
xpu,PegasusForConditionalGeneration,64,1.826258,50.797231,33.070851,0.000000,0,0,873,1,0,0,0,0,0
xpu,AllenaiLongformerBase,4,1.538289,41.839607,51.526383,0.000000,0,0,1784,6,4,1,0,0,0
xpu,TrOCRForCausalLM,32,2.858902,24.802481,14.924397,0.000000,0,0,448,1,0,0,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,2.451179,35.189091,24.104999,0.000000,0,0,602,1,0,0,0,0,0
xpu,DistilBertForQuestionAnswering,512,1.225895,51.360134,11.869421,0.000000,0,0,170,1,0,0,0,0,0
xpu,Qwen/Qwen3-0.6B,1,1.002007,36.043342,-0.858980,0.000000,0,0,0,0,0,0,0,0,0
xpu,MBartForCausalLM,4,1.312540,18.792831,11.420053,0.000000,0,0,339,1,0,0,0,0,0
xpu,BartForCausalLM,4,1.311906,18.508609,10.992289,0.000000,0,0,338,1,0,0,0,0,0
xpu,DistillGPT2,16,2.501155,13.809266,11.787981,0.000000,0,0,296,4,3,1,0,0,0
xpu,MobileBertForMaskedLM,128,2.754523,30.595941,44.336689,0.000000,0,0,1309,1,0,0,0,0,0
xpu,XGLMForCausalLM,8,2.087106,17.301338,24.138395,0.000000,0,0,973,1,0,0,0,0,0
xpu,MBartForConditionalGeneration,4,1.239058,48.895924,30.046490,0.000000,0,0,887,1,0,0,0,0,0
xpu,ElectraForCausalLM,32,1.611712,14.059314,18.278512,0.000000,0,0,324,1,0,0,0,0,0
xpu,BartForConditionalGeneration,4,1.234906,48.579067,29.469409,0.000000,0,0,881,1,0,0,0,0,0
xpu,MobileBertForQuestionAnswering,256,2.502462,30.400405,41.339888,0.000000,0,0,1313,1,0,0,0,0,0
xpu,BertForMaskedLM,16,1.215904,22.158077,14.522470,0.000000,0,0,317,1,0,0,0,0,0
xpu,OPTForCausalLM,2,1.259090,16.616517,11.852008,0.000000,0,0,368,1,0,0,0,0,0
xpu,google/gemma-2-2b,1,1.618896,44150.274448,157.943983,0.000000,0,0,4401,2,0,0,0,0,2
xpu,meta-llama/Llama-3.2-1B,1,2.208111,15302.111433,54.394724,0.000000,0,0,973,1,0,0,0,0,1
xpu,openai/whisper-tiny,1,1.000629,35.031083,-1.192653,0.000000,0,0,0,0,0,0,0,0,0
