dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,get_fake_value,create_proxy,wrap_to_fake_tensor_and_record,variable_builder_call,compile_attempt_1,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,build_guards,gc,CacheBase.get_system.triton_key,fx_codegen_and_compile,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,PyCodeCache.load_by_key_path,StaticAutotunerFuture.warm_precompile,async_compile.wait,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,TritonBundler.collect,CachingAutotuner.benchmark_all_configs
xpu,GoogleFnet,16,2.763886,2.634652,0.768654,0.154145,0.054681,0.049514,0.214253,0.013536,1.819970,0.586047,0.143268,1.033798,0.032151,0.000952,0.000440,0.018586,0.003819,0.000400,0.125396,0.000088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,PLBartForCausalLM,8,7.290073,7.185033,0.720483,0.184352,0.048099,0.044779,0.172500,0.013380,6.423584,0.589705,0.144750,0.006793,0.000045,0.000598,0.000028,5.797177,0.172276,5.082819,1.619494,0.008480,0.019695,1.176706,1.034797,0.001693,3.462383,3.442816,0.110819,0.359420,0.002684,0.000171,0.000051,0.003625,0.000025,0.000014,0.067704,0.125061,0.001314,0.001636,0.030576,0.000105,0.001152,0.000050,0.000040,0.604049,2.094824,2.094772,1.633174,0.695976,0.390185,0.886866,0.044728,0.460296,0.444404,0.005024,0.101907,0.000109,0.979437,0,0,0,0
xpu,ElectraForQuestionAnswering,128,14.043539,13.857773,1.372733,0.356109,0.089280,0.092800,0.347010,0.021899,12.414568,0.800019,0.147833,0.008827,0.000050,0.000948,0.000030,11.551548,0.385964,9.877021,1.769635,0.021993,0.058058,1.465389,1.087728,0.004593,8.105418,8.075093,0.278828,1.205017,0.007036,0.000430,0.000052,0.009949,0.000030,0.000014,0.283335,0.476473,0.003282,0.004020,0.079314,0.000108,0.002980,0.000058,0.000040,1.797954,4.206619,4.206564,3.920204,1.502558,0.770596,2.321227,0.086774,0.284397,0.256570,0.009767,0.180246,0.000391,2.058287,0,0,0,0
xpu,BertForQuestionAnswering,32,14.069162,13.875721,1.346334,0.336532,0.087409,0.088527,0.339770,0.021180,12.459038,0.589894,0.148075,0.009158,0.000050,0.000956,0.000029,11.593254,0.383226,9.942074,1.760177,0.020599,0.062006,1.455125,1.084455,0.004624,8.179901,8.150422,0.274106,1.189943,0.006992,0.000418,0.000047,0.009416,0.000029,0.000014,0.278704,0.468075,0.003326,0.004034,0.078998,0.000110,0.002864,0.000061,0.000041,1.777492,4.322013,4.321958,3.893313,1.515683,0.798347,2.283644,0.084505,0.426854,0.400317,0.007212,0.186990,0.000217,1.304990,0,0,0,0
xpu,RobertaForCausalLM,16,15.503792,15.012133,1.380882,0.353022,0.089470,0.088948,0.347161,0.021991,13.560161,0.821768,0.150436,0.009288,0.000047,0.000988,0.000029,12.675873,0.383952,11.021520,1.736369,0.022233,0.047132,1.443983,1.045571,0.004463,9.283169,9.251481,0.281129,1.194211,0.007479,0.000421,0.000053,0.010095,0.000031,0.000015,0.275851,0.474395,0.003353,0.003970,0.079702,0.000108,0.002934,0.000062,0.000041,1.808155,5.383096,5.383038,4.050673,1.581218,0.797467,2.371558,0.088455,1.330383,1.301658,0.009558,0.486283,0.000185,2.154843,0,0,0,0
xpu,AlbertForMaskedLM,4,18.335055,18.262924,1.108461,0.368548,0.071647,0.015201,0.088954,0.016826,17.118680,0.597590,0.151099,0.009055,0.000047,0.000886,0.000030,16.499345,0.398838,14.642257,0.685439,0.021159,0.060355,0.379765,0.004636,13.955295,13.928686,1.088303,0.273111,1.184090,0.006871,0.000422,0.000051,0.009549,0.000030,0.000014,0.274485,0.469252,0.003213,0.004213,0.075588,0.000112,0.002863,0.000057,0.000040,1.790582,9.306557,9.306505,5.977433,3.398142,2.659446,2.498410,0.077811,3.327230,3.305806,0.012419,0.067964,0.000084,2.654031,0,0,0,0
xpu,LayoutLMForMaskedLM,16,12.643467,12.450899,1.380366,0.352356,0.105597,0.089725,0.344838,0.025384,10.996674,0.780173,0.146678,0.009501,0.000048,0.001073,0.000029,10.152813,0.391611,8.524910,1.745029,0.021723,0.041305,1.462688,1.032534,0.003442,6.777987,6.749571,0.210935,0.935919,0.005492,0.000318,0.000056,0.009886,0.000034,0.000015,0.123169,0.470986,0.002665,0.003162,0.061695,0.000116,0.002404,0.000055,0.000043,1.442713,3.628861,3.628806,3.218076,1.296617,0.699437,1.827730,0.084187,0.408817,0.382408,0.004690,0.185160,0.001204,0.663120,0,0,0,0
xpu,MT5ForConditionalGeneration,16,25.448756,25.214627,2.277717,0.669512,0.185191,0.091358,0.412618,0.046809,22.829637,0.807660,0.145257,0.019279,0.000056,0.002673,0.000038,21.949002,0.811983,18.992374,1.416258,0.042596,0.066279,1.044435,0.002403,17.573352,17.302270,1.028869,0.416598,1.010042,0.011843,0.000601,0.000049,0.015433,0.000031,0.000015,0.372033,0.006874,0.004543,0.005701,0.115938,0.000126,0.004443,0.000080,0.000043,2.070082,12.016087,12.016033,6.958180,3.499878,2.178369,3.288180,0.160134,5.054670,5.014249,0.014779,0.224670,0.000248,1.957430,0,0,0,0
xpu,XLNetLMHeadModel,8,30.915272,30.685711,2.520309,1.016355,0.161124,0.169865,0.519715,0.046234,28.051551,0.806975,0.147710,0.015339,0.000046,0.002122,0.000034,27.132818,1.259798,22.233566,3.372689,0.062757,0.127950,2.083036,0.437004,18.855042,18.789533,1.084435,0.875132,1.950686,0.023514,0.001235,0.000048,0.021493,0.000031,0.000014,0.284752,0.322383,0.009645,0.011927,0.240248,0.000115,0.008347,0.000081,0.000043,4.309511,9.142805,9.142746,8.804659,3.855684,1.958746,4.726661,0.203757,0.334966,0.283195,0.009538,0.219673,0.000725,2.051412,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,28.101512,27.805035,2.644002,0.863320,0.208730,0.169628,0.600754,0.057238,25.016989,0.599329,0.149083,0.017486,0.000046,0.002684,0.000035,24.301149,0.774357,21.065973,2.525226,0.044474,0.096052,1.828183,1.087256,0.008523,18.537320,18.492099,0.509592,2.307697,0.012316,0.000724,0.000046,0.019100,0.000031,0.000015,0.535813,0.919406,0.006226,0.084907,0.142773,0.000115,0.005342,0.000074,0.000046,2.980371,11.568453,11.568393,7.435260,2.806881,1.527341,4.025566,0.586239,4.129872,4.082966,0.006725,0.283569,0.000585,1.242643,0,0,0,0
