dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,GoogleFnet,16,1.223233,203.071033,3.848686,0.000000,0,0,232,1,4,4,0,0,0
xpu,PLBartForCausalLM,8,1.185122,79.400639,13.611118,0.000000,0,0,67,8,7,5,0,0,0
xpu,BertForQuestionAnswering,32,1.202354,134.938669,38.754954,0.000000,0,0,324,1,4,4,0,0,0
xpu,RobertaForCausalLM,16,1.404662,93.057700,41.361761,0.000000,0,0,330,1,4,4,0,0,0
xpu,PLBartForConditionalGeneration,8,1.250744,171.535734,14.520789,0.000000,0,0,136,12,8,6,0,0,0
xpu,ElectraForQuestionAnswering,128,1.335319,146.542754,49.484262,0.000000,0,0,325,1,4,4,0,0,0
xpu,AlbertForMaskedLM,4,1.396994,193.892871,51.859574,0.000000,0,0,397,1,4,4,0,0,0
xpu,LayoutLMForMaskedLM,16,1.898999,87.948769,37.512215,0.000000,0,0,422,1,4,4,0,0,0
xpu,MT5ForConditionalGeneration,16,1.988459,47.458170,67.901777,0.000000,0,0,1192,1,4,4,0,0,0
xpu,DebertaV2ForMaskedLM,2,1.460187,85.896200,65.229417,0.000000,0,0,1082,1,4,4,0,0,0
xpu,PegasusForCausalLM,32,1.326370,52.510723,16.169109,0.000000,0,0,63,7,7,5,0,0,0
xpu,RobertaForQuestionAnswering,32,1.220199,128.643055,33.587083,0.000000,0,0,331,1,4,4,0,0,0
xpu,BlenderbotForCausalLM,4,1.345059,86.641598,16.042082,0.000000,0,0,65,8,7,5,0,0,0
xpu,XLNetLMHeadModel,8,1.505672,228.103263,85.111693,0.000000,0,0,772,1,4,4,0,0,0
xpu,GPT2ForSequenceClassification,4,1.546811,58.110798,46.611376,0.000000,0,0,1082,2,5,4,0,0,0
xpu,BlenderbotSmallForCausalLM,256,1.451989,169.659831,16.777765,0.000000,0,0,63,7,7,5,0,0,0
xpu,AlbertForQuestionAnswering,8,1.418076,374.059894,43.374522,0.000000,0,0,397,1,4,4,0,0,0
xpu,LayoutLMForSequenceClassification,32,1.940275,141.229649,50.069160,0.000000,0,0,840,2,5,4,0,0,0
xpu,PegasusForConditionalGeneration,64,1.426716,181.297062,28.678904,0.000000,0,0,123,11,10,6,0,0,0
xpu,Qwen/Qwen3-0.6B,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,T5ForConditionalGeneration,4,2.003329,70.416970,49.777024,0.000000,0,0,829,1,4,4,0,0,0
xpu,MegatronBertForCausalLM,4,1.615416,70.674903,72.216629,0.000000,0,0,741,1,4,4,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,1.542579,190.509736,63.784885,0.000000,0,0,1089,1,4,4,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,1.795342,137.370363,23.079448,0.000000,0,0,125,11,10,6,0,0,0
xpu,YituTechConvBert,16,1.736982,97.887795,63.415067,0.000000,0,0,652,1,4,4,0,0,0
xpu,T5Small,4,2.008021,70.241036,16.106633,0.000000,0,0,829,1,4,4,0,0,0
xpu,google/gemma-2-2b,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,M2M100ForConditionalGeneration,16,1.407607,82.164641,45.425580,0.000000,0,0,128,10,8,6,0,0,0
xpu,meta-llama/Llama-3.2-1B,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,openai/whisper-tiny,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,DistilBertForMaskedLM,128,1.461297,62.770168,35.502912,0.000000,0,0,162,1,4,4,0,0,0
xpu,TrOCRForCausalLM,32,1.788022,93.055457,11.008023,0.000000,0,0,61,7,6,5,0,0,0
xpu,MBartForCausalLM,4,1.114683,76.348905,10.827984,0.000000,0,0,67,8,7,5,0,0,0
xpu,AllenaiLongformerBase,4,1.834723,109.740808,88.487732,0.000000,0,0,1784,6,8,5,0,0,0
xpu,XGLMForCausalLM,8,1.485785,65.213197,16.653681,0.000000,0,0,72,7,6,5,0,0,0
xpu,MegatronBertForQuestionAnswering,16,1.726188,207.516243,72.511374,0.000000,0,0,742,1,4,4,0,0,0
xpu,MBartForConditionalGeneration,4,1.212221,183.027310,15.481880,0.000000,0,0,135,12,9,6,0,0,0
xpu,BartForCausalLM,4,1.132862,75.301473,10.395928,0.000000,0,0,67,8,7,5,0,0,0
xpu,DistilBertForQuestionAnswering,512,1.427639,173.839557,35.316916,0.000000,0,0,170,1,4,4,0,0,0
xpu,BartForConditionalGeneration,4,1.175268,166.284134,12.994310,0.000000,0,0,131,12,10,6,0,0,0
xpu,DistillGPT2,16,1.984890,57.848261,25.282146,0.000000,0,0,296,4,7,5,0,0,0
xpu,BertForMaskedLM,16,1.314596,79.853532,33.783327,0.000000,0,0,317,1,4,4,0,0,0
xpu,ElectraForCausalLM,32,1.714763,50.321336,49.243588,0.000000,0,0,324,1,4,4,0,0,0
xpu,MobileBertForMaskedLM,128,2.066149,102.667141,122.945812,0.000000,0,0,1309,1,4,4,0,0,0
xpu,MobileBertForQuestionAnswering,256,1.843044,129.824950,121.751520,0.000000,0,0,1313,1,4,4,0,0,0
xpu,OPTForCausalLM,2,0.983019,78.288267,14.766220,0.000000,0,0,62,6,7,5,0,0,0
