dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,CacheBase.get_system.triton_key,fx_codegen_and_compile,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,PyCodeCache.load_by_key_path,StaticAutotunerFuture.warm_precompile,async_compile.wait,AOTAutogradCache.inductor_load,aot_trace_joint_graph,min_cut_rematerialization_partition,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,TritonBundler.collect,backward._backward_impl,compile_fx.<locals>.bw_compiler,CachingAutotuner.benchmark_all_configs
xpu,GoogleFnet,16,3.805859,0.804360,1.471049,0.428604,2.811213,0.099316,0.104494,0.180502,0.001921,0.273979,0.013179,2.060778,0.789832,0.144427,1.031674,0.069781,0.002844,0.001358,0.045335,0.010884,0.000507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,PLBartForCausalLM,8,7.558461,6.312984,1.420876,0.322524,0.901516,0.045279,0.043791,0.317778,0.008747,0.426333,0.009599,5.660307,0.590569,0.145408,0.007899,0.000242,0.000635,0.000220,3.950375,0.129847,2.766734,0.583963,0.005887,0.016318,0.285684,0.001837,5.001698,1.038613,0.408088,0.111243,4.990516,0.002131,0.000866,2.160557,0.004488,2.133898,0.084767,0.191263,0.000231,0.000126,0.002690,0.000090,0.000052,0.055225,0.035998,0.000840,0.001147,0.019381,0.000318,0.000909,0.000179,0.000151,0.505830,3.871143,3.870939,1.722804,0.775836,0.326817,0.905725,0.034649,0.016786,3.629810,2.443364,2.416223,0
xpu,BertForQuestionAnswering,32,22.958219,1.409001,2.819959,0.697201,21.291585,0.165379,0.186061,0.244532,0.001515,0.610727,0.021078,19.764824,0.594365,0.149501,0.008985,0.000046,0.000991,0.000029,19.107383,0.449738,3.396963,2.642626,0.046190,0.105932,2.030015,1.078925,0.013693,1.303380,10.975847,22.287556,22.231889,0.731770,1.962091,0.001007,0.000075,0.021400,0.000059,0.000029,0.479888,0.397929,0.007198,0.008984,0.187741,0.000210,0.007271,0.000131,0.000082,3.927664,14.227601,14.227483,13.635097,6.257043,4.190179,6.613446,0.736721,0.587440,0.514238,0.020684,4.512352,11.398265,11.312599,0,0,0,0
xpu,RobertaForCausalLM,16,24.521167,1.446578,2.892179,0.926721,22.808553,0.169584,0.397553,0.252462,0.002297,0.630395,0.022094,21.246861,0.595227,0.149241,0.010235,0.000050,0.001024,0.000032,20.588374,0.458009,3.423631,2.665264,0.047784,0.106998,2.038943,1.047062,0.013837,1.315480,12.380682,23.578408,23.522352,0.750907,1.949473,0.001020,0.000076,0.022102,0.000064,0.000035,0.472049,0.399140,0.007392,0.009012,0.185835,0.000204,0.007235,0.000130,0.000080,3.986769,15.418212,15.418094,13.758817,6.270644,3.604307,7.151685,0.308568,1.654187,1.582751,0.024013,5.688152,11.286782,11.198609,0,0,0,0
xpu,PLBartForConditionalGeneration,8,10.493323,7.825184,2.322759,0.522770,2.152763,0.068656,0.092180,0.474539,0.014741,0.317231,0.016483,7.461169,0.583895,0.143293,0.008008,0.000224,0.000672,0.000196,5.665949,0.183591,3.889163,0.598828,0.012660,0.031273,0.238069,0.003691,6.976400,1.031434,6.960882,0.004993,0.002135,2.039687,0.012654,1.996551,0.037075,0.850063,0.231589,0.156536,0.379048,0.000369,0.000158,0.005858,0.000120,0.000069,0.102840,0.095088,0.001565,0.002036,0.037654,0.000420,0.001601,0.000219,0.000189,0.858581,5.071142,5.070876,3.060911,1.165867,0.482405,1.824066,0.061962,0.012425,3.382943,3.332601,0.762781
xpu,ElectraForQuestionAnswering,128,32.439883,1.436805,2.857131,0.706743,30.749115,0.166997,0.187452,0.241472,0.001600,0.630556,0.021558,28.801470,0.597874,0.150560,0.009124,0.000048,0.000999,0.000031,28.139850,0.472500,3.477711,2.666977,0.046701,0.106892,2.047208,1.084104,0.013721,1.298640,19.881615,31.519383,31.463341,0.734525,1.982244,0.001024,0.000077,0.022074,0.000064,0.000029,0.484800,0.403471,0.007325,0.008989,0.190057,0.000222,0.007043,0.000138,0.000082,4.028529,23.320234,23.320114,13.096506,6.007473,3.501596,6.753829,0.307297,10.218731,10.151747,0.024991,5.512257,11.726339,11.638730,0,0,0,0
xpu,AlbertForMaskedLM,4,22.800971,1.137749,2.053850,0.168659,21.526371,0.128428,0.033466,0.125012,0.002535,0.624683,0.016812,20.542384,0.795554,0.151315,0.008978,0.000047,0.000878,0.000029,19.725496,0.474164,3.189797,1.714969,0.046913,0.104579,1.026957,0.014825,1.124191,12.904373,34.997887,34.948642,1.098372,0.625893,1.904024,0.000959,0.000077,0.018591,0.000062,0.000028,0.418156,0.404565,0.006492,0.007985,0.169397,0.000203,0.006473,0.000128,0.000084,3.380725,27.031244,27.031134,10.724406,5.396150,3.037512,5.130380,0.183767,16.301823,16.253524,0.050336,7.311186,22.192594,22.094260,0,0,0,0
xpu,LayoutLMForMaskedLM,16,22.251854,1.444572,2.868212,0.900611,20.549489,0.195041,0.192711,0.244402,0.001711,0.646774,0.025693,19.005468,0.587948,0.144315,0.009906,0.000053,0.001184,0.000030,18.351837,0.462100,3.378793,2.808847,0.046890,0.100681,2.048877,1.035106,0.160209,1.176874,10.183780,21.923053,21.863924,0.792259,1.945456,0.001094,0.000089,0.025226,0.000070,0.000030,0.379145,0.409849,0.007837,0.009992,0.205355,0.000231,0.007744,0.000133,0.000080,4.261706,13.349767,13.349646,12.528695,5.159822,2.472865,7.019051,0.317878,0.816135,0.741519,0.019732,3.772114,11.833995,11.740214,0,0,0,0
xpu,MT5ForConditionalGeneration,16,45.929030,2.387505,4.783281,0.858077,43.229517,0.355804,0.200518,0.284704,0.002354,1.347142,0.045946,40.683154,0.582430,0.142425,0.018738,0.000050,0.002655,0.000034,40.028665,1.189956,5.891147,2.918761,0.101688,0.179673,1.581570,0.005057,2.037634,27.403346,44.652744,44.070547,1.038239,1.322478,3.335768,0.001899,0.000076,0.040425,0.000066,0.000028,0.809673,0.018677,0.012193,0.016597,0.334760,0.000222,0.012096,0.000149,0.000088,5.801443,30.416981,30.416851,18.947732,9.235438,5.529203,9.162649,0.503769,11.462630,11.340641,0.030452,4.747881,17.419007,17.250641,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,39.439557,2.698793,4.991006,1.444695,36.370046,0.400936,0.344499,0.340096,0.002097,1.243160,0.056019,33.875780,0.837600,0.149961,0.016882,0.000053,0.002558,0.000033,32.923729,0.851337,6.555499,3.892824,0.096051,0.229213,2.821395,1.098811,0.026079,2.470804,18.501480,40.524968,40.429923,1.382376,3.975739,0.001867,0.000080,0.041782,0.000064,0.000029,0.916213,0.790282,0.014188,0.216668,0.369557,0.000224,0.013725,0.000156,0.000082,7.965184,24.361406,24.361269,24.062760,9.850452,5.141902,13.451299,0.704202,0.290842,0.148313,0.019518,3.707427,22.201869,22.024849,0,0,0,0
xpu,PegasusForCausalLM,32,8.422672,7.159185,1.473828,0.613774,0.938613,0.041278,0.042144,0.300439,0.007321,0.215607,0.009147,6.477651,0.592839,0.145670,0.008652,0.000221,0.000561,0.000202,4.774266,0.120127,3.698948,0.604382,0.005525,0.015424,0.310310,0.001825,6.805156,1.031906,6.795999,0.001089,0.000446,3.981507,0.002616,3.958326,0.373846,0.100036,0.082809,0.181185,0.000235,0.000131,0.002666,0.000089,0.000052,0.054558,0.029425,0.000836,0.001096,0.019979,0.000332,0.000921,0.000181,0.000150,0.497166,5.733123,5.732922,1.758181,0.815950,0.385813,0.900139,0.035897,0.020570,4.330344,3.382368,3.358971,0
xpu,RobertaForQuestionAnswering,32,22.857355,1.413136,2.800853,0.694701,21.183173,0.166278,0.183577,0.247760,0.001616,0.619191,0.021697,19.680067,0.591465,0.145834,0.009292,0.000049,0.001021,0.000028,19.026004,0.451297,3.424410,2.530925,0.047247,0.110396,1.906503,1.033510,0.013635,1.346863,10.926853,21.611938,21.556034,0.731348,1.967221,0.001016,0.000074,0.022279,0.000062,0.000029,0.479715,0.397981,0.007250,0.009079,0.189334,0.000202,0.007224,0.000133,0.000081,3.982322,13.509131,13.509012,13.380204,6.242221,3.612766,6.815870,0.294062,0.124247,0.052532,0.009787,10.773367,10.685966,0,0,0,0,0
xpu,BlenderbotForCausalLM,4,8.567844,7.228249,1.594327,0.559194,0.995005,0.041432,0.040760,0.316456,0.010033,0.216263,0.009611,6.449573,0.599259,0.149031,0.008060,0.000254,0.000628,0.000219,4.686637,0.127642,3.707965,0.392111,0.005214,0.017279,0.097362,0.001782,6.873272,1.080969,0.398850,0.107061,6.863096,0.001880,0.000739,3.800432,0.003963,3.774689,0.083187,0.182075,0.000242,0.000126,0.002645,0.000086,0.000054,0.055349,0.029027,0.000826,0.001109,0.019724,0.000316,0.000897,0.000174,0.000149,0.496236,5.756215,5.756020,1.967719,0.789287,0.372619,1.136693,0.035405,0.018810,4.068290,3.374596,3.346864,0
xpu,XLNetLMHeadModel,8,53.593734,2.506110,4.835313,1.261982,50.783639,0.296708,0.566259,0.279232,0.001669,1.814297,0.045062,48.289374,0.592794,0.149337,0.014981,0.000047,0.002075,0.000031,47.585692,1.525248,9.761120,6.707958,0.126828,0.310205,4.927820,0.311406,4.305174,24.275895,50.985159,50.848291,1.098896,2.484126,6.170638,0.004352,0.000108,0.072217,0.000069,0.000030,0.749861,0.291661,0.030909,0.037918,1.708654,0.000265,0.029687,0.000223,0.000116,11.232711,25.787247,25.787110,25.517791,11.441806,5.997274,13.191496,0.817492,0.261188,0.098305,0.022774,5.234481,26.994494,26.710787,0,0,0,0
xpu,GPT2ForSequenceClassification,4,31.080683,2.588399,5.110317,1.063786,28.087011,0.383281,0.282378,0.374347,0.002449,1.162820,0.050141,25.399607,0.593293,0.149496,0.017175,0.000083,0.002562,0.000063,24.708829,0.818676,5.315793,3.758693,0.083568,0.188070,2.538801,1.085110,0.029502,2.739384,11.466055,22.388028,22.296831,0.673845,1.703937,0.000958,0.000079,0.021354,0.000062,0.000030,0.445697,0.246579,0.006826,0.008949,0.173656,0.000219,0.006607,0.000124,0.000079,3.910574,14.047254,14.047139,13.498122,6.087625,3.691168,7.155784,0.230555,0.631784,0.506607,0.021213,3.873500,11.535562,10.924086,0.006671,0.003291,0.022822,0
