dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,GoogleFnet,16,1.247528,69.390349,2.885288,0.000000,0,0,232,1,0,0,0,0,0
xpu,PLBartForCausalLM,8,1.247679,16.137673,8.252493,0.000000,0,0,188,1,0,0,0,0,0
xpu,ElectraForQuestionAnswering,128,0.881422,40.506053,16.045393,0.000000,0,0,325,1,0,0,0,0,0
xpu,BertForQuestionAnswering,32,0.979066,37.269265,15.607235,0.000000,0,0,324,1,0,0,0,0,0
xpu,RobertaForCausalLM,16,1.294056,21.067973,16.228294,0.000000,0,0,330,1,0,0,0,0,0
xpu,AlbertForMaskedLM,4,1.321576,70.021528,20.773802,0.000000,0,0,397,1,0,0,0,0,0
xpu,LayoutLMForMaskedLM,16,4.504936,18.652759,13.078947,0.000000,0,0,422,1,0,0,0,0,0
xpu,MT5ForConditionalGeneration,16,2.143214,16.327740,27.354309,0.000000,0,0,1192,1,0,0,0,0,0
xpu,XLNetLMHeadModel,8,2.430962,47.241008,32.343508,0.000000,0,0,820,1,0,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,1.603987,28.707292,29.308973,0.000000,0,0,1082,1,0,0,0,0,0
xpu,PLBartForConditionalGeneration,8,1.313116,42.044266,18.313995,0.000000,0,0,478,1,0,0,0,0,0
xpu,GPT2ForSequenceClassification,4,2.125350,11.634995,14.527101,0.000000,0,0,1082,2,0,0,0,0,0
xpu,RobertaForQuestionAnswering,32,0.981953,31.553786,15.560228,0.000000,0,0,331,1,0,0,0,0,0
xpu,AlbertForQuestionAnswering,8,1.406217,128.746181,16.623932,0.000000,0,0,397,1,0,0,0,0,0
xpu,LayoutLMForSequenceClassification,32,5.581262,23.601874,17.511807,0.000000,0,0,840,2,0,0,0,0,0
xpu,PegasusForCausalLM,32,1.541555,14.334001,11.882594,0.000000,0,0,335,1,0,0,0,0,0
xpu,MegatronBertForCausalLM,4,2.140028,19.833003,21.083892,0.000000,0,0,741,1,0,0,0,0,0
xpu,YituTechConvBert,16,2.218435,26.082119,20.307482,0.000000,0,0,652,1,0,0,0,0,0
xpu,BlenderbotForCausalLM,4,1.170471,38.302599,20.129767,0.000000,0,0,635,1,0,0,0,0,0
xpu,T5ForConditionalGeneration,4,3.561244,17.436370,16.973232,0.000000,0,0,829,1,0,0,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,1.959947,54.517009,24.825990,0.000000,0,0,1089,1,0,0,0,0,0
xpu,BlenderbotSmallForCausalLM,256,1.595361,36.758313,9.362904,0.000000,0,0,234,1,0,0,0,0,0
xpu,T5Small,4,3.631217,17.143461,7.336740,0.000000,0,0,829,1,0,0,0,0,0
xpu,MegatronBertForQuestionAnswering,16,2.847421,41.617251,20.194432,0.000000,0,0,742,1,0,0,0,0,0
xpu,DistilBertForMaskedLM,128,1.463984,19.323280,11.278403,0.000000,0,0,162,1,0,0,0,0,0
xpu,M2M100ForConditionalGeneration,16,1.517215,24.293302,30.008243,0.000000,0,0,889,1,0,0,0,0,0
xpu,PegasusForConditionalGeneration,64,1.737395,52.688890,30.427259,0.000000,0,0,873,1,0,0,0,0,0
xpu,AllenaiLongformerBase,4,1.395908,44.994819,47.942089,0.000000,0,0,1784,6,4,1,0,0,0
xpu,TrOCRForCausalLM,32,2.649852,26.195073,13.344087,0.000000,0,0,448,1,0,0,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,2.333649,37.205595,22.500371,0.000000,0,0,602,1,0,0,0,0,0
xpu,DistilBertForQuestionAnswering,512,1.211847,52.367994,11.738372,0.000000,0,0,170,1,0,0,0,0,0
xpu,Qwen/Qwen3-0.6B,1,0.998711,35.790996,-0.739480,0.000000,0,0,0,0,0,0,0,0,0
xpu,MBartForCausalLM,4,1.286803,19.102998,11.388103,0.000000,0,0,339,1,0,0,0,0,0
xpu,BartForCausalLM,4,1.285937,19.051704,10.856654,0.000000,0,0,338,1,0,0,0,0,0
xpu,DistillGPT2,16,2.265221,14.275028,10.052851,0.000000,0,0,296,4,3,1,0,0,0
xpu,MobileBertForMaskedLM,128,2.614066,31.308454,44.397396,0.000000,0,0,1309,1,0,0,0,0,0
xpu,XGLMForCausalLM,8,1.979261,18.422386,24.061388,0.000000,0,0,973,1,0,0,0,0,0
xpu,ElectraForCausalLM,32,1.543198,14.686447,18.057535,0.000000,0,0,324,1,0,0,0,0,0
xpu,MBartForConditionalGeneration,4,1.126787,54.337332,29.994635,0.000000,0,0,887,1,0,0,0,0,0
xpu,BartForConditionalGeneration,4,1.134237,53.813670,29.497131,0.000000,0,0,881,1,0,0,0,0,0
xpu,BertForMaskedLM,16,1.180760,22.778999,14.512492,0.000000,0,0,317,1,0,0,0,0,0
xpu,MobileBertForQuestionAnswering,256,2.480467,31.283594,41.344596,0.000000,0,0,1313,1,0,0,0,0,0
xpu,OPTForCausalLM,2,1.202093,17.478980,11.759707,0.000000,0,0,368,1,0,0,0,0,0
xpu,google/gemma-2-2b,1,1.605385,44194.347099,158.948719,0.000000,0,0,4401,2,0,0,0,0,2
xpu,meta-llama/Llama-3.2-1B,1,2.226445,15254.498444,47.322859,0.000000,0,0,973,1,0,0,0,0,1
xpu,openai/whisper-tiny,1,0.999989,34.783535,-1.232981,0.000000,0,0,0,0,0,0,0,0,0
