dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,get_fake_value,create_proxy,wrap_to_fake_tensor_and_record,variable_builder_call,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,CacheBase.get_system.triton_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,PyCodeCache.load_by_key_path,async_compile.wait,TritonBundler.collect,build_guards,gc,CachingAutotuner.benchmark_all_configs,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile
xpu,GoogleFnet,16,2.775374,2.647373,0.763594,0.151749,0.054859,0.049487,0.213415,0.013177,1.838753,0.585279,0.146779,1.055213,0.032217,0.000983,0.000455,0.018392,0.003891,0.000397,0.124235,0.000088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,PLBartForCausalLM,8,6.344784,6.238686,0.696010,0.162312,0.048971,0.043921,0.170419,0.012488,5.503050,0.591226,0.144563,1.035396,0.006905,0.000052,0.000582,0.000035,3.714105,0.137547,3.069590,0.744744,0.006283,0.017642,0.315762,0.001908,2.324009,2.317254,0.104484,0.129992,0.002338,0.000166,0.000050,0.001687,0.000025,0.000014,0.041165,0.008040,0.001019,0.001197,0.026001,0.000099,0.001003,0.000049,0.000040,0.487632,1.328315,1.328260,0.942198,0.391341,0.204186,0.515841,0.029568,0.385051,0.372746,0.002194,0.102832,0.000123,0.354849,0,0,0,0
xpu,ElectraForQuestionAnswering,128,12.194394,12.013015,1.324299,0.315075,0.089514,0.091932,0.343070,0.021501,10.619882,0.804933,0.147563,1.092173,0.009000,0.000053,0.000984,0.000049,8.434801,0.317589,6.908816,0.976260,0.016749,0.059620,0.678759,0.004867,5.930743,5.914243,0.255724,0.643919,0.006412,0.000387,0.000047,0.005360,0.000029,0.000015,0.231403,0.016904,0.002787,0.003344,0.069199,0.000111,0.002562,0.000057,0.000041,1.523298,2.944825,2.944771,2.644977,0.903273,0.384020,1.669027,0.063269,0.298336,0.275819,0.005782,0.174891,0.001186,1.349855,0,0,0,0
xpu,BertForQuestionAnswering,32,12.352976,12.165297,1.297973,0.295209,0.088486,0.089034,0.336643,0.020965,10.799061,0.590188,0.147735,1.083166,0.009044,0.000059,0.001006,0.000030,8.630249,0.315667,7.115773,0.956644,0.016529,0.057203,0.661887,0.004872,6.157354,6.140610,0.253668,0.642382,0.006474,0.000374,0.000048,0.006192,0.000031,0.000014,0.227532,0.016739,0.002807,0.003293,0.068843,0.000113,0.002632,0.000063,0.000042,1.508504,3.196738,3.196685,2.648033,0.898916,0.388714,1.677864,0.062031,0.547224,0.524375,0.005216,0.181161,0.001186,1.140236,0,0,0,0
xpu,RobertaForCausalLM,16,12.784931,12.590591,1.333489,0.308103,0.089744,0.091236,0.345900,0.021732,11.186981,0.819513,0.156628,1.056449,0.009496,0.000053,0.000944,0.000031,9.023230,0.319269,7.489018,0.922405,0.017360,0.043183,0.639708,0.004916,6.564802,6.548176,0.260828,0.638109,0.006421,0.000383,0.000049,0.005684,0.000030,0.000014,0.221216,0.017128,0.002991,0.003288,0.069664,0.000111,0.002591,0.000058,0.000042,1.556202,3.540689,3.540633,2.780525,0.967963,0.393591,1.739325,0.063702,0.758407,0.735552,0.006605,0.187639,0.001249,1.455548,0,0,0,0
xpu,AlbertForMaskedLM,4,14.929918,14.859058,1.068439,0.343363,0.071280,0.015367,0.086983,0.016772,13.755092,0.602844,0.154809,1.085273,0.009159,0.000056,0.000960,0.000031,11.984348,0.319865,10.316812,0.675187,0.015722,0.056286,0.379278,0.005194,9.640172,9.627468,0.267653,0.618108,0.006366,0.000361,0.000046,0.004729,0.000027,0.000014,0.207674,0.018026,0.002504,0.002948,0.066208,0.000105,0.002447,0.000062,0.000042,1.288899,7.202334,7.202281,2.994699,1.236264,0.471300,1.699088,0.055849,4.205971,4.188442,0.007332,0.066174,0.000870,1.401245,0,0,0,0
xpu,MT5ForConditionalGeneration,16,16.706344,16.476530,2.264173,0.623190,0.191598,0.095168,0.419293,0.049808,14.102140,0.816783,0.144367,1.050608,0.018955,0.000058,0.002682,0.000036,11.924741,0.747542,9.075764,1.100190,0.035808,0.062439,0.745989,0.000554,7.973144,7.954078,0.297331,0.534150,0.007836,0.000441,0.000048,0.007223,0.000030,0.000014,0.084930,0.005924,0.003114,0.003634,0.077620,0.000107,0.002986,0.000065,0.000042,1.335045,4.915851,4.915798,2.751270,1.226027,0.783301,1.414869,0.100120,2.162219,2.134137,0.005465,0.220339,0.000521,0.748406,0,0,0,0
xpu,LayoutLMForMaskedLM,16,11.045362,10.856837,1.345020,0.317567,0.103670,0.092032,0.347124,0.024482,9.439057,0.821520,0.147439,1.046556,0.010263,0.000055,0.001136,0.000031,7.265356,0.325107,5.783874,0.875408,0.017441,0.038102,0.603281,0.003797,4.906917,4.893461,0.191499,0.224785,0.004722,0.000295,0.000049,0.004667,0.000028,0.000014,0.067618,0.016217,0.002097,0.002403,0.050399,0.000113,0.001888,0.000058,0.000043,1.170119,2.793542,2.793490,1.946162,0.696747,0.304967,1.179686,0.060040,0.846027,0.825689,0.002972,0.182551,0.000513,0.513053,0,0,0,0
xpu,XLNetLMHeadModel,8,27.100418,26.872096,2.416566,0.915129,0.161866,0.164425,0.522526,0.045878,24.344548,0.800802,0.146863,1.093456,0.015090,0.000054,0.002047,0.000037,21.949028,1.106716,17.249820,3.034965,0.051661,0.118366,1.964892,0.290599,14.209907,14.161053,0.836154,0.735804,0.022316,0.001181,0.000051,0.012386,0.000031,0.000014,0.193998,0.024316,0.008837,0.010474,0.220371,0.000113,0.007844,0.000075,0.000042,4.277663,7.097909,7.097853,6.875852,2.175095,0.971211,4.526899,0.155200,0.219725,0.174711,0.006177,0.219110,0.000361,1.221249,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,24.225832,23.930474,2.341723,0.544611,0.210573,0.171161,0.604097,0.282079,21.220427,0.597422,0.151635,1.089711,0.017262,0.000060,0.002619,0.000035,18.978538,0.628146,16.064709,1.664484,0.038172,0.091528,1.019553,0.009317,14.397337,14.367198,0.466019,1.232510,0.011044,0.000632,0.000047,0.011093,0.000029,0.000014,0.434901,0.031098,0.005112,0.074956,0.126378,0.000124,0.004810,0.000078,0.000044,2.175387,9.427068,9.427013,4.725510,1.884955,0.690268,2.707533,0.116277,4.699445,4.660503,0.003908,0.282888,0.001097,0.602286,0,0,0,0
xpu,PLBartForConditionalGeneration,8,13.775095,13.574353,1.569414,0.358804,0.123491,0.114861,0.383028,0.028700,11.923387,0.787212,0.146393,1.026533,0.010450,0.000051,0.001318,0.000031,9.748487,0.408924,7.824994,0.769516,0.021060,0.053543,0.460587,0.005730,7.053322,7.033506,0.302626,0.858554,0.007567,0.000458,0.000050,0.006132,0.000030,0.000015,0.231278,0.021457,0.003466,0.003951,0.226948,0.000117,0.003167,0.000065,0.000041,1.780163,3.409015,3.408962,3.109534,1.106250,0.500250,1.912843,0.078837,0.297681,0.272604,0.006206,0.194051,0.000105,1.250835,0,0,0,0
xpu,GPT2ForSequenceClassification,4,11.300879,10.986084,2.291432,0.442676,0.196042,0.136505,0.517083,0.049201,8.570773,0.593861,0.148529,1.082935,0.011180,0.000054,0.001309,0.000031,6.427191,0.220093,5.206076,0.672270,0.009678,0.039280,0.424370,0.003462,4.532560,4.521914,0.165822,0.189577,0.003689,0.000272,0.000046,0.002589,0.000025,0.000014,0.058813,0.012585,0.001646,0.001887,0.042462,0.000090,0.001750,0.000053,0.000045,0.863446,2.910958,2.910905,2.656005,1.486943,0.867358,1.111041,0.050788,0.281281,0.249681,0.005322,0.302388,0.001163,0.669710,0.038537,0.001570,0.000637,0.005713
xpu,RobertaForQuestionAnswering,32,12.106739,11.915555,1.322644,0.313246,0.089962,0.089524,0.336451,0.021845,10.523171,0.781270,0.146786,1.056851,0.009289,0.000055,0.000975,0.000031,8.396796,0.319874,6.861747,0.656564,0.016837,0.055577,0.364508,0.004936,6.203478,6.186749,0.256660,0.650344,0.006588,0.000390,0.000056,0.006670,0.000034,0.000014,0.233348,0.016732,0.002928,0.003480,0.070243,0.000112,0.002590,0.000061,0.000040,1.536314,3.199337,3.199283,2.660661,0.920577,0.399230,1.667539,0.063249,0.537006,0.514517,0.005627,0.185163,0.000390,1.155700,0,0,0,0
xpu,AlbertForQuestionAnswering,8,11.316406,11.255547,1.058023,0.332124,0.070513,0.014441,0.084355,0.015891,10.163098,0.588633,0.146968,1.098024,0.009059,0.000050,0.000890,0.000030,8.395602,0.319686,6.701891,0.955340,0.015661,0.051059,0.666297,0.004912,5.745013,5.731730,0.260180,0.636633,0.006542,0.000391,0.000053,0.005041,0.000030,0.000014,0.222816,0.017651,0.002590,0.003161,0.067416,0.000112,0.002537,0.000060,0.000041,1.269716,3.317239,3.317185,3.002230,1.265330,0.480120,1.678187,0.055871,0.313574,0.297399,0.006060,0.056852,0.000404,1.461031,0,0,0,0
xpu,LayoutLMForSequenceClassification,32,12.245476,11.866970,2.521220,0.521463,0.195938,0.175821,0.673496,0.048939,9.201694,0.797541,0.152022,1.027868,0.010004,0.000051,0.001169,0.000029,6.771140,0.322661,5.301987,0.815840,0.016744,0.036162,0.548015,0.003556,4.484640,4.471230,0.191263,0.214448,0.004623,0.000276,0.000050,0.005276,0.000032,0.000015,0.065326,0.015718,0.001882,0.001997,0.048577,0.000091,0.001914,0.000052,0.000043,1.103070,2.464116,2.464064,1.889698,0.674783,0.295412,1.146621,0.059035,0.595119,0.554623,0.003090,0.366006,0.000522,0.677058,0.031983,0.001144,0.000561,0.003703
xpu,MegatronBertForCausalLM,4,18.305917,17.998462,2.391920,0.485923,0.163793,0.170911,0.629714,0.047421,15.474369,0.592088,0.146850,1.054914,0.014832,0.000052,0.001961,0.000033,13.292283,0.590856,10.517709,1.397911,0.034504,0.069536,0.776480,0.006290,9.116835,9.092539,0.337990,0.664665,0.008436,0.000495,0.000048,0.006864,0.000028,0.000014,0.117532,0.030161,0.003594,0.003895,0.090255,0.000103,0.003556,0.000064,0.000041,1.676082,5.403353,5.403298,4.669595,2.626131,1.617778,1.917108,0.109249,0.731507,0.693848,0.003281,0.297328,0.000178,0.317155,0,0,0,0
xpu,PegasusForCausalLM,32,9.879033,9.721670,1.084752,0.229951,0.082225,0.084476,0.297534,0.022241,8.574147,0.596143,0.148548,1.056008,0.008882,0.000055,0.000963,0.000033,6.640443,0.239808,5.270737,0.706192,0.012164,0.032209,0.452876,0.003407,4.563142,4.550338,0.179675,0.217371,0.004367,0.000278,0.000051,0.002984,0.000028,0.000014,0.068786,0.015542,0.001939,0.002162,0.049411,0.000115,0.001816,0.000053,0.000042,0.897862,2.768840,2.768785,2.453846,1.392810,0.808130,0.995348,0.056745,0.313588,0.292971,0.003568,0.151971,0.000396,0.334299,0,0,0,0
xpu,YituTechConvBert,16,15.415684,14.874932,1.752982,0.454769,0.150123,0.125912,0.463993,0.038500,13.021528,0.887113,0.146952,1.091780,0.014031,0.000056,0.001756,0.000036,10.632998,0.507609,8.359503,1.147631,0.028047,0.057231,0.825126,0.004861,7.209464,7.188120,0.316231,0.934204,0.007656,0.000446,0.000054,0.006810,0.000030,0.000014,0.223119,0.020662,0.003080,0.003439,0.082009,0.000094,0.003036,0.000065,0.000044,1.496316,3.612456,3.612403,2.804287,0.966243,0.354443,1.710997,0.113325,0.806235,0.773408,0.005201,0.229521,0.000563,0.887667,0,0,0,0
xpu,BlenderbotForCausalLM,4,16.474080,16.210311,1.874033,0.364925,0.151544,0.166846,0.554272,0.039517,14.225251,0.806286,0.148361,1.083506,0.012647,0.000053,0.001801,0.000030,11.803967,0.438800,9.652166,0.831015,0.022934,0.058603,0.508584,0.006120,8.818847,8.795022,0.331703,0.633778,0.008280,0.000524,0.000053,0.005403,0.000032,0.000015,0.115441,0.029833,0.003822,0.004405,0.095840,0.000114,0.003493,0.000076,0.000041,1.675391,5.209646,5.209590,4.506205,2.170456,1.556887,2.206848,0.112314,0.701336,0.663405,0.004248,0.254624,0.000288,0.501705,0,0,0,0
xpu,T5ForConditionalGeneration,4,13.474519,13.293486,1.710906,0.472502,0.136356,0.067782,0.309224,0.034383,11.502236,0.810505,0.146566,1.065937,0.014432,0.000052,0.001856,0.000033,9.398657,0.537522,7.363530,0.839333,0.026710,0.044508,0.535512,0.000542,6.522422,6.510298,0.206267,0.365391,0.005247,0.000317,0.000046,0.005055,0.000027,0.000013,0.060698,0.003576,0.002009,0.002269,0.053707,0.000109,0.002059,0.000059,0.000043,1.190986,4.259504,4.259446,2.115190,0.940878,0.597912,1.093653,0.073213,2.142222,2.120109,0.006621,0.173897,0.000476,1.158522,0,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,19.805006,19.516951,2.310883,0.542286,0.209376,0.165090,0.589609,0.054408,17.066600,0.774980,0.149074,1.089226,0.017094,0.000055,0.002642,0.000038,14.646250,0.635186,11.730479,1.649482,0.280554,0.091643,1.010250,0.009191,10.078006,10.047375,0.476182,1.259650,0.011316,0.000654,0.000049,0.011274,0.000030,0.000015,0.455310,0.030973,0.005059,0.072061,0.127183,0.000124,0.004660,0.000077,0.000041,2.163022,5.079823,5.079769,4.826162,1.882548,0.700486,2.808611,0.118183,0.251426,0.212263,0.003747,0.276759,0.000778,0.667818,0,0,0,0
