dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,CacheBase.get_system.triton_key,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,PyCodeCache.load_by_key_path,StaticAutotunerFuture.warm_precompile,async_compile.wait,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,async_compile.precompile,TritonBundler.collect,CachingAutotuner.benchmark_all_configs,aot_trace_joint_graph,min_cut_rematerialization_partition,backward._backward_impl,compile_fx.<locals>.bw_compiler
xpu,GoogleFnet,16,3.810039,0.804411,1.474579,0.429337,2.816230,0.099730,0.104779,0.179428,0.001979,0.275400,0.013292,2.061674,0.782827,0.144428,1.038271,0.071180,0.002853,0.001344,0.046322,0.010866,0.000522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,PLBartForCausalLM,8,9.405521,8.956727,1.219171,0.322283,0.102878,0.046281,0.044781,0.315662,0.012310,0.222449,0.008224,7.710075,0.587463,0.144152,1.062390,0.005937,0.000147,0.000342,0.000115,5.968461,0.105354,0.382259,0.973111,0.004732,0.013219,0.552497,0.001815,0.106125,4.339730,8.357715,8.347145,0.091885,0.153097,0.000368,0.000236,0.002319,0.000159,0.000108,0.052428,0.002700,0.000982,0.001258,0.020877,0.000585,0.001167,0.000345,0.000297,0.506480,7.293711,7.293335,1.943015,1.020927,0.335381,0.874083,0.039090,5.349453,1.123602,4.202556,0.016171,3.515647,0.010893,0.000619,0.000266,0.001525,4.047862,4.019368,0
xpu,BertForQuestionAnswering,32,21.304905,1.351452,2.709438,0.883664,19.692618,0.164905,0.376363,0.247948,0.001565,0.530579,0.021167,18.220157,0.597022,0.151482,1.080760,0.008931,0.000055,0.000944,0.000029,16.253450,0.381258,3.189812,1.740153,0.045093,0.104219,1.123871,0.014257,1.250909,9.359726,20.908678,20.863855,0.728917,1.453067,0.000991,0.000073,0.017843,0.000061,0.000028,0.412293,0.019762,0.006630,0.007372,0.182286,0.000199,0.006887,0.000121,0.000078,4.289995,13.003116,13.002994,11.937280,5.797935,3.642214,5.832009,0.277790,1.061409,0.994030,0.017616,3.818648,11.728493,11.549903,0,0,0,0,0,0
xpu,RobertaForCausalLM,16,21.569346,1.390989,2.802173,0.922108,19.914117,0.169449,0.186350,0.251120,0.001956,0.553883,0.021750,18.389163,0.596735,0.149119,1.034795,0.009335,0.000053,0.000977,0.000028,16.458767,0.388308,3.307602,1.891604,0.045769,0.104656,1.263258,0.014789,1.279847,9.256615,22.505151,22.463374,0.747027,1.900359,0.001043,0.000083,0.018953,0.000064,0.000030,0.417610,0.033650,0.007258,0.008382,0.189561,0.000221,0.006981,0.000132,0.000081,3.862112,14.518453,14.518337,12.146090,5.958646,3.602841,5.873508,0.284662,2.367541,2.299517,0.019219,4.174352,13.426569,13.249425,0,0,0,0,0,0
xpu,ElectraForQuestionAnswering,128,30.695096,1.394712,2.776090,0.707243,29.038228,0.167458,0.188534,0.248578,0.001863,0.556857,0.021654,27.540254,0.595109,0.148603,1.108323,0.008981,0.000054,0.000965,0.000030,25.543890,0.395919,3.230175,1.766290,0.045293,0.104483,1.137056,0.014399,1.252434,18.562527,30.632179,30.588722,0.734787,1.486399,0.001003,0.000075,0.018398,0.000062,0.000028,0.419631,0.020118,0.007104,0.008411,0.188194,0.000215,0.007224,0.000134,0.000083,4.423700,22.540942,22.540827,11.829900,5.644122,3.815857,5.870682,0.285355,10.706507,10.643771,0.019244,4.137892,12.245718,12.070584,0,0,0,0,0,0
xpu,PLBartForConditionalGeneration,8,10.183694,7.848261,2.064495,0.528214,1.832715,0.068371,0.093027,0.461577,0.015455,0.308851,0.014817,7.426373,0.592312,0.143745,1.033494,0.051125,0.003826,0.001649,2.784557,0.012092,2.291767,0.006606,0.000133,0.000428,0.000107,5.614891,0.149781,0.785512,0.751927,0.011675,0.028036,0.234496,0.003792,0.224191,3.596838,7.012400,6.996661,0.159302,0.259077,0.000447,0.000207,0.003858,0.000141,0.000091,0.094121,0.005104,0.001507,0.001813,0.037051,0.000537,0.001668,0.000301,0.000254,0.806577,5.296847,5.296516,2.538397,1.125530,0.505274,1.345747,0.056682,0.452320,0.013048,1.601413,3.467361,3.417059,0
xpu,AlbertForMaskedLM,4,20.601069,1.120897,2.029496,0.171985,19.346141,0.130744,0.035564,0.123882,0.001319,0.592669,0.016868,18.368571,0.810419,0.148818,1.084222,0.009123,0.000050,0.000903,0.000030,16.391760,0.407562,2.996711,1.547505,0.044384,0.333927,0.864184,0.015687,1.077211,10.051714,35.911978,35.876626,0.630266,1.860934,0.000974,0.000077,0.014848,0.000059,0.000029,0.375478,0.467863,0.006270,0.007472,0.164282,0.000197,0.006225,0.000120,0.000080,3.169443,29.283853,29.283736,9.365409,4.403724,2.570662,4.755932,0.189996,19.913890,19.863952,0.043341,5.703745,26.035381,25.860972,0,0,0,0,0,0
xpu,LayoutLMForMaskedLM,16,20.020774,1.383816,2.763055,0.708706,18.378296,0.193126,0.187188,0.245621,0.001734,0.553092,0.024824,16.879899,0.584397,0.143530,1.054714,0.009663,0.000049,0.001152,0.000030,14.938297,0.389580,3.175406,1.991207,0.045695,0.100855,1.209740,0.173947,1.240865,7.798496,20.078259,20.030149,0.779523,1.168540,0.001065,0.000082,0.019742,0.000063,0.000029,0.295580,0.035191,0.007627,0.009311,0.197055,0.000225,0.007452,0.000136,0.000083,4.602493,11.940384,11.940263,11.130825,4.826913,2.482051,5.964900,0.305459,0.805035,0.730380,0.015850,3.076930,12.469505,12.280742,0,0,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,35.608597,2.576380,4.777852,1.232151,32.654548,0.399224,0.351368,0.347428,0.002204,1.081526,0.056639,30.250019,0.832662,0.145855,1.086251,0.017399,0.000058,0.002584,0.000039,27.777479,0.719818,6.141164,3.047510,0.090758,0.216569,1.967800,0.028243,2.409029,14.829736,35.878070,35.794434,1.920346,3.048490,0.001720,0.000082,0.037110,0.000068,0.000031,0.810054,0.051462,0.013242,0.208407,0.359379,0.000246,0.013457,0.000151,0.000084,6.539697,21.602579,21.602444,21.248611,9.390374,5.048350,11.165885,0.634526,0.347087,0.213510,0.014948,2.394758,21.411104,21.049791,0,0,0,0,0,0
xpu,PegasusForCausalLM,32,8.770990,8.319932,1.224827,0.387266,0.130970,0.041104,0.039436,0.293935,0.009939,0.208150,0.007241,6.881821,0.594466,0.146086,1.053945,0.022168,0.000715,0.000284,4.215366,0.001817,3.618418,0.005290,0.000100,0.000266,0.000084,5.138334,0.318393,3.684218,0.796103,0.004547,0.012962,0.577381,0.001836,6.803670,6.795515,0.086978,0.143113,0.000061,0.000347,0.000163,0.002167,0.000109,0.000068,0.050996,0.002443,0.000842,0.001104,0.019699,0.000409,0.000970,0.000218,0.000189,0.474711,5.840411,5.840154,1.629946,0.782577,0.380933,0.808233,0.032344,0.576000,0.015444,3.053002,0.358224,0.096654,3.317726,3.294538
