dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,CacheBase.get_system.triton_key,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,PyCodeCache.load_by_key_path,StaticAutotunerFuture.warm_precompile,async_compile.wait,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,async_compile.precompile,TritonBundler.collect,CachingAutotuner.benchmark_all_configs,aot_trace_joint_graph,min_cut_rematerialization_partition,backward._backward_impl,compile_fx.<locals>.bw_compiler
xpu,GoogleFnet,16,3.806945,0.808424,1.480123,0.431390,2.806959,0.099375,0.105068,0.181553,0.001986,0.275727,0.013424,2.050898,0.783065,0.145521,1.027530,0.071607,0.002868,0.001333,0.046061,0.011009,0.000516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,PLBartForCausalLM,8,8.227105,7.778345,1.213364,0.321671,0.102437,0.045946,0.045008,0.320541,0.008239,0.220682,0.008233,6.537521,0.591433,0.144929,1.044210,0.005959,0.000150,0.000331,0.000115,4.812078,0.105852,0.385403,0.954974,0.004725,0.012996,0.517852,0.001860,0.325651,2.977828,6.869081,6.858288,0.092957,0.154369,0.000365,0.000237,0.002364,0.000160,0.000107,0.053430,0.002725,0.000986,0.001268,0.020504,0.000594,0.001207,0.000335,0.000295,0.514636,5.797560,5.797198,1.715007,0.781145,0.341353,0.887295,0.037589,4.081208,0.598956,3.459081,0.015631,3.507886,0.010669,0.000614,0.000273,0.001495,3.921289,3.892692,0
xpu,RobertaForCausalLM,16,21.219755,1.392504,2.798724,0.916774,19.566215,0.170348,0.182078,0.247784,0.002364,0.550295,0.022605,18.045131,0.590986,0.145146,1.039059,0.009325,0.000052,0.001009,0.000031,16.122449,0.383931,3.186256,1.902446,0.046156,0.104478,1.277655,0.014458,1.227957,9.081628,20.534402,20.488816,0.736875,1.860030,0.001037,0.000082,0.018411,0.000060,0.000029,0.406173,0.033128,0.007209,0.008569,0.575324,0.000211,0.006741,0.000136,0.000083,3.883526,12.587745,12.587618,12.134724,6.017790,3.642446,5.803985,0.283664,0.448553,0.382485,0.017043,3.663734,11.629739,11.453714,0,0,0,0,0,0
xpu,BertForQuestionAnswering,32,21.167521,1.354700,2.720135,0.889638,19.555013,0.164979,0.380190,0.245607,0.001299,0.530852,0.021155,18.074807,0.598977,0.155267,1.069996,0.008934,0.000053,0.000952,0.000029,16.116956,0.383930,3.191226,1.742986,0.044958,0.105134,1.123716,0.014320,1.245937,9.220653,20.727845,20.683878,0.721651,1.454486,0.001002,0.000074,0.017935,0.000060,0.000028,0.413038,0.019802,0.006857,0.008179,0.181513,0.000193,0.006991,0.000125,0.000081,4.234144,12.885293,12.885167,11.959268,5.809252,3.994988,5.843779,0.277219,0.921556,0.853655,0.017681,3.663071,11.683625,11.508114,0,0,0,0,0,0
xpu,ElectraForQuestionAnswering,128,30.901933,1.389426,2.765153,0.703973,29.247728,0.166911,0.187304,0.251099,0.002243,0.553240,0.021484,27.756379,0.602504,0.153349,1.091575,0.008990,0.000053,0.000953,0.000029,25.770304,0.393891,3.221970,1.757288,0.046067,0.106245,1.131229,0.014216,1.243734,18.819525,30.735978,30.690823,0.734054,1.479054,0.001043,0.000075,0.018410,0.000066,0.000029,0.416819,0.020011,0.007057,0.008297,0.187899,0.000215,0.007083,0.000131,0.000080,4.375973,22.681653,22.681527,11.762688,5.626265,3.811023,5.822775,0.284816,10.914532,10.851219,0.018923,3.948039,12.093247,11.917425,0,0,0,0,0,0
xpu,PLBartForConditionalGeneration,8,10.719211,8.068013,1.953022,0.562199,2.103473,0.073390,0.104249,0.501173,0.017020,0.329722,0.015217,7.742447,0.587110,0.143478,1.035287,0.053404,0.002300,0.000943,3.043722,0.005597,2.553108,0.006675,0.000132,0.000450,0.000112,5.928839,0.154412,0.778678,0.739799,0.011327,0.027675,0.233408,0.003632,0.221351,3.927725,8.515814,8.499641,0.192681,0.297930,0.000495,0.000245,0.004731,0.000173,0.000106,0.106465,0.005571,0.001895,0.002250,0.045515,0.000628,0.002106,0.000340,0.000289,0.988136,6.532312,6.531926,3.502549,1.374916,0.622507,2.041939,0.073203,0.450178,0.016217,1.595460,4.640157,4.589667,0
xpu,AlbertForMaskedLM,4,19.302593,1.118081,2.024190,0.169456,18.045726,0.130009,0.034464,0.127989,0.001723,0.586003,0.016712,17.071749,0.813510,0.149278,1.080930,0.009850,0.000051,0.000901,0.000033,15.094462,0.400047,2.989320,1.612846,0.044673,0.350607,0.901585,0.016105,0.792503,8.990055,34.049643,33.707005,0.629062,1.835690,0.000945,0.000080,0.015508,0.000067,0.000030,0.375297,0.459026,0.006248,0.007488,0.159395,0.000198,0.006281,0.000124,0.000078,3.147854,27.164193,27.164083,9.666615,4.422622,2.963621,4.702818,0.525488,17.492160,17.443321,0.040328,5.140546,25.237420,25.060305,0,0,0,0,0,0
xpu,LayoutLMForMaskedLM,16,19.949499,1.386894,2.776676,0.707276,18.298972,0.194581,0.185948,0.249864,0.002006,0.558042,0.025405,16.791358,0.583472,0.142357,1.036504,0.009866,0.000054,0.001163,0.000030,14.869337,0.387338,3.178747,1.963709,0.046246,0.099910,1.199270,0.160260,1.168141,7.826202,20.071894,20.022874,0.767679,1.161833,0.001054,0.000079,0.019683,0.000060,0.000028,0.297852,0.035120,0.007598,0.009210,0.196441,0.000192,0.007313,0.000124,0.000079,4.480436,12.065617,12.065490,11.253281,4.937723,2.510691,5.987352,0.295173,0.807873,0.735954,0.016128,3.370325,12.432836,12.246646,0,0,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,35.245976,2.591779,4.792934,1.234160,32.279819,0.397266,0.351862,0.343072,0.002121,1.073035,0.055759,29.877651,0.828433,0.146781,1.096213,0.017640,0.000061,0.002616,0.000040,27.404303,0.702481,6.051890,3.019861,0.088751,0.212794,1.957730,0.027800,2.365045,14.643895,35.492594,35.408657,1.877318,3.004561,0.001810,0.000088,0.037424,0.000073,0.000029,0.812498,0.050627,0.013234,0.201284,0.350860,0.000226,0.013067,0.000153,0.000087,6.476146,21.393257,21.393107,21.078320,9.284654,4.975102,11.107570,0.629977,0.308158,0.175401,0.014276,2.396596,21.213198,20.850124,0,0,0,0,0,0
xpu,PegasusForCausalLM,32,8.586969,8.132228,1.231131,0.391755,0.131733,0.041197,0.040800,0.296296,0.010065,0.208752,0.007242,6.705711,0.595140,0.147524,1.038491,0.022131,0.000701,0.000285,4.128495,0.001772,3.535707,0.005114,0.000101,0.000257,0.000089,4.978195,0.300526,3.658263,0.676351,0.004474,0.012768,0.462793,0.001806,6.709594,6.701477,0.086445,0.140995,0.000052,0.000344,0.000158,0.002150,0.000108,0.000071,0.050232,0.002379,0.000835,0.001082,0.019346,0.000385,0.000938,0.000224,0.000188,0.472817,5.755703,5.755460,1.631724,0.784668,0.383406,0.808263,0.032093,0.572236,0.015456,3.065464,0.357683,0.096379,3.245468,3.222340
