dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,GoogleFnet,16,1.248990,69.415107,14.396115,0.000000,0,0,232,1,0,0,0,0,0
xpu,PLBartForCausalLM,8,1.027381,79.127977,16.014004,0.000000,0,0,186,1,0,0,0,0,0
xpu,RobertaForCausalLM,16,1.019324,107.916391,15.505706,0.000000,0,0,328,1,0,0,0,0,0
xpu,ElectraForQuestionAnswering,128,1.026638,105.781205,17.940254,0.000000,0,0,323,1,0,0,0,0,0
xpu,BertForQuestionAnswering,32,1.015386,165.635118,16.963342,0.000000,0,0,322,1,0,0,0,0,0
xpu,MT5ForConditionalGeneration,16,1.190538,39.618759,26.485229,0.000000,0,0,1190,1,0,0,0,0,0
xpu,AlbertForMaskedLM,4,1.053672,449.429674,16.554171,0.000000,0,0,395,1,0,0,0,0,0
xpu,XLNetLMHeadModel,8,1.236986,181.434037,27.590188,0.000000,0,0,818,1,0,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,1.036997,94.298558,24.816841,0.000000,0,0,1080,1,0,0,0,0,0
xpu,LayoutLMForMaskedLM,16,1.154917,99.776443,11.840103,0.000000,0,0,420,1,0,0,0,0,0
xpu,GPT2ForSequenceClassification,4,1.110149,46.450830,15.697804,0.000000,0,0,1078,2,0,0,0,0,0
xpu,RobertaForQuestionAnswering,32,1.023571,170.364849,13.225994,0.000000,0,0,329,1,0,0,0,0,0
xpu,PLBartForConditionalGeneration,8,1.028790,163.009205,15.775737,0.000000,0,0,476,1,0,0,0,0,0
xpu,MegatronBertForCausalLM,4,1.048919,74.943152,17.422997,0.000000,0,0,739,1,0,0,0,0,0
xpu,YituTechConvBert,16,1.159467,95.249241,16.073755,0.000000,0,0,650,1,0,0,0,0,0
xpu,LayoutLMForSequenceClassification,32,1.154247,165.926641,13.777089,0.000000,0,0,836,2,0,0,0,0,0
xpu,BlenderbotForCausalLM,4,1.008842,98.841121,16.746757,0.000000,0,0,633,1,0,0,0,0,0
xpu,T5ForConditionalGeneration,4,1.116561,47.138046,14.567355,0.000000,0,0,815,1,0,0,0,0,0
xpu,PegasusForCausalLM,32,1.023306,79.850872,10.480628,0.000000,0,0,333,1,0,0,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,1.083405,285.343641,19.638645,0.000000,0,0,1087,1,0,0,0,0,0
xpu,AlbertForQuestionAnswering,8,1.055656,874.016578,10.157736,0.000000,0,0,395,1,0,0,0,0,0
xpu,BlenderbotSmallForCausalLM,256,1.051549,178.475682,8.810861,0.000000,0,0,232,1,0,0,0,0,0
xpu,T5Small,4,1.117797,42.328894,10.395591,0.000000,0,0,815,1,0,0,0,0,0
xpu,MegatronBertForQuestionAnswering,16,1.074974,275.685460,18.573081,0.000000,0,0,740,1,0,0,0,0,0
xpu,DistilBertForMaskedLM,128,1.021612,108.403082,9.969250,0.000000,0,0,160,1,0,0,0,0,0
xpu,M2M100ForConditionalGeneration,16,1.016201,98.775330,26.676108,0.000000,0,0,887,1,0,0,0,0,0
xpu,TrOCRForCausalLM,32,1.055347,174.057211,12.197811,0.000000,0,0,446,1,0,0,0,0,0
xpu,PegasusForConditionalGeneration,64,1.022225,325.663291,27.906335,0.000000,0,0,871,1,0,0,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,1.075668,154.951352,19.753575,0.000000,0,0,600,1,0,0,0,0,0
xpu,DistilBertForQuestionAnswering,512,0.998205,280.926674,9.878352,0.000000,0,0,168,1,0,0,0,0,0
xpu,MBartForCausalLM,4,1.022534,97.262621,9.828148,0.000000,0,0,337,1,0,0,0,0,0
xpu,AllenaiLongformerBase,4,1.360580,69.955545,50.702197,0.000000,0,0,1780,4,4,1,0,0,0
xpu,MobileBertForMaskedLM,128,1.127298,71.934217,37.181975,0.000000,0,0,1307,1,0,0,0,0,0
xpu,DistillGPT2,16,1.142634,68.402066,12.219653,0.000000,0,0,292,2,3,1,0,0,0
xpu,XGLMForCausalLM,8,1.087686,56.918569,21.500081,0.000000,0,0,971,1,0,0,0,0,0
xpu,Qwen/Qwen3-0.6B,1,0.999034,139.729514,-0.785250,0.000000,0,0,0,0,0,0,0,0,0
xpu,BartForCausalLM,4,1.024863,96.181518,9.674161,0.000000,0,0,336,1,0,0,0,0,0
xpu,ElectraForCausalLM,32,1.052181,33.952454,16.389779,0.000000,0,0,322,1,0,0,0,0,0
xpu,MBartForConditionalGeneration,4,1.013291,215.702871,26.159430,0.000000,0,0,885,1,0,0,0,0,0
xpu,MobileBertForQuestionAnswering,256,1.168390,80.229631,34.122364,0.000000,0,0,1311,1,0,0,0,0,0
xpu,OPTForCausalLM,2,1.022316,77.854029,10.262898,0.000000,0,0,366,1,0,0,0,0,0
xpu,BartForConditionalGeneration,4,1.016451,212.767993,24.470620,0.000000,0,0,879,1,0,0,0,0,0
xpu,BertForMaskedLM,16,1.012047,99.166798,12.516744,0.000000,0,0,315,1,0,0,0,0,0
xpu,google/gemma-2-2b,1,1.584294,44120.700316,193.129215,0.000000,0,0,4401,2,0,0,0,0,2
xpu,meta-llama/Llama-3.2-1B,1,1.601892,22942.435696,91.973141,0.000000,0,0,973,1,0,0,0,0,1
xpu,openai/whisper-tiny,1,0.999454,35.420646,-1.069144,0.000000,0,0,0,0,0,0,0,0,0
