dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,get_fake_value,create_proxy,wrap_to_fake_tensor_and_record,variable_builder_call,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,CacheBase.get_system.triton_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,PyCodeCache.load_by_key_path,async_compile.wait,TritonBundler.collect,build_guards,gc,CachingAutotuner.benchmark_all_configs,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile
xpu,GoogleFnet,16,13.899847,13.772011,0.773354,0.156474,0.055292,0.050088,0.215575,0.013703,12.951971,0.590256,0.148432,1.058037,0.007939,0.000054,0.000661,0.000030,11.130231,0.150465,10.514667,0.500585,0.004197,0.026585,0.078893,0.003040,10.013198,10.005258,0.109185,0.370019,0.002650,0.000192,0.000047,0.001220,0.000023,0.000014,0.042278,0.143562,0.001382,0.001679,0.029380,0.000104,0.001191,0.000048,0.000038,0.685783,8.556799,8.556745,4.795296,0.619712,0.304552,4.129663,0.040254,3.760334,3.747107,0.002653,0.123435,0.000419,0.359501,0,0,0,0
xpu,PLBartForCausalLM,8,15.394786,15.289484,0.688599,0.149104,0.048282,0.044537,0.175000,0.012543,14.560602,0.592661,0.149495,1.033635,0.006943,0.000055,0.000585,0.000030,12.776058,0.135076,12.217517,3.307228,0.005065,0.016754,2.880034,0.001686,8.909497,8.903072,0.094854,0.271390,0.002141,0.000148,0.000052,0.000362,0.000021,0.000013,0.025794,0.103136,0.000981,0.001148,0.025625,0.000097,0.000956,0.000052,0.000041,0.483748,7.796736,7.796684,4.229489,0.397008,0.202904,3.799509,0.027535,3.566194,3.554266,0.002199,0.100785,0.001232,0.347578,0,0,0,0
xpu,RobertaForCausalLM,16,14.530845,14.338336,1.318527,0.285001,0.091054,0.091988,0.348418,0.021588,12.950405,0.800483,0.149005,1.034520,0.009527,0.000054,0.000967,0.000030,10.822747,0.311525,9.498278,1.224000,0.014270,0.040192,0.952608,0.004233,8.272653,8.257020,0.232493,0.964082,0.005718,0.000347,0.000046,0.002465,0.000028,0.000014,0.176625,0.401272,0.002840,0.003373,0.066205,0.000101,0.002481,0.000055,0.000040,1.534603,4.985756,4.985703,2.949864,0.971344,0.391492,1.835581,0.133669,2.034141,1.986441,0.005346,0.186204,0.000582,1.147202,0,0,0,0
xpu,ElectraForQuestionAnswering,128,16.655212,16.466768,1.301227,0.286976,0.089615,0.094224,0.344293,0.021448,15.096426,0.805539,0.151478,1.089495,0.009040,0.000052,0.000973,0.000030,12.903283,0.315546,11.554485,3.232965,0.013538,0.054323,2.943374,0.004336,8.319782,8.304734,0.238470,0.981150,0.005944,0.000388,0.000051,0.002487,0.000026,0.000013,0.186929,0.403182,0.002863,0.003423,0.067214,0.000105,0.002454,0.000054,0.000040,1.532505,4.998284,4.998230,2.805422,0.956941,0.395881,1.776784,0.062419,2.191280,2.168889,0.005681,0.181700,0.001120,1.434113,0,0,0,0
xpu,BertForQuestionAnswering,32,16.159349,15.973048,1.273189,0.278040,0.087754,0.088797,0.332675,0.022173,14.630417,0.791704,0.147738,1.088052,0.008968,0.000053,0.000993,0.000030,12.460892,0.309007,11.141985,3.167511,0.013550,0.056507,2.878508,0.004385,7.972822,7.957697,0.231471,0.960982,0.005881,0.000355,0.000047,0.002389,0.000023,0.000014,0.184570,0.393335,0.002807,0.003425,0.065153,0.000103,0.002443,0.000054,0.000040,1.487258,4.739334,4.739282,2.765314,0.936805,0.394291,1.757495,0.061707,1.972258,1.949502,0.005139,0.179717,0.001137,1.242197,0,0,0,0
xpu,MT5ForConditionalGeneration,16,24.964660,24.731545,2.216511,0.592114,0.187287,0.095731,0.422227,0.047903,22.407251,0.805042,0.145917,1.052986,0.018599,0.000065,0.002607,0.000035,20.238198,0.693311,17.788069,1.274832,0.031273,0.058000,0.930090,0.002159,16.511065,16.489329,0.639912,0.813804,0.010322,0.000565,0.000056,0.005959,0.000032,0.000014,0.238607,0.006901,0.003861,0.004968,0.101934,0.000129,0.003694,0.000073,0.000042,1.772986,12.564098,12.564045,4.799330,2.170289,1.496962,2.505348,0.113790,7.762443,7.734041,0.009783,0.224000,0.000295,1.445101,0,0,0,0
xpu,AlbertForMaskedLM,4,16.751829,16.683667,1.033268,0.309268,0.070309,0.015208,0.088811,0.015784,15.615961,0.590670,0.147973,1.086835,0.008963,0.000048,0.000888,0.000029,13.856444,0.312579,12.367483,0.649009,0.013155,0.050128,0.367280,0.004629,11.717158,11.705208,0.241065,0.968670,0.005831,0.000363,0.000051,0.002553,0.000024,0.000014,0.178978,0.400374,0.002704,0.003258,0.063756,0.000105,0.002400,0.000059,0.000042,1.326285,8.928383,8.928329,4.722568,2.803782,2.018451,1.860868,0.055009,4.204251,4.188855,0.006656,0.064031,0.000582,1.743440,0,0,0,0
xpu,XLNetLMHeadModel,8,26.168319,25.941488,2.217416,0.799894,0.154806,0.167861,0.496501,0.045618,23.613279,0.937562,0.148572,1.085031,0.015217,0.000052,0.002048,0.000034,21.087027,1.112973,16.827831,2.978333,0.044773,0.335317,1.881817,0.362706,13.845498,13.765489,0.797432,1.491097,0.021018,0.001053,0.000047,0.005486,0.000029,0.000013,0.091167,0.273310,0.008730,0.010101,0.213339,0.000115,0.007412,0.000074,0.000043,3.961039,6.311980,6.311916,6.250890,2.087584,0.962960,3.619376,0.525166,0.058748,0.020427,0.005641,0.217551,0.000298,1.265540,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,24.263152,23.965595,2.264698,0.505594,0.211811,0.167094,0.594214,0.052999,21.563428,0.796123,0.345539,1.092172,0.018034,0.000066,0.002610,0.000036,19.114028,0.624644,16.610495,1.078101,0.027367,0.079205,0.708390,0.008125,15.529777,15.502855,0.427998,1.889114,0.009175,0.000567,0.000046,0.005054,0.000028,0.000018,0.350232,0.792392,0.005052,0.071729,0.122930,0.000120,0.004537,0.000084,0.000047,2.215277,9.699405,9.699349,5.023481,1.976856,0.701251,2.914232,0.115774,4.673772,4.636743,0.003974,0.285417,0.000151,0.618095,0,0,0,0
xpu,LayoutLMForMaskedLM,16,11.073250,10.886369,1.317934,0.290954,0.101689,0.089551,0.343706,0.024670,9.495195,0.796906,0.143903,1.055324,0.010082,0.000054,0.001169,0.000030,7.338649,0.316994,6.057899,1.048087,0.014284,0.035253,0.781206,0.003329,5.008184,4.995305,0.175684,0.715372,0.004204,0.000250,0.000048,0.002182,0.000023,0.000013,0.035726,0.390487,0.002142,0.002476,0.049994,0.000105,0.001956,0.000053,0.000042,1.170436,2.430722,2.430670,2.086435,0.728874,0.307047,1.289505,0.058627,0.342809,0.322626,0.003134,0.181380,0.000396,0.520934,0,0,0,0
xpu,GPT2ForSequenceClassification,4,14.793009,14.479325,2.250417,0.418733,0.195644,0.134137,0.512648,0.048660,12.107216,0.596920,0.152536,1.089768,0.011030,0.000056,0.001261,0.000030,9.953410,0.429669,8.841525,0.611846,0.007941,0.027121,0.379786,0.003130,8.228464,8.218257,0.155402,0.492587,0.003631,0.000250,0.000050,0.001190,0.000023,0.000014,0.039484,0.203317,0.001788,0.002210,0.043375,0.000107,0.001683,0.000054,0.000040,0.872752,6.305461,6.305410,2.369297,1.229755,0.595761,1.084326,0.048176,3.960256,3.930881,0.004588,0.301958,0.000796,0.686071,0.033987,0.001393,0.000585,0.005029
