dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,GoogleFnet,16,1.221681,202.826442,19.250203,0.000000,0,0,232,1,4,4,0,0,0
xpu,PLBartForCausalLM,8,1.021400,240.153682,18.190390,0.000000,0,0,63,6,7,5,0,0,0
xpu,RobertaForCausalLM,16,1.036745,341.709786,34.457733,0.000000,0,0,328,1,4,4,0,0,0
xpu,BertForQuestionAnswering,32,1.023816,515.746831,36.638309,0.000000,0,0,322,1,4,4,0,0,0
xpu,ElectraForQuestionAnswering,128,1.081838,360.122893,45.332350,0.000000,0,0,323,1,4,4,0,0,0
xpu,PLBartForConditionalGeneration,8,1.035215,471.774109,15.875960,0.000000,0,0,132,10,8,6,0,0,0
xpu,DebertaV2ForMaskedLM,2,1.034402,285.274292,55.535651,0.000000,0,0,1080,1,4,4,0,0,0
xpu,MT5ForConditionalGeneration,16,1.173142,132.129393,66.732314,0.000000,0,0,1190,1,4,4,0,0,0
xpu,LayoutLMForMaskedLM,16,1.082223,312.419843,33.272945,0.000000,0,0,420,1,4,4,0,0,0
xpu,AlbertForMaskedLM,4,1.055676,1330.757890,46.501226,0.000000,0,0,395,1,4,4,0,0,0
xpu,XLNetLMHeadModel,8,1.148856,577.819561,74.444924,0.000000,0,0,770,1,4,4,0,0,0
xpu,RobertaForQuestionAnswering,32,1.026602,505.842184,29.354589,0.000000,0,0,329,1,4,4,0,0,0
xpu,PegasusForCausalLM,32,1.013154,241.183082,16.202364,0.000000,0,0,59,5,7,5,0,0,0
xpu,GPT2ForSequenceClassification,4,1.124711,157.809748,37.591404,0.000000,0,0,1078,2,5,4,0,0,0
xpu,BlenderbotForCausalLM,4,1.008732,304.225580,16.754718,0.000000,0,0,61,6,7,5,0,0,0
xpu,LayoutLMForSequenceClassification,32,1.077104,510.634287,39.906577,0.000000,0,0,836,2,5,4,0,0,0
xpu,T5ForConditionalGeneration,4,1.035977,146.987745,35.857124,0.000000,0,0,815,1,4,4,0,0,0
xpu,BlenderbotSmallForCausalLM,256,1.020125,557.852793,18.437820,0.000000,0,0,59,5,7,5,0,0,0
xpu,MegatronBertForCausalLM,4,1.031624,231.827897,68.003967,0.000000,0,0,739,1,4,4,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,1.043517,869.231215,56.189886,0.000000,0,0,1087,1,4,4,0,0,0
xpu,T5Small,4,1.035802,159.676755,5.773994,0.000000,0,0,815,1,4,4,0,0,0
xpu,PegasusForConditionalGeneration,64,1.022618,967.635398,24.729330,0.000000,0,0,119,9,10,6,0,0,0
xpu,YituTechConvBert,16,1.127837,300.596146,61.531882,0.000000,0,0,650,1,4,4,0,0,0
xpu,Qwen/Qwen3-0.6B,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,google/gemma-2-2b,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,meta-llama/Llama-3.2-1B,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,1.041583,510.894306,25.724499,0.000000,0,0,121,9,10,6,0,0,0
xpu,openai/whisper-tiny,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,TrOCRForCausalLM,32,1.012060,489.238078,14.139065,0.000000,0,0,57,5,6,5,0,0,0
xpu,M2M100ForConditionalGeneration,16,1.018529,294.575160,45.111548,0.000000,0,0,124,8,8,6,0,0,0
xpu,AlbertForQuestionAnswering,8,1.062331,2609.804172,39.212139,0.000000,0,0,395,1,4,4,0,0,0
xpu,DistilBertForMaskedLM,128,1.036561,325.236010,36.253751,0.000000,0,0,160,1,4,4,0,0,0
xpu,MBartForCausalLM,4,1.012652,316.745205,14.250516,0.000000,0,0,63,6,7,5,0,0,0
xpu,XGLMForCausalLM,8,1.052319,176.565337,17.156672,0.000000,0,0,68,5,6,5,0,0,0
xpu,MegatronBertForQuestionAnswering,16,1.044586,837.945109,63.663624,0.000000,0,0,740,1,4,4,0,0,0
xpu,DistilBertForQuestionAnswering,512,1.041041,851.110710,35.155352,0.000000,0,0,168,1,4,4,0,0,0
xpu,MBartForConditionalGeneration,4,1.019457,639.212742,15.132301,0.000000,0,0,131,10,9,6,0,0,0
xpu,AllenaiLongformerBase,4,1.514989,214.390326,83.423468,0.000000,0,0,1780,4,8,5,0,0,0
xpu,DistillGPT2,16,1.122009,216.203239,29.646373,0.000000,0,0,292,2,7,5,0,0,0
xpu,BartForCausalLM,4,1.019276,288.948369,11.938913,0.000000,0,0,63,6,7,5,0,0,0
xpu,MobileBertForMaskedLM,128,1.090973,232.112104,109.661142,0.000000,0,0,1307,1,4,4,0,0,0
xpu,ElectraForCausalLM,32,1.149883,113.490764,45.843546,0.000000,0,0,322,1,4,4,0,0,0
xpu,BartForConditionalGeneration,4,1.024043,631.841081,13.426011,0.000000,0,0,127,10,10,6,0,0,0
xpu,BertForMaskedLM,16,1.034287,307.216506,29.109692,0.000000,0,0,315,1,4,4,0,0,0
xpu,MobileBertForQuestionAnswering,256,1.092233,285.190832,108.623166,0.000000,0,0,1311,1,4,4,0,0,0
xpu,OPTForCausalLM,2,1.030305,229.866704,15.140827,0.000000,0,0,58,4,7,5,0,0,0
