Mode,Model,Dtype,Result
Accuracy,alexnet,float32,56.556,79.084
Accuracy,alexnet,int8,55.702,78.734
Accuracy,mnasnet1_0,float32,73.468,91.516
Accuracy,mnasnet1_0,int8,71.646,90.482
Accuracy,mobilenet_v2,float32,71.870,90.294
Accuracy,mobilenet_v2,int8,71.052,89.960
Accuracy,mobilenet_v3_large,float32,74.054,91.340
Accuracy,mobilenet_v3_large,int8,67.616,88.028
Accuracy,resnet152,float32,78.316,94.060
Accuracy,resnet152,int8,77.620,93.634
Accuracy,resnet18,float32,69.760,89.082
Accuracy,resnet18,int8,67.734,87.956
Accuracy,resnet50,float32,76.146,92.872
Accuracy,resnet50,int8,75.166,92.420
Accuracy,resnext50_32x4d,float32,77.608,93.688
Accuracy,resnext50_32x4d,int8,77.366,93.542
Accuracy,shufflenet_v2_x1_0,float32,69.356,88.314
Accuracy,shufflenet_v2_x1_0,int8,66.530,86.592
Accuracy,squeezenet1_1,float32,58.188,80.616
Accuracy,squeezenet1_1,int8,45.284,71.978
Accuracy,vgg16,float32,71.586,90.390
Accuracy,vgg16,int8,69.434,89.514
