Mode,Model,Dtype,Result
Performance,alexnet,float32,11940.001476749341
Performance,alexnet,ASYMM,91410.03052574839
Performance,alexnet,SYMM,93669.63720964882
Performance,demucs,float32,160.49449479174174
Performance,demucs,ASYMM,failed
Performance,demucs,SYMM,failed
Performance,dlrm,float32,1242.057820343723
Performance,dlrm,ASYMM,706.5684916410739
Performance,dlrm,SYMM,811.4400271486695
Performance,hf_Albert,float32,192.20025768089465
Performance,hf_Albert,ASYMM,194.80343009335348
Performance,hf_Albert,SYMM,194.9636589899984
Performance,hf_Bert,float32,167.83611730788516
Performance,hf_Bert,ASYMM,484.3370398712674
Performance,hf_Bert,SYMM,494.6747155941023
Performance,hf_Bert_large,float32,63.98874412700965
Performance,hf_Bert_large,ASYMM,156.82554586182258
Performance,hf_Bert_large,SYMM,163.0568280030261
Performance,hf_DistilBert,float32,265.5740618727615
Performance,hf_DistilBert,ASYMM,failed
Performance,hf_DistilBert,SYMM,failed
Performance,hf_Roberta_base,float32,74.44741754376227
Performance,hf_Roberta_base,ASYMM,failed
Performance,hf_Roberta_base,SYMM,failed
Performance,mnasnet1_0,float32,9732.864182053705
Performance,mnasnet1_0,ASYMM,21217.644434318194
Performance,mnasnet1_0,SYMM,29236.10970050717
Performance,mobilenet_v2,float32,9146.579179262657
Performance,mobilenet_v2,ASYMM,21243.030887237095
Performance,mobilenet_v2,SYMM,31644.908707517236
Performance,mobilenet_v3_large,float32,11790.300351316308
Performance,mobilenet_v3_large,ASYMM,17708.036406339554
Performance,mobilenet_v3_large,SYMM,24786.029326093132
Performance,nvidia_deeprecommender,float32,48339.42638855356
Performance,nvidia_deeprecommender,ASYMM,61795.3992231459
Performance,nvidia_deeprecommender,SYMM,62427.77999776114
Performance,resnet152,float32,704.7256355256168
Performance,resnet152,ASYMM,3812.0341937436688
Performance,resnet152,SYMM,5915.674564881283
Performance,resnet18,float32,4706.44643442558
Performance,resnet18,ASYMM,42150.407225434115
Performance,resnet18,SYMM,46490.09656408168
Performance,resnet50,float32,1907.4443050943846
Performance,resnet50,ASYMM,10530.044881319534
Performance,resnet50,SYMM,15486.774149876052
Performance,resnext50_32x4d,float32,1699.0308378337395
Performance,resnext50_32x4d,ASYMM,7135.38137159737
Performance,resnext50_32x4d,SYMM,8551.504140231566
Performance,shufflenet_v2_x1_0,float32,20942.207260684783
Performance,shufflenet_v2_x1_0,ASYMM,18726.25895001868
Performance,shufflenet_v2_x1_0,SYMM,27408.85174752515
Performance,squeezenet1_1,float32,14796.289404843348
Performance,squeezenet1_1,ASYMM,23361.268324145032
Performance,squeezenet1_1,SYMM,24537.18531911468
Performance,Super_SloMo,float32,58.54865149809594
Performance,Super_SloMo,ASYMM,101.7200142412659
Performance,Super_SloMo,SYMM,107.57116314097917
Performance,timm_efficientnet,float32,6526.153522040457
Performance,timm_efficientnet,ASYMM,12550.647508072641
Performance,timm_efficientnet,SYMM,14222.7540578823
Performance,timm_nfnet,float32,1178.656753108547
Performance,timm_nfnet,ASYMM,5441.6387734635355
Performance,timm_nfnet,SYMM,5726.152014119221
Performance,timm_regnet,float32,674.2230011144102
Performance,timm_regnet,ASYMM,3129.0439237818337
Performance,timm_regnet,SYMM,3853.595651231807
Performance,timm_resnest,float32,2883.6556750550862
Performance,timm_resnest,ASYMM,15970.725659866028
Performance,timm_resnest,SYMM,16660.20065653547
Performance,timm_vision_transformer,float32,1821.9861330616654
Performance,timm_vision_transformer,ASYMM,5037.208656407993
Performance,timm_vision_transformer,SYMM,5082.222158427619
Performance,timm_vision_transformer_large,float32,37.83975680241566
Performance,timm_vision_transformer_large,ASYMM,200.36781144226887
Performance,timm_vision_transformer_large,SYMM,201.1565837673375
Performance,timm_vovnet,float32,1178.714003160113
Performance,timm_vovnet,ASYMM,10194.19120963963
Performance,timm_vovnet,SYMM,11136.35042896213
Performance,vgg16,float32,559.5017731455263
Performance,vgg16,ASYMM,2140.4891543263684
Performance,vgg16,SYMM,2575.3793461331165
