dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,CacheBase.get_system.triton_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,aot_trace_joint_graph,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,min_cut_rematerialization_partition,compile_fx.<locals>.fw_compiler_base,compile_fx_inner,fx_codegen_and_compile,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,PyCodeCache.load_by_key_path,async_compile.wait,TritonBundler.collect,CachingAutotuner.benchmark_all_configs,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile,backward._backward_impl,compile_fx.<locals>.bw_compiler
xpu,repvgg_a2,128,26.882381,1.417110,2.787596,1.229362,25.069224,0.153653,0.475077,0.373429,0.002482,0.317617,0.024504,23.541694,0.720241,0.145322,1.065069,0.010089,0.000050,0.002318,0.000037,21.292249,0.280366,2.863644,0.409175,0.020994,0.116371,0.033458,0.033158,1.562493,15.792963,26.554675,26.506053,0.804827,0.942806,0.001135,0.000086,0.019865,0.000064,0.000035,0.398272,0.018368,0.007451,0.008775,0.201379,0.000213,0.007872,0.000135,0.000081,4.841729,18.129097,18.128977,17.425330,7.510605,3.283255,9.405575,0.476154,0.697619,0.623769,0.035443,7.053240,10.918078,10.762673,0,0,0,0
xpu,gernet_l,128,25.446545,1.560288,3.002652,1.248247,23.490929,0.158198,0.463028,0.371511,0.002414,0.407296,0.024752,21.888894,0.732569,0.150757,1.110748,0.010521,0.000053,0.002305,0.000038,19.591330,0.332288,2.945172,0.421996,0.024115,0.121054,0.032907,0.031062,1.590287,13.902454,26.172925,26.121312,0.847978,0.947183,0.001187,0.000080,0.020530,0.000062,0.000028,0.385073,0.016214,0.007976,0.009760,0.207348,0.000209,0.007827,0.000137,0.000080,4.739690,17.701735,17.701609,17.183470,7.180553,2.294511,9.379888,0.585292,0.511008,0.425258,0.058920,10.913579,12.449628,12.271496,0,0,0,0
xpu,convnext_base,64,23.289563,1.670853,3.212033,1.266079,21.229555,0.208346,0.307992,0.362933,0.003263,0.615666,0.032267,19.517171,0.726259,0.154748,1.106723,0.010919,0.000059,0.001424,0.000031,17.218627,0.643817,3.154648,1.029423,0.042554,0.108081,0.580999,0.020011,1.518776,10.473095,38.186527,38.129125,0.868207,1.344544,0.001114,0.000079,0.018740,0.000057,0.000027,0.341291,0.023613,0.008340,0.010037,0.596059,0.000227,0.008440,0.000146,0.000085,5.425568,28.193539,28.193411,24.255025,10.320873,5.580808,13.333275,0.553352,3.931033,3.821797,0.094224,19.222000,27.964284,27.714682,0,0,0,0
xpu,dm_nfnet_f0,128,27.319257,1.676782,3.066255,0.849026,25.285858,0.210322,0.233219,0.333728,0.002437,1.005976,0.031756,23.759004,0.724789,0.148119,1.079211,0.012547,0.000054,0.002781,0.000038,21.616968,0.526917,3.480087,0.822326,0.039511,0.136676,0.361193,0.032419,1.791037,14.493691,36.375834,36.311329,1.233865,1.253965,0.001468,0.000079,0.025090,0.000074,0.000028,0.519863,0.012192,0.010081,0.012834,0.262909,0.000221,0.009930,0.000150,0.000084,6.939767,24.615669,24.615546,23.934570,9.894068,4.494433,13.373239,0.615338,0.672517,0.561288,0.117730,20.365645,22.185854,21.883369,0,0,0,0
xpu,mobilenetv3_large_100,512,26.091960,1.570299,2.783810,1.091036,24.156508,0.143377,0.436530,0.343329,0.003235,0.607153,0.023751,22.800340,0.716232,0.144763,1.034511,0.009576,0.000052,0.001968,0.000035,20.632216,0.517956,2.939099,0.396235,0.021819,0.111412,0.034824,0.024547,1.195451,15.183824,39.663025,39.288160,1.139217,1.261007,0.001208,0.000080,0.021970,0.000067,0.000030,0.403885,0.016282,0.008034,0.010235,0.208346,0.000204,0.007932,0.000134,0.000080,5.868617,28.858265,28.858146,23.587202,9.056759,3.556096,13.540984,0.951376,5.258452,5.153462,0.174201,29.628191,24.685427,24.480290,0,0,0,0
xpu,tinynet_a,128,33.139626,1.915733,3.509036,1.400348,30.782429,0.197353,0.533634,0.417045,0.003042,0.655089,0.033153,28.997095,0.716226,0.148018,1.103132,0.011555,0.000054,0.002570,0.000033,26.625517,0.755514,3.530268,0.897195,0.034577,0.552583,0.050955,0.040993,1.698377,19.187567,49.554331,49.478751,1.606268,1.980639,0.001640,0.000087,0.034207,0.000071,0.000029,0.679494,0.030084,0.017958,0.021386,0.302666,0.000225,0.011358,0.000157,0.000088,8.492166,34.229065,34.228936,28.741594,12.617758,5.371197,15.211238,0.854807,5.468436,5.310648,0.165211,29.089695,30.674682,30.368149,0,0,0,0
xpu,sebotnet33ts_256,64,34.488461,1.867741,2.946777,1.031339,32.234585,0.169463,0.235691,0.361620,0.004328,0.704361,0.027017,31.008537,0.726594,0.148322,1.106860,0.011384,0.000088,0.002156,0.000063,28.807572,0.534094,3.095941,2.367770,0.034184,0.110590,1.969484,0.026549,1.525863,20.876853,45.836058,45.783469,1.057623,1.824168,0.001271,0.000148,0.026311,0.000114,0.000053,0.448631,0.017946,0.008399,0.011594,0.511900,0.000371,0.008532,0.000244,0.000158,7.325995,33.107518,33.107307,30.599367,15.340079,5.620117,14.631814,0.590601,2.494601,2.405421,0.669418,30.927059,25.177840,24.960595,0,0,0,0
xpu,lcnet_050,256,16.396160,0.914189,1.508712,0.554572,15.218060,0.079713,0.155539,0.249232,0.002188,0.330136,0.013749,14.518786,0.890855,0.150091,1.104443,0.007448,0.000051,0.001223,0.000036,12.282252,0.349579,1.712500,0.519638,0.014444,0.271938,0.027879,0.014727,0.557980,8.885832,24.023149,23.992655,0.939229,0.804539,0.000811,0.000077,0.014565,0.000063,0.000029,0.271246,0.010832,0.004750,0.005454,0.130557,0.000198,0.005043,0.000114,0.000081,3.693216,17.318412,17.318293,14.698714,5.894179,2.632572,8.418021,0.363757,2.608045,2.506701,0.098420,15.786769,15.278595,15.138063,0,0,0,0
xpu,convnextv2_nano.fcmae_ft_in22k_in1k,128,16.031447,0.963384,1.675180,0.582360,14.785585,0.124454,0.148945,0.265169,0.002573,0.360178,0.020061,13.959328,0.927605,0.147250,1.093597,0.008519,0.000056,0.000860,0.000031,11.700718,0.244756,1.535797,0.595602,0.017794,0.055837,0.072816,0.009242,0.433721,8.684884,25.604986,25.212301,0.492064,0.691126,0.000614,0.000078,0.011702,0.000056,0.000027,0.199635,0.009046,0.004044,0.004915,0.280435,0.000196,0.004132,0.000113,0.000080,3.205951,19.662591,19.662475,15.557070,6.529931,3.087061,8.661192,0.339915,4.098930,4.037546,0.075551,16.072110,17.041472,16.920931,0,0,0,0
xpu,adv_inception_v3,128,49.877044,2.536547,4.440492,1.806860,46.796006,0.261382,0.490526,0.512793,0.003181,0.666925,0.041522,44.665835,0.962387,0.148975,1.090861,0.014514,0.000059,0.003665,0.000038,41.904267,0.562585,4.953925,0.565986,0.040243,0.199828,0.046366,0.049637,2.386174,32.731279,69.493267,69.402953,1.620485,1.689313,0.001904,0.000084,0.036344,0.000064,0.000029,0.677350,0.028534,0.014483,0.018793,0.373365,0.000228,0.013967,0.000163,0.000084,11.806648,50.748608,50.748474,44.660027,17.160773,5.577381,26.384715,1.050263,6.074015,5.917699,0.208143,34.501856,38.716214,36.763486,0,0,0,0
