dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,torchrec_dlrm,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,timm_efficientdet,0,model_fail_to_load,0,0,0,0,0,0,0,0,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,dlrm,4,pass,36,1,5,4,0,0,0,11.550613,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,nanogpt,4,pass,393,1,5,4,0,0,0,23.690662,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,BERT_pytorch,4,pass,543,1,5,4,0,0,0,22.507121,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,hf_GPT2,4,pass,564,2,6,5,0,0,0,23.859395,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,Background_Matting,4,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,drq,1,pass,59,3,5,4,0,0,0,7.148354,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,resnet50,4,pass,175,1,5,4,0,0,0,24.681421,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,nvidia_deeprecommender,4,pass,13,1,5,4,0,0,0,4.440515,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,opacus_cifar10,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,resnet50_quantized_qat,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,LearningToPaint,4,pass,71,1,5,4,0,0,0,11.751504,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,fastNLP_Bert,4,pass,442,4,9,5,0,0,0,24.373835,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,timm_efficientnet,4,pass,239,1,5,4,0,0,0,33.395223,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,llava,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,resnext50_32x4d,4,pass,175,1,5,4,0,0,0,19.635848,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,phlippe_densenet,4,pass,186,1,5,4,0,0,0,22.458164,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,sam,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,maml_omniglot,5,pass,14,1,5,4,0,0,0,11.881263,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,microbench_unbacked_tolist_sum,4,pass,0,0,7,5,0,0,0,0.631026,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,functorch_dp_cifar10,4,fail_accuracy,69,1,5,4,0,0,0,15.887792,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,hf_GPT2_large,4,pass,1572,2,6,5,0,0,0,64.981179,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,phlippe_resnet,4,pass,71,1,5,4,0,0,0,10.081643,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,densenet121,4,pass,431,1,5,4,0,0,0,71.227514,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,functorch_maml_omniglot,1,pass,14,1,5,4,0,0,0,7.272581,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,detectron2_maskrcnn_r_50_c4,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,pytorch_stargan,16,pass,56,1,5,4,0,0,0,13.018499,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,timm_nfnet,4,pass,595,1,5,4,0,0,0,38.306529,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,hf_Albert,4,pass,369,1,4,4,0,0,0,21.535417,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,Super_SloMo,4,pass,378,2,5,4,0,0,0,34.815867,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,mnasnet1_0,4,pass,152,1,5,4,0,0,0,24.449536,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,shufflenet_v2_x1_0,4,pass,271,1,5,4,0,0,0,41.975814,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,soft_actor_critic,256,pass,17,2,4,4,0,0,0,4.548333,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,alexnet,4,pass,22,1,5,4,0,0,0,12.742634,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,hf_Longformer,4,pass,1787,4,8,5,0,0,0,59.338100,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,basic_gnn_edgecnn,1,pass,55,1,5,4,0,0,0,5.092385,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,hf_Bart,4,pass,332,7,8,5,0,0,0,25.503712,inductor_torchbench_float16_training_xpu_accuracy.csv
xpu,pytorch_unet,2,pass_due_to_skip,71,1,5,4,0,0,0,15.923601,inductor_torchbench_float16_training_xpu_accuracy.csv
