dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,CacheBase.get_system.triton_key,TritonBundler.read_and_emit,PyCodeCache.load_by_key_path,compile_file,async_compile.wait,aot_trace_joint_graph,min_cut_rematerialization_partition,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,TritonBundler.collect,CachingAutotuner.benchmark_all_configs,pass.post_grad_passes.reorder_for_locality,compile_attempt_2,pgo.dynamic_whitelist,AOTAutogradCache.inductor_load,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile,backward._backward_impl,compile_fx.<locals>.bw_compiler
xpu,nvidia_deeprecommender,256,5.677790,0.194424,0.254657,0.097870,5.350259,0.008873,0.020012,0.122791,0.004734,0.055225,0.002240,5.231187,0.715112,0.146090,1.040234,0.004296,0.000049,0.000111,0.000030,3.443612,0.038855,0.187943,1.367690,0.001639,0.005814,0.985920,0.000102,0.052703,1.770375,3.776330,3.773080,0.051403,0.066036,0.000198,0.000074,0.001324,0.000045,0.000029,0.020955,0.001052,0.000407,0.000551,0.009278,0.000152,0.000465,0.000092,0.000078,0.191272,3.395550,3.395449,0.513126,0.171572,0.071094,0.322978,0.014936,2.880706,0.566746,2.304216,0.005605,1.245892,2.018591,2.006357,0,0,0,0,0,0,0
xpu,dcgan,32,6.071983,0.215445,0.280473,0.119686,5.707990,0.011099,0.026141,0.139031,0.003443,0.076908,0.003083,5.581816,0.712627,0.147051,1.089955,0.004865,0.000056,0.000267,0.000035,3.742529,0.056361,0.223566,0.366182,0.002462,0.007608,0.003177,0.001885,0.074340,2.984360,4.584175,4.579968,0.085517,0.114865,0.000140,0.000075,0.002023,0.000047,0.000028,0.027122,0.000928,0.000555,0.000682,0.013377,0.000185,0.000657,0.000095,0.000080,0.771912,3.500139,3.500025,1.438281,0.666857,0.239577,0.725832,0.040610,2.059092,2.044803,0.016629,2.826085,1.614860,1.600282,0,0,0,0,0,0,0,0
xpu,maml_omniglot,5,6.225082,0.215567,0.282544,0.125842,5.862960,0.010931,0.027744,0.137687,0.003097,0.072084,0.003131,5.735326,0.713007,0.149149,1.118294,0.004970,0.000053,0.000274,0.000040,3.866455,0.054413,0.295324,1.210830,0.001583,0.008802,0.852286,0.001887,0.071999,2.197083,6.269270,6.264346,0.093937,0.076431,0.000139,0.000081,0.001233,0.000045,0.000028,0.021210,0.001168,0.000539,0.000686,0.013452,0.000170,0.000631,0.000096,0.000079,0.731582,5.256794,5.256683,1.797355,0.750688,0.192412,1.004651,0.037029,3.457126,3.444440,0.014218,2.253092,4.086807,4.072639,0,0,0,0,0,0,0,0
xpu,microbench_unbacked_tolist_sum,1,0.860272,0.627859,0.621057,0.195288,0.067128,0.078518,0.013972,0.154403,0.001962,0.058697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,dlrm,1024,5.606028,0.307987,0.432784,0.182924,5.142716,0.021011,0.045655,0.146988,0.001776,0.104512,0.004634,4.939109,0.713999,0.147095,1.098607,0.005503,0.000050,0.000191,0.000029,3.084526,0.063573,0.232582,1.052158,0.001615,0.007504,0.675174,0.000073,0.055424,1.653844,3.651767,3.647594,0.057629,0.053309,0.000117,0.000075,0.000999,0.000044,0.000027,0.004256,0.001452,0.000466,0.000555,0.010938,0.000159,0.000535,0.000094,0.000078,0.321537,3.122845,3.122743,0.825841,0.327034,0.160583,0.443938,0.049436,2.295162,0.507810,1.765663,0.009329,2.018525,2.011656,1.998375,0,0,0,0,0,0,0
xpu,resnet18,16,12.029773,0.553546,0.931678,0.357213,11.261036,0.054229,0.112664,0.202866,0.002930,0.181909,0.010064,10.793868,0.713668,0.141577,1.131177,0.006862,0.000057,0.000943,0.000034,8.686234,0.147449,1.022764,0.265397,0.008583,0.043678,0.015809,0.011310,0.565509,6.535588,14.438162,14.418732,0.329421,0.343483,0.000461,0.000075,0.006693,0.000053,0.000028,0.136046,0.005944,0.002678,0.003052,0.071571,0.000174,0.002751,0.000097,0.000081,1.977995,11.390403,11.390282,7.991413,3.294465,0.888492,4.502154,0.179314,3.394342,3.355813,0.047007,7.515988,7.962932,7.903229,0,0,0,0,0,0,0,0
xpu,squeezenet1_1,32,17.112843,0.334906,0.562274,0.222583,16.599724,0.033753,0.059192,0.167808,0.002744,0.091493,0.007044,16.297779,0.737915,0.152757,1.109828,0.005917,0.000055,0.000278,0.000029,14.392622,0.089783,0.707250,0.211030,0.003767,0.015951,0.002471,0.000039,0.091843,13.230645,20.727490,20.721231,0.157321,0.085592,0.000152,0.000087,0.001573,0.000046,0.000028,0.009554,0.001044,0.000773,0.000873,0.021268,0.000173,0.000812,0.000115,0.000079,0.868764,19.352097,19.351973,6.725237,2.575404,0.372137,3.995128,0.143510,12.623691,12.595925,0.066793,10.686185,7.529409,7.497395,0,0,0,0,0,0,0,0
xpu,hf_Albert,8,20.318866,1.033620,1.849313,0.169529,19.128888,0.115977,0.038164,0.143157,0.003160,0.579295,0.017073,18.230131,0.860978,0.151156,1.101200,0.009104,0.000057,0.000870,0.000032,16.210544,0.392709,3.002436,1.395950,0.044069,0.176478,0.863600,0.016002,1.050774,10.053284,24.361502,23.960067,0.630028,1.819054,0.000965,0.000080,0.015383,0.000062,0.000042,0.364432,0.439975,0.006217,0.007829,0.163117,0.000210,0.006189,0.000127,0.000082,3.258439,17.731242,17.731125,10.318620,4.853705,2.778026,5.244360,0.204092,7.407939,7.357160,0.019572,3.109386,14.898201,14.308980,0,0,0,0,0,0,0,0
xpu,BERT_pytorch,16,25.809667,1.642005,3.592827,1.225829,23.854890,0.269021,0.522622,0.289107,0.001848,0.888866,0.048342,21.722833,0.946149,0.192522,1.098677,0.010514,0.000054,0.001416,0.000031,19.534013,0.440125,3.478182,2.508044,0.042316,0.109635,1.816286,0.008372,1.486635,11.265440,22.309253,22.263476,0.808508,1.528733,0.001095,0.000087,0.016430,0.000068,0.000029,0.389180,0.022951,0.007379,0.009494,0.522533,0.000217,0.007420,0.000136,0.000088,4.197549,14.963083,14.962954,13.341968,6.742935,4.174769,6.297858,0.272115,1.616783,1.554565,0.016198,2.822783,11.233683,11.044772,0,0,0,0,0,0,0,0
xpu,drq,1,6.666087,0.752263,0.656855,0.242027,5.716376,0.024826,0.042095,0.184119,0.004522,0.099655,0.006723,5.724163,0.718658,0.149734,1.098992,0.005329,0.000079,0.000205,0.000060,3.797430,0.066637,0.237812,1.159662,0.002582,0.008195,0.793325,0.001046,0.054533,2.243000,4.944453,4.940020,0.058373,0.079385,0.000183,0.000124,0.001650,0.000086,0.000056,0.017867,0.001794,0.000483,0.000600,0.010030,0.000297,0.000579,0.000177,0.000153,0.238515,4.430392,4.430197,0.982351,0.456502,0.202243,0.483589,0.035823,3.467540,3.444405,0.022910,5.104396,2.718592,2.702212,0.049387,0.006770,0.003353,0.013000,0,0,0,0
