dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,torchrec_dlrm,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,detectron2_maskrcnn_r_50_c4,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,nvidia_deeprecommender,256,1.115556,5.964649,15.203261,0.000000,0,0,13,1,6,5,0,0,0
xpu,dcgan,32,0.814782,2.394410,20.407676,0.000000,0,0,16,1,6,5,0,0,0
xpu,maml_omniglot,5,0.731959,2.954488,21.773382,0.000000,0,0,17,1,6,5,0,0,0
xpu,opacus_cifar10,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,dlrm,1024,1.200700,3.376399,9.555055,0.000000,0,0,36,1,6,5,0,0,0
xpu,demucs,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,microbench_unbacked_tolist_sum,1,0.947916,15.175744,0.897820,0.000000,0,0,0,0,8,6,0,0,0
xpu,resnet18,16,1.123723,7.820042,31.059217,0.000000,0,0,89,1,6,5,0,0,0
xpu,hf_Albert,8,1.154969,35.248156,37.556821,0.000000,0,0,369,1,5,5,0,0,0
xpu,squeezenet1_1,32,1.201322,8.186075,42.119646,0.000000,0,0,66,1,6,5,0,0,0
xpu,BERT_pytorch,16,1.525000,25.186737,40.802767,0.000000,0,0,543,1,6,5,0,0,0
xpu,drq,1,0.837752,3.032042,14.849836,0.000000,0,0,59,3,6,5,0,0,0
xpu,timm_efficientdet,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,hf_T5,8,1.891176,112.071483,54.248379,0.000000,0,0,999,1,5,5,0,0,0
xpu,hf_Bart,4,0.984903,44.819806,24.538884,0.000000,0,0,117,9,10,8,0,0,0
xpu,phlippe_densenet,128,1.130249,18.815960,60.073914,0.000000,0,0,238,1,6,5,0,0,0
xpu,fastNLP_Bert,6,1.102592,44.793814,40.253091,0.000000,0,0,452,5,10,6,0,0,0
xpu,resnet50,32,1.472805,20.114108,50.996439,0.000000,0,0,228,1,6,5,0,0,0
xpu,mnasnet1_0,32,1.084388,20.084431,63.266411,0.000000,0,0,204,1,6,5,0,0,0
xpu,resnet50_quantized_qat,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,phlippe_resnet,128,1.086106,7.980848,24.306599,0.000000,0,0,90,1,6,5,0,0,0
xpu,hf_Bert,4,1.101686,30.403472,34.441220,0.000000,0,0,289,1,5,5,0,0,0
xpu,functorch_dp_cifar10,64,1.114237,6.930640,35.474488,0.000000,0,0,69,1,6,5,0,0,0
xpu,timm_efficientnet,32,1.156481,27.192725,89.680359,0.000000,0,0,288,1,6,5,0,0,0
xpu,Background_Matting,4,1.167548,135.768642,87.755946,0.000000,0,0,229,1,6,5,0,0,0
xpu,functorch_maml_omniglot,1,0.731120,2.929242,10.224889,0.000000,0,0,14,1,6,5,0,0,0
xpu,pytorch_stargan,16,1.320179,13.479991,32.985683,0.000000,0,0,56,1,6,5,0,0,0
xpu,resnext50_32x4d,8,1.105073,17.170862,49.278617,0.000000,0,0,228,1,6,5,0,0,0
xpu,sam,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,hf_T5_base,8,1.936743,317.574029,88.268308,0.000000,0,0,1887,1,5,5,0,0,0
xpu,hf_T5_generate,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,mobilenet_v2,96,1.513435,38.049935,70.757062,0.000000,0,0,205,1,6,5,0,0,0
xpu,mobilenet_v2_quantized_qat,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,densenet121,4,1.032397,43.477913,155.080360,0.000000,0,0,552,1,6,5,0,0,0
xpu,hf_Bert_large,4,0.958102,59.350496,59.402409,0.000000,0,0,553,1,5,5,0,0,0
xpu,LearningToPaint,96,1.188506,8.834404,29.826803,0.000000,0,0,92,1,6,5,0,0,0
xpu,pytorch_unet,1,1.485216,32.601535,47.837900,0.000000,0,0,89,1,6,5,0,0,0
xpu,timm_nfnet,128,2.092441,67.495541,84.234183,0.000000,0,0,590,1,6,5,0,0,0
xpu,shufflenet_v2_x1_0,128,1.299451,24.213006,94.106017,0.000000,0,0,327,1,6,5,0,0,0
xpu,hf_BigBird,2,1.274454,107.116791,64.089442,0.000000,0,0,344,16,24,7,0,0,0
xpu,mobilenet_v3_large,32,1.094667,21.979194,80.403672,0.000000,0,0,233,1,6,5,0,0,0
xpu,moco,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,soft_actor_critic,256,0.712789,1.774557,7.439247,0.000000,0,0,17,2,5,5,0,0,0
xpu,Super_SloMo,6,1.403989,68.406432,82.044682,0.000000,0,0,378,2,6,5,0,0,0
xpu,hf_DistilBert,8,0.956164,26.369906,22.306823,0.000000,0,0,153,1,5,5,0,0,0
xpu,nanogpt,1,1.487293,11.934850,18.179453,0.000000,0,0,393,1,6,5,0,0,0
