dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,CacheBase.get_system.triton_key,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,PyCodeCache.load_by_key_path,compile_file,async_compile.wait,TritonBundler.collect,aot_trace_joint_graph,min_cut_rematerialization_partition,CachingAutotuner.benchmark_all_configs,compile_attempt_2,pgo.dynamic_whitelist,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile,backward._backward_impl,compile_fx.<locals>.bw_compiler
xpu,nvidia_deeprecommender,256,11.843365,0.195499,0.255829,0.097975,11.505662,0.008799,0.020116,0.132706,0.003468,0.055069,0.002323,11.385692,0.713309,0.148161,1.128254,0.004308,0.000051,0.000107,0.000027,9.511647,0.037660,0.190239,1.329735,0.001389,0.005856,0.961763,0.000086,0.052368,7.875449,9.866231,9.862872,0.051604,0.066008,0.000196,0.000074,0.001322,0.000045,0.000032,0.020997,0.001056,0.000413,0.000574,0.009196,0.000157,0.000503,0.000089,0.000076,0.192006,9.483819,9.483714,3.792801,0.172838,0.071945,3.602331,0.014015,5.689452,5.680148,0.005731,1.256853,2.003816,1.991230,0,0,0,0,0,0,0,0
xpu,dcgan,32,14.921539,0.214664,0.280353,0.118632,14.558180,0.011057,0.026089,0.138740,0.003948,0.077415,0.003107,14.431812,0.712855,0.146759,1.109638,0.004751,0.000055,0.000268,0.000032,12.572933,0.056366,0.223936,0.360871,0.002430,0.007600,0.003210,0.001913,0.074220,11.819421,13.309840,13.305709,0.084911,0.113594,0.000147,0.000082,0.001951,0.000045,0.000027,0.027390,0.000962,0.000535,0.000665,0.013152,0.000160,0.000601,0.000099,0.000077,0.737249,12.264687,12.264579,7.073345,0.662313,0.237614,6.365830,0.040270,5.188469,5.175173,0.016828,2.830432,1.504997,1.490851,0,0,0,0,0,0,0,0
xpu,maml_omniglot,5,15.170595,0.213959,0.280427,0.125543,14.806919,0.010982,0.027488,0.140909,0.002889,0.071939,0.003171,14.679059,0.713088,0.147040,1.036124,0.004913,0.000050,0.000270,0.000033,12.892180,0.053993,0.290251,3.517215,0.001586,0.008816,3.163553,0.001852,0.071560,8.922585,13.128687,13.124434,0.092473,0.076259,0.000138,0.000077,0.001354,0.000045,0.000027,0.021212,0.001139,0.000536,0.000666,0.014007,0.000160,0.000574,0.000099,0.000076,0.726406,12.124172,12.124060,5.050892,0.745184,0.192874,4.265664,0.035127,7.070986,7.058560,0.013856,2.173502,4.220682,4.206550,0,0,0,0,0,0,0,0
xpu,dlrm,1024,5.535802,0.295255,0.418544,0.175674,5.086284,0.020623,0.044536,0.146254,0.001690,0.102110,0.004575,4.884940,0.720280,0.147464,1.092779,0.005457,0.000051,0.000173,0.000029,3.029554,0.063446,0.232972,1.028756,0.002309,0.007292,0.662362,0.000073,0.055801,1.621645,3.523791,3.519568,0.058691,0.053379,0.000116,0.000078,0.001006,0.000043,0.000027,0.004215,0.001427,0.000465,0.000566,0.010910,0.000157,0.000520,0.000093,0.000079,0.322792,2.990996,2.990888,0.768457,0.330428,0.162781,0.402423,0.030249,2.220678,0.469088,1.736051,0.009581,2.072222,1.915994,1.902604,0,0,0,0,0,0,0
xpu,microbench_unbacked_tolist_sum,1,0.865976,0.635983,0.629450,0.197089,0.066996,0.079692,0.014097,0.151919,0.001973,0.060199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,resnet18,16,13.720172,0.554563,0.934807,0.358576,12.954328,0.055269,0.111701,0.200091,0.002177,0.180579,0.010037,12.486203,0.719315,0.147691,1.138331,0.006618,0.000051,0.000908,0.000034,10.356713,0.145921,1.014851,0.263781,0.008627,0.043595,0.015978,0.011174,0.545260,8.237719,15.918948,15.899897,0.331611,0.354059,0.000464,0.000077,0.007023,0.000054,0.000027,0.139459,0.006531,0.002805,0.003440,0.074050,0.000195,0.002903,0.000095,0.000077,1.968775,12.868847,12.868729,8.018711,3.356556,0.904800,4.467152,0.180015,4.845422,4.807265,0.047054,7.581283,7.742893,7.681860,0,0,0,0,0,0,0,0
xpu,hf_Albert,8,18.961244,1.022237,1.827221,0.167083,17.779728,0.115960,0.037335,0.145805,0.003416,0.575990,0.017137,16.892326,0.834709,0.148038,1.101599,0.008872,0.000050,0.000864,0.000029,14.899083,0.392116,2.937018,1.404400,0.044247,0.179402,0.867766,0.016321,1.117748,8.736689,23.301624,22.879613,0.630557,1.868972,0.000943,0.000094,0.015306,0.000068,0.000030,0.379696,0.442267,0.006589,0.008492,0.171676,0.000231,0.006343,0.000130,0.000084,3.275945,16.568295,16.568168,10.342803,4.862357,2.795500,5.260839,0.203463,6.220570,6.168206,0.020037,3.153610,15.106725,14.565726,0,0,0,0,0,0,0,0
xpu,squeezenet1_1,32,22.553372,0.328560,0.550604,0.219276,22.040266,0.032619,0.058588,0.173431,0.003261,0.088981,0.006955,21.744772,0.722973,0.147572,1.096672,0.005577,0.000055,0.000275,0.000028,19.869543,0.085859,0.680793,0.204325,0.003674,0.015370,0.002385,0.000038,0.087896,18.748993,25.631984,25.625817,0.155744,0.084948,0.000149,0.000080,0.001599,0.000053,0.000030,0.009495,0.001072,0.000760,0.000911,0.021261,0.000178,0.000817,0.000094,0.000078,0.861508,24.274558,24.274441,8.252328,2.360436,0.366237,5.712770,0.168090,16.018550,15.982095,0.061825,10.633781,6.907302,6.883543,0,0,0,0,0,0,0,0
xpu,BERT_pytorch,16,26.347665,1.298993,2.544396,0.868967,24.739606,0.190917,0.344676,0.288267,0.002201,0.620406,0.027785,23.341284,0.999059,0.195541,1.168760,0.019231,0.000087,0.002689,0.000067,20.898228,0.656834,4.986966,2.486748,0.041952,0.110935,1.794045,0.008306,1.509842,10.900337,22.267498,22.220630,0.830220,1.474239,0.001321,0.000087,0.017915,0.000068,0.000030,0.377030,0.023262,0.007341,0.009440,0.514764,0.000211,0.007475,0.000136,0.000084,4.705812,14.526879,14.526747,13.302326,6.753410,4.214167,6.244620,0.275219,1.220087,1.157705,0.016365,2.879645,11.559536,11.368159,0,0,0,0,0,0,0,0
xpu,drq,1,6.648678,0.736256,0.651742,0.237613,5.716786,0.024788,0.041909,0.182653,0.004489,0.099113,0.006727,5.714057,0.711238,0.147084,1.114785,0.005373,0.000079,0.000214,0.000059,3.779303,0.066779,0.241434,1.193878,0.002529,0.008128,0.790941,0.001043,0.054375,2.187039,4.982782,4.978261,0.058639,0.079979,0.000181,0.000144,0.001663,0.000086,0.000054,0.017980,0.001815,0.000480,0.000602,0.009888,0.000294,0.000594,0.000178,0.000150,0.238191,4.468875,4.468685,0.982341,0.457671,0.203424,0.482609,0.035699,3.505458,3.482758,0.022887,5.205736,2.813004,2.796521,0.048168,0.006569,0.003230,0.012947,0,0,0,0
