| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_compiler_bisector_xpu.TestCompilerBisector | test_pre_grad | failed | AssertionError: Scalars are not equal! | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_functions_xpu.FunctionTests | test_get_device_properties_tensor_device | failed | AttributeError: 'torch._C._XpuDeviceProperties' object has no attribute 'max_threads_per_multi_processor' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_compiler_bisector_xpu.TestCompilerBisector | test_pre_grad | failed | AssertionError: Scalars are not equal! | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_functions_xpu.DefaultsTests | test_zip_strict | failed | torch._dynamo.exc.Unsupported: Observed exception | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_misc_xpu.MiscTests | test_debugmode_warns_outside_ci | failed | AssertionError: String comparison failed: 'myli[463 chars]cated and will become an error in a future version of PyTorch.' != 'myli[463 chars]cated and will become an error in PyTorch 2.12.' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten___getitem___dict | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_tensor_prim_dtype | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_append_t | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_if_multiple_out | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten___getitem___list | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_dim | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
