| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_compiler_bisector_xpu.TestCompilerBisector | test_pre_grad | failed | AssertionError: Scalars are not equal! | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_functions_xpu.FunctionTests | test_get_device_properties_tensor_device | failed | AttributeError: 'torch._C._XpuDeviceProperties' object has no attribute 'max_threads_per_multi_processor' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_functions_xpu.DefaultsTests | test_zip_strict | failed | torch._dynamo.exc.Unsupported: Observed exception | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_misc_xpu.MiscTests | test_const_dict_variable_python_type | failed | AttributeError: '_thread._local' object has no attribute 'current_tx' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_misc_xpu.MiscTests | test_debugmode_warns_outside_ci | failed | AssertionError: String comparison failed: 'myli[463 chars]cated and will become an error in a future version of PyTorch.' != 'myli[463 chars]cated and will become an error in PyTorch 2.12.' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_local_stream_enter_exit | failed | AssertionError: 'clas[126 chars]m\': 1}\n        add: "f32[2, 2]" = torch.ops.[403 chars],)\n' != 'clas[126 chars]m\': 2}\n        add: "f32[2, 2]" = torch.ops.[403 chars],)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_local_stream_nested_enter_exit | failed | AssertionError: 'clas[126 chars]m\': 0}\n        add: "f32[2, 2]" = torch.ops.[316 chars]2)\n' != 'clas[126 chars]m\': 1}\n        add: "f32[2, 2]" = torch.ops.[316 chars]2)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_stream_backward_simple | failed | AssertionError: 'clas[135 chars]m\': 1}\n        mul: "f32[2, 2]" = torch.ops.[283 chars]1)\n' != 'clas[135 chars]m\': 2}\n        mul: "f32[2, 2]" = torch.ops.[289 chars]1)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_epilogue_copy_stream_tracking | failed | AssertionError: 'clas[135 chars]m\': 1}\n        mul: "f32[2, 2]" = torch.ops.[154 chars]l)\n' != 'clas[135 chars]m\': 2}\n        mul: "f32[2, 2]" = torch.ops.[154 chars]l)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_epilogue_copy_streams_inference | failed | AssertionError: 'clas[105 chars]m\': 0}\n        add: "f32[2, 2]" = torch.ops.[143 chars],)\n' != 'clas[105 chars]m\': 1}\n        add: "f32[2, 2]" = torch.ops.[143 chars],)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_event_tracing | failed | AssertionError: 'clas[143 chars]ault(0, 1);  record_event = None\n\n        #\[181 chars],)\n' != 'clas[143 chars]ault(1, 0);  record_event = None\n\n        #\[181 chars],)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_record_stream_problem_basic | failed | AssertionError: 'clas[50 chars]elf, tangents_1: "f32[2, 2]", tangents_2: "f32[1216 chars],)\n' != 'clas[50 chars]elf, getitem: "f32[2, 2]", mul: "f32[2, 2]", m[2913 chars]0)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_stream_enter_exit | failed | AssertionError: 'clas[126 chars]m\': 0}\n        add: "f32[2, 2]" = torch.ops.[403 chars],)\n' != 'clas[126 chars]m\': 1}\n        add: "f32[2, 2]" = torch.ops.[403 chars],)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_record_stream_problem_interleaved | failed | AssertionError: 'clas[50 chars]elf, primals_1: "f32[2, 2]", mul: "f32[2, 2]",[3986 chars],)\n' != 'clas[50 chars]elf, getitem: "f32[2, 2]", getitem_3: "f32[2, [9118 chars]0)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_stream_backward_sync | failed | AssertionError: 'clas[135 chars]m\': 1}\n        mul: "f32[2, 2]" = torch.ops.[283 chars]1)\n' != 'clas[135 chars]m\': 2}\n        mul: "f32[2, 2]" = torch.ops.[294 chars]1)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_stream_with_mutation | failed | AssertionError: 'clas[126 chars]m\': 0}\n        add: "f32[2, 2]" = torch.ops.[566 chars]3)\n' != 'clas[126 chars]m\': 1}\n        add: "f32[2, 2]" = torch.ops.[566 chars]3)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.dynamo.test_streams_xpu.TestStreams | test_nested_stream_enter_exit | failed | AssertionError: 'clas[126 chars]m\': 1}\n        add: "f32[2, 2]" = torch.ops.[316 chars]2)\n' != 'clas[126 chars]m\': 2}\n        add: "f32[2, 2]" = torch.ops.[316 chars]2)\n' | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten___getitem___dict | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_tensor_prim_dtype | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_append_t | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_if_multiple_out | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten___getitem___list | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_dim | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_to_dtype_with_mutating_storage | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_if_tuple_out | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_context_manager | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten_floordiv | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_nn_module_with_nested_buffer | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_aten___is__ | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_retrace_nested_scripted_modules | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_prim_device | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_profiler__record_function | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_converter_container_output | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_script_object | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_prim_device_cuda | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_raise_exception | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_ts2ep_converter_contains | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
| op_ut | third_party.torch-xpu-ops.test.xpu.export.test_converter_xpu.TestConverter | test_convert_func_without_param | failed | OSError: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so: cannot open shared object file: No such file or directory ; OSError: Could not load this library: /tmp/xpu-tool/Python/3.10.20/x64/lib/python3.10/site-packages/torch/build/lib/libtorchbind_test.so | XML |
