dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,GoogleFnet,1,pass,232,1,0,0,0,0,0,2.383716,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,BlenderbotSmallForCausalLM,1,pass,234,1,0,0,0,0,0,9.117047,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,DistillGPT2,1,pass,296,4,3,1,0,0,0,10.010880,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,MegatronBertForQuestionAnswering,1,pass,742,1,0,0,0,0,0,18.085195,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,AlbertForMaskedLM,1,pass,397,1,0,0,0,0,0,18.080986,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,Qwen/Qwen3-0.6B,1,pass,2118,1,0,0,0,0,0,23.025991,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,XLNetLMHeadModel,1,pass,820,1,0,0,0,0,0,23.383803,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,AlbertForQuestionAnswering,1,pass,397,1,0,0,0,0,0,11.247268,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,LayoutLMForMaskedLM,1,pass,422,1,0,0,0,0,0,12.517096,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,ElectraForCausalLM,1,pass,325,1,0,0,0,0,0,16.938586,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,RobertaForCausalLM,1,pass,331,1,0,0,0,0,0,15.218637,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,BlenderbotSmallForConditionalGeneration,1,pass,602,1,0,0,0,0,0,20.288218,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,YituTechConvBert,1,pass,652,1,0,0,0,0,0,21.005962,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,MobileBertForMaskedLM,1,pass,1311,1,0,0,0,0,0,31.159236,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,ElectraForQuestionAnswering,1,pass,325,1,0,0,0,0,0,11.685663,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,LayoutLMForSequenceClassification,1,pass,840,2,0,0,0,0,0,14.017639,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,RobertaForQuestionAnswering,1,pass,331,1,0,0,0,0,0,11.835747,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,google/gemma-2-2b,1,pass,2228,1,0,0,0,0,0,23.322302,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,AllenaiLongformerBase,1,pass,1832,6,4,1,0,0,0,36.185354,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,MobileBertForQuestionAnswering,1,pass,1315,1,0,0,0,0,0,30.236652,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,GPT2ForSequenceClassification,1,pass,1080,2,0,0,0,0,0,13.066870,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,T5ForConditionalGeneration,1,pass,829,1,0,0,0,0,0,23.018367,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,DebertaV2ForQuestionAnswering,1,pass,1089,1,0,0,0,0,0,23.547609,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,M2M100ForConditionalGeneration,1,pass,889,1,0,0,0,0,0,23.083226,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,BartForCausalLM,1,pass,338,1,0,0,0,0,0,14.676009,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,meta-llama/Llama-3.2-1B,1,pass,974,1,0,0,0,0,0,16.432337,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,OPTForCausalLM,1,pass,369,1,0,0,0,0,0,11.290426,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,T5Small,1,pass,829,1,0,0,0,0,0,6.308164,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,DistilBertForMaskedLM,1,pass,162,1,0,0,0,0,0,11.477395,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,MBartForCausalLM,1,pass,339,1,0,0,0,0,0,9.170686,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,PLBartForCausalLM,1,pass,188,1,0,0,0,0,0,11.386241,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,BartForConditionalGeneration,1,pass,881,1,0,0,0,0,0,27.605806,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,DistilBertForQuestionAnswering,1,pass,170,1,0,0,0,0,0,7.649566,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,openai/whisper-tiny,1,pass,385,1,0,0,0,0,0,18.340405,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,TrOCRForCausalLM,1,pass,448,1,0,0,0,0,0,12.186591,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,MBartForConditionalGeneration,1,pass,887,1,0,0,0,0,0,22.327091,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,PLBartForConditionalGeneration,1,pass,478,1,0,0,0,0,0,13.317997,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,BertForMaskedLM,1,pass,317,1,0,0,0,0,0,14.120850,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,XGLMForCausalLM,1,pass,974,1,0,0,0,0,0,16.479211,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,PegasusForCausalLM,1,pass,335,1,0,0,0,0,0,9.610032,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,MT5ForConditionalGeneration,1,pass,1192,1,0,0,0,0,0,18.662970,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,BertForQuestionAnswering,1,pass,324,1,0,0,0,0,0,10.743538,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
xpu,MegatronBertForCausalLM,1,pass,742,1,0,0,0,0,0,15.731095,inductor_huggingface_amp_fp16_inference_xpu_accuracy.csv
