dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,Qwen/Qwen3-0.6B,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,GoogleFnet,1,pass,232,1,3,3,0,0,0,2.988273,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,BlenderbotSmallForCausalLM,1,pass,59,5,6,4,0,0,0,12.593941,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,DistillGPT2,1,pass,292,2,6,4,0,0,0,19.150473,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,AlbertForMaskedLM,1,pass,395,1,3,3,0,0,0,25.029906,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,MegatronBertForQuestionAnswering,1,pass,740,1,3,3,0,0,0,40.137782,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,RobertaForCausalLM,1,pass,329,1,3,3,0,0,0,28.231519,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,BlenderbotSmallForConditionalGeneration,1,pass,121,9,9,5,0,0,0,10.618208,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,XLNetLMHeadModel,1,pass,770,1,3,3,0,0,0,53.391854,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,LayoutLMForMaskedLM,1,pass,420,1,3,3,0,0,0,27.000642,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,ElectraForCausalLM,1,pass,323,1,3,3,0,0,0,31.432375,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
xpu,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_bfloat16_training_xpu_accuracy.csv
