dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,GoogleFnet,1,pass,232,1,0,0,0,0,0,2.400329,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,BlenderbotSmallForCausalLM,1,pass,232,1,0,0,0,0,0,6.717674,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,DistillGPT2,1,pass,292,2,3,1,0,0,0,8.785882,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,AlbertForMaskedLM,1,pass,395,1,0,0,0,0,0,11.971744,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,MegatronBertForQuestionAnswering,1,pass,740,1,0,0,0,0,0,14.767124,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,Qwen/Qwen3-0.6B,1,pass,2114,1,0,0,0,0,0,19.819837,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,XLNetLMHeadModel,1,pass,818,1,0,0,0,0,0,20.598296,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,AlbertForQuestionAnswering,1,pass,395,1,0,0,0,0,0,8.301989,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,LayoutLMForMaskedLM,1,pass,420,1,0,0,0,0,0,9.445376,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,ElectraForCausalLM,1,pass,323,1,0,0,0,0,0,12.809074,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,BlenderbotSmallForConditionalGeneration,1,pass,422,6,6,1,0,0,0,15.774441,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,MobileBertForMaskedLM,1,pass,1309,1,0,0,0,0,0,23.426707,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,RobertaForCausalLM,1,pass,329,1,0,0,0,0,0,10.695654,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,YituTechConvBert,1,pass,650,1,0,0,0,0,0,15.583095,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,ElectraForQuestionAnswering,1,pass,323,1,0,0,0,0,0,8.914689,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,LayoutLMForSequenceClassification,1,pass,836,2,0,0,0,0,0,9.602061,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,RobertaForQuestionAnswering,1,pass,329,1,0,0,0,0,0,9.175109,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,MobileBertForQuestionAnswering,1,pass,1313,1,0,0,0,0,0,23.037136,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,AllenaiLongformerBase,1,pass,1828,4,4,1,0,0,0,34.531734,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,GPT2ForSequenceClassification,1,pass,1076,2,0,0,0,0,0,11.174189,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,google/gemma-2-2b,1,pass,2224,1,0,0,0,0,0,22.841633,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,M2M100ForConditionalGeneration,1,pass,899,1,0,0,0,0,0,24.884082,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,DebertaV2ForQuestionAnswering,1,pass,1087,1,0,0,0,0,0,18.627679,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,OPTForCausalLM,1,pass,367,1,0,0,0,0,0,11.130349,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,BartForCausalLM,1,pass,336,1,0,0,0,0,0,12.860002,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,T5ForConditionalGeneration,1,pass,997,1,0,0,0,0,0,19.996018,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,DistilBertForMaskedLM,1,pass,160,1,0,0,0,0,0,9.085929,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,MBartForCausalLM,1,pass,337,1,0,0,0,0,0,11.837975,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,meta-llama/Llama-3.2-1B,1,pass,970,1,0,0,0,0,0,14.610326,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,PLBartForCausalLM,1,pass,186,1,0,0,0,0,0,9.721070,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,T5Small,1,pass,997,1,0,0,0,0,0,3.563735,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,BartForConditionalGeneration,1,pass,602,7,6,1,0,0,0,23.227561,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,DistilBertForQuestionAnswering,1,pass,168,1,0,0,0,0,0,6.349069,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,openai/whisper-tiny,1,pass,387,1,0,0,0,0,0,16.387462,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,PLBartForConditionalGeneration,1,pass,349,7,4,1,0,0,0,20.166061,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,MBartForConditionalGeneration,1,pass,897,1,0,0,0,0,0,23.488269,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,TrOCRForCausalLM,1,pass,446,1,0,0,0,0,0,9.909452,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,BertForMaskedLM,1,pass,315,1,0,0,0,0,0,12.532256,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,PegasusForCausalLM,1,pass,333,1,0,0,0,0,0,9.098537,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,BertForQuestionAnswering,1,pass,322,1,0,0,0,0,0,8.551138,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,MT5ForConditionalGeneration,1,pass,1432,1,0,0,0,0,0,17.631379,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,XGLMForCausalLM,1,pass,996,1,0,0,0,0,0,17.069143,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,BlenderbotForCausalLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,PegasusForConditionalGeneration,1,pass,883,1,0,0,0,0,0,20.860091,inductor_huggingface_float16_inference_xpu_accuracy.csv
xpu,MegatronBertForCausalLM,1,pass,740,1,0,0,0,0,0,12.720804,inductor_huggingface_float16_inference_xpu_accuracy.csv
