dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,Qwen/Qwen3-0.6B,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,GoogleFnet,1,pass,232,1,3,3,0,0,0,3.018324,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,BlenderbotSmallForCausalLM,1,pass,59,5,6,4,0,0,0,10.958643,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,DistillGPT2,1,pass,292,2,6,4,0,0,0,20.571416,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,AlbertForMaskedLM,1,pass,395,1,3,3,0,0,0,27.563906,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,MegatronBertForQuestionAnswering,1,pass,740,1,3,3,0,0,0,37.622307,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,RobertaForCausalLM,1,pass,329,1,3,3,0,0,0,28.759872,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,XLNetLMHeadModel,1,pass,770,1,3,3,0,0,0,54.134019,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,BlenderbotSmallForConditionalGeneration,1,pass,123,9,10,6,0,0,0,11.136618,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,LayoutLMForMaskedLM,1,pass,420,1,3,3,0,0,0,28.268242,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,ElectraForCausalLM,1,pass,323,1,3,3,0,0,0,28.855082,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,AlbertForQuestionAnswering,1,pass,395,1,3,3,0,0,0,26.349475,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0,0,0,0,0,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,RobertaForQuestionAnswering,1,pass,329,1,3,3,0,0,0,24.551921,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,YituTechConvBert,1,pass,650,1,3,3,0,0,0,34.806783,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,LayoutLMForSequenceClassification,1,pass,836,2,4,3,0,0,0,28.005576,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,MobileBertForMaskedLM,1,pass,1309,1,3,3,0,0,0,69.470724,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,ElectraForQuestionAnswering,1,pass,323,1,3,3,0,0,0,25.466856,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,google/gemma-2-2b,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,T5ForConditionalGeneration,1,pass,997,1,3,3,0,0,0,32.148400,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,DebertaV2ForQuestionAnswering,1,pass,1087,1,3,3,0,0,0,43.185151,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,meta-llama/Llama-3.2-1B,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,AllenaiLongformerBase,1,pass,1828,4,7,4,0,0,0,54.993316,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,T5Small,1,pass,997,1,3,3,0,0,0,5.216111,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,openai/whisper-tiny,0,eager_fail_to_run,0,0,0,0,0,0,0,0,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,GPT2ForSequenceClassification,1,pass,1076,2,4,3,0,0,0,32.168515,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,DistilBertForMaskedLM,1,pass,160,1,3,3,0,0,0,18.315877,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,M2M100ForConditionalGeneration,1,pass,903,1,3,3,0,0,0,51.814856,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,BartForCausalLM,1,pass,63,6,6,4,0,0,0,13.609172,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,MobileBertForQuestionAnswering,1,pass,1313,1,3,3,0,0,0,65.401375,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,DistilBertForQuestionAnswering,1,pass,168,1,3,3,0,0,0,13.080361,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,TrOCRForCausalLM,1,pass,57,5,5,4,0,0,0,11.433773,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,MBartForCausalLM,1,pass,63,6,6,4,0,0,0,11.688620,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,BartForConditionalGeneration,1,pass,129,10,10,6,0,0,0,10.910317,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,OPTForCausalLM,1,pass,59,4,6,4,0,0,0,14.082388,inductor_huggingface_float16_training_xpu_accuracy.csv
xpu,MBartForConditionalGeneration,1,pass,132,10,8,5,0,0,0,11.038642,inductor_huggingface_float16_training_xpu_accuracy.csv
