dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,get_fake_value,create_proxy,wrap_to_fake_tensor_and_record,variable_builder_call,compile_attempt_1,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,build_guards,gc,CacheBase.get_system.triton_key,fx_codegen_and_compile,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,PyCodeCache.load_by_key_path,StaticAutotunerFuture.warm_precompile,async_compile.wait,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,TritonBundler.collect,CachingAutotuner.benchmark_all_configs
xpu,GoogleFnet,16,2.759301,2.631600,0.769890,0.154423,0.055410,0.049478,0.214727,0.013338,1.815835,0.586423,0.143155,1.030801,0.031858,0.000950,0.000435,0.018488,0.003863,0.000406,0.123903,0.000086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,PLBartForCausalLM,8,7.241006,7.135979,0.719291,0.183005,0.048171,0.044793,0.173054,0.013410,6.375766,0.588830,0.144028,0.006798,0.000047,0.000606,0.000029,5.750228,0.171412,5.036964,1.612187,0.008444,0.019476,1.170694,1.029937,0.001663,3.423837,3.404302,0.109680,0.356161,0.002678,0.000179,0.000050,0.003737,0.000029,0.000014,0.067034,0.124978,0.001310,0.001657,0.029824,0.000108,0.001145,0.000050,0.000040,0.606532,2.054765,2.054711,1.642912,0.703614,0.394101,0.889367,0.044249,0.410495,0.394641,0.004692,0.101908,0.000110,0.978861,0,0,0,0
xpu,ElectraForQuestionAnswering,128,13.845973,13.658975,1.358724,0.348999,0.087679,0.091468,0.343768,0.021706,12.230446,0.787926,0.147552,0.008951,0.000049,0.000971,0.000030,11.380015,0.383242,9.721541,1.767668,0.021875,0.058095,1.464891,1.084999,0.004676,7.951893,7.921719,0.274681,1.185791,0.007048,0.000430,0.000051,0.009866,0.000032,0.000015,0.283880,0.463311,0.003232,0.003968,0.078790,0.000115,0.002926,0.000059,0.000041,1.773683,4.114063,4.114007,3.866609,1.487269,0.766113,2.283893,0.085980,0.245653,0.220544,0.009095,0.180948,0.000455,2.050353,0,0,0,0
xpu,BertForQuestionAnswering,32,14.141563,13.949126,1.348966,0.336215,0.087821,0.088708,0.340563,0.021260,12.529745,0.592093,0.147366,0.009199,0.000053,0.000994,0.000029,11.657535,0.380167,10.008311,1.774211,0.020764,0.061960,1.467686,1.086541,0.004626,8.232120,8.202658,0.289393,1.210979,0.010765,0.000441,0.000048,0.009487,0.000029,0.000014,0.290888,0.474194,0.003267,0.004052,0.078137,0.000110,0.002933,0.000061,0.000041,1.788429,4.325271,4.325217,3.895817,1.525335,0.805828,2.276454,0.084843,0.427477,0.401325,0.006629,0.186114,0.000206,1.301713,0,0,0,0
xpu,RobertaForCausalLM,16,14.097860,13.900740,1.381706,0.353915,0.089469,0.090002,0.347205,0.022985,12.447414,0.820443,0.150879,0.009385,0.000050,0.001004,0.000029,11.564130,0.385273,9.889300,1.713471,0.022077,0.046841,1.420263,1.041431,0.004567,8.173848,8.143281,0.271572,1.201503,0.007179,0.000440,0.000057,0.010014,0.000031,0.000014,0.278844,0.480290,0.003358,0.004150,0.079362,0.000110,0.002952,0.000060,0.000040,1.804310,4.275752,4.275696,4.015743,1.564726,0.793361,2.353287,0.088372,0.257842,0.229127,0.007998,0.190187,0.000582,2.028197,0,0,0,0
xpu,AlbertForMaskedLM,4,18.073865,18.000587,1.108688,0.369394,0.072518,0.015334,0.089770,0.016903,16.856133,0.600017,0.151359,0.009119,0.000047,0.000897,0.000029,16.234409,0.399062,14.368147,0.688729,0.020818,0.061581,0.379078,0.004599,13.677811,13.650326,1.090594,0.277287,1.213678,0.007193,0.000425,0.000051,0.009730,0.000032,0.000015,0.279502,0.484957,0.003258,0.003907,0.077663,0.000115,0.002891,0.000066,0.000044,1.844654,8.933770,8.933717,5.811410,3.398591,2.654753,2.329374,0.080437,3.120441,3.099021,0.012742,0.068987,0.000167,2.648846,0,0,0,0
xpu,LayoutLMForMaskedLM,16,12.605411,12.416685,1.369212,0.346374,0.104257,0.088307,0.341765,0.026015,10.972899,0.797158,0.144846,0.009983,0.000051,0.001180,0.000029,10.111347,0.388073,8.495591,1.740873,0.021394,0.041225,1.458859,1.032302,0.003459,6.752890,6.725337,0.211017,0.933223,0.005425,0.000322,0.000056,0.009858,0.000036,0.000015,0.125805,0.468451,0.002654,0.003223,0.060624,0.000116,0.002349,0.000058,0.000042,1.448909,3.598783,3.598728,3.230060,1.301722,0.703484,1.834598,0.084305,0.366893,0.340012,0.004316,0.182091,0.001000,0.661968,0,0,0,0
xpu,MT5ForConditionalGeneration,16,25.469782,25.239274,2.277776,0.670559,0.185835,0.090051,0.410150,0.046846,22.854098,0.800944,0.143661,0.019313,0.000055,0.002668,0.000036,21.980292,0.815994,19.030935,1.433000,0.042451,0.067171,1.059173,0.002452,17.595174,17.323257,1.031156,0.421594,1.009989,0.012076,0.000638,0.000048,0.015464,0.000031,0.000014,0.369502,0.006919,0.004527,0.005484,0.114663,0.000126,0.004366,0.000076,0.000043,2.070953,12.031047,12.030992,6.922569,3.483779,2.175028,3.270049,0.158816,5.105258,5.064951,0.014747,0.222491,0.000160,1.960673,0,0,0,0
xpu,XLNetLMHeadModel,8,30.516243,30.288209,2.445694,0.942794,0.161868,0.165882,0.531207,0.046749,27.727480,0.805463,0.147093,0.015482,0.000048,0.002134,0.000034,26.810808,1.278777,21.856044,3.401413,0.061750,0.128908,2.179064,0.389339,18.448975,18.385708,1.084084,0.875524,1.946906,0.023936,0.001220,0.000050,0.020973,0.000031,0.000014,0.283688,0.323113,0.009651,0.011927,0.238007,0.000113,0.008980,0.000081,0.000043,4.289719,8.944964,8.944906,8.784439,3.852698,1.989646,4.709715,0.203589,0.157544,0.106215,0.008756,0.218002,0.000685,1.891454,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,28.111943,27.812251,2.630382,0.851578,0.208218,0.169157,0.602232,0.057327,25.036623,0.598201,0.148456,0.017851,0.000052,0.002698,0.000034,24.321220,0.765725,21.094244,2.483493,0.044429,0.096527,1.834746,1.099872,0.008370,18.607199,18.561920,0.515885,2.335578,0.012432,0.000738,0.000047,0.019432,0.000032,0.000015,0.541605,0.932403,0.006187,0.084360,0.144658,0.000124,0.005366,0.000073,0.000046,3.015926,11.562067,11.562007,7.474018,2.817763,1.536179,4.037184,0.602376,4.084511,4.036713,0.006711,0.286503,0.000648,1.243571,0,0,0,0
