dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,GoogleFnet,16,1.223294,203.119995,3.875078,0.000000,0,0,232,1,4,4,0,0,0
xpu,PLBartForCausalLM,8,1.152048,77.037498,13.525184,0.000000,0,0,67,8,7,5,0,0,0
xpu,BertForQuestionAnswering,32,1.165772,135.062765,38.036212,0.000000,0,0,324,1,4,4,0,0,0
xpu,RobertaForCausalLM,16,1.364564,88.480467,39.665305,0.000000,0,0,330,1,4,4,0,0,0
xpu,PLBartForConditionalGeneration,8,1.214512,167.479894,14.450122,0.000000,0,0,136,12,8,6,0,0,0
xpu,ElectraForQuestionAnswering,128,1.278214,144.852512,47.893179,0.000000,0,0,325,1,4,4,0,0,0
xpu,AlbertForMaskedLM,4,1.403572,179.777046,50.852157,0.000000,0,0,397,1,4,4,0,0,0
xpu,LayoutLMForMaskedLM,16,1.812811,88.285895,37.269025,0.000000,0,0,422,1,4,4,0,0,0
xpu,MT5ForConditionalGeneration,16,1.961277,47.469735,67.392021,0.000000,0,0,1192,1,4,4,0,0,0
xpu,DebertaV2ForMaskedLM,2,1.433657,87.702422,65.084694,0.000000,0,0,1082,1,4,4,0,0,0
xpu,PegasusForCausalLM,32,1.296122,51.236659,16.007220,0.000000,0,0,63,7,7,5,0,0,0
xpu,RobertaForQuestionAnswering,32,1.179409,129.868128,33.761697,0.000000,0,0,331,1,4,4,0,0,0
xpu,BlenderbotForCausalLM,4,1.270208,90.102609,15.930700,0.000000,0,0,65,8,7,5,0,0,0
xpu,XLNetLMHeadModel,8,0.989418,326.270310,86.240062,0.000000,0,0,772,1,4,4,0,0,0
xpu,GPT2ForSequenceClassification,4,1.464298,60.001877,45.894305,0.000000,0,0,1082,2,5,4,0,0,0
xpu,BlenderbotSmallForCausalLM,256,1.379887,165.047024,15.072998,0.000000,0,0,63,7,7,5,0,0,0
xpu,AlbertForQuestionAnswering,8,1.460545,346.408042,43.008106,0.000000,0,0,397,1,4,4,0,0,0
xpu,PegasusForConditionalGeneration,64,1.402427,174.021232,26.706413,0.000000,0,0,123,11,10,6,0,0,0
xpu,LayoutLMForSequenceClassification,32,1.905857,140.815637,48.751572,0.000000,0,0,840,2,5,4,0,0,0
xpu,Qwen/Qwen3-0.6B,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,T5ForConditionalGeneration,4,1.912330,70.941202,48.439348,0.000000,0,0,829,1,4,4,0,0,0
xpu,MegatronBertForCausalLM,4,1.540177,72.114804,72.250583,0.000000,0,0,741,1,4,4,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,1.758315,133.512723,22.848251,0.000000,0,0,125,11,10,6,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,1.521421,190.080595,63.253412,0.000000,0,0,1089,1,4,4,0,0,0
xpu,YituTechConvBert,16,1.641270,99.721726,62.987272,0.000000,0,0,652,1,4,4,0,0,0
xpu,T5Small,4,1.909910,70.626529,16.055458,0.000000,0,0,829,1,4,4,0,0,0
xpu,google/gemma-2-2b,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,M2M100ForConditionalGeneration,16,1.369171,81.852543,45.382201,0.000000,0,0,128,10,8,6,0,0,0
xpu,meta-llama/Llama-3.2-1B,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,TrOCRForCausalLM,32,1.718753,92.750871,11.046212,0.000000,0,0,61,7,6,5,0,0,0
xpu,openai/whisper-tiny,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,DistilBertForMaskedLM,128,1.460173,60.901807,33.931791,0.000000,0,0,162,1,4,4,0,0,0
xpu,MBartForCausalLM,4,1.071394,77.121786,10.734437,0.000000,0,0,67,8,7,5,0,0,0
xpu,AllenaiLongformerBase,4,1.507933,130.671058,82.105316,0.000000,0,0,1784,6,8,5,0,0,0
xpu,XGLMForCausalLM,8,1.482498,65.325198,16.336543,0.000000,0,0,72,7,6,5,0,0,0
xpu,BartForCausalLM,4,1.106551,74.007006,10.421438,0.000000,0,0,67,8,7,5,0,0,0
xpu,MBartForConditionalGeneration,4,1.146821,183.952693,15.432784,0.000000,0,0,135,12,9,6,0,0,0
xpu,MegatronBertForQuestionAnswering,16,1.720472,205.038571,72.591721,0.000000,0,0,742,1,4,4,0,0,0
xpu,DistilBertForQuestionAnswering,512,1.396053,170.827659,33.442005,0.000000,0,0,170,1,4,4,0,0,0
xpu,BartForConditionalGeneration,4,1.123599,165.065770,13.043528,0.000000,0,0,131,12,10,6,0,0,0
xpu,DistillGPT2,16,1.896428,57.026976,23.423842,0.000000,0,0,296,4,7,5,0,0,0
xpu,BertForMaskedLM,16,1.251522,78.778725,33.198164,0.000000,0,0,317,1,4,4,0,0,0
xpu,ElectraForCausalLM,32,1.545921,53.043582,49.351920,0.000000,0,0,324,1,4,4,0,0,0
xpu,MobileBertForMaskedLM,128,2.002485,104.307847,121.686724,0.000000,0,0,1309,1,4,4,0,0,0
xpu,MobileBertForQuestionAnswering,256,1.860665,121.835616,120.417911,0.000000,0,0,1313,1,4,4,0,0,0
xpu,OPTForCausalLM,2,0.941927,79.197180,14.523056,0.000000,0,0,62,6,7,5,0,0,0
