dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,CacheBase.get_system.triton_key,fx_codegen_and_compile,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,PyCodeCache.load_by_key_path,StaticAutotunerFuture.warm_precompile,async_compile.wait,AOTAutogradCache.inductor_load,aot_trace_joint_graph,min_cut_rematerialization_partition,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,TritonBundler.collect,backward._backward_impl,compile_fx.<locals>.bw_compiler,CachingAutotuner.benchmark_all_configs
xpu,GoogleFnet,16,3.818754,0.806991,1.476922,0.430177,2.822475,0.099411,0.103581,0.179549,0.001905,0.273798,0.013345,2.068469,0.790859,0.144497,1.038886,0.069563,0.002863,0.001357,0.044853,0.010675,0.000511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,PLBartForCausalLM,8,7.541598,6.295299,1.421241,0.322259,0.902017,0.045054,0.043649,0.317849,0.008925,0.425709,0.009636,5.643049,0.591303,0.144459,0.007878,0.000242,0.000624,0.000214,3.938004,0.128880,2.715798,0.628846,0.005822,0.016193,0.331337,0.001816,4.878834,1.032948,0.404177,0.109641,4.867547,0.002156,0.000868,2.035305,0.004435,2.008735,0.084143,0.190143,0.000225,0.000123,0.002646,0.000089,0.000056,0.055393,0.035863,0.000825,0.001105,0.019100,0.000310,0.000906,0.000174,0.000147,0.505381,3.751405,3.751212,1.728300,0.778137,0.328573,0.908076,0.035412,0.016046,3.632487,2.370969,2.343990,0
xpu,BertForQuestionAnswering,32,22.974472,1.408657,2.819318,0.696276,21.309599,0.164286,0.185626,0.242818,0.001704,0.606899,0.021174,19.784206,0.597344,0.152666,0.008979,0.000048,0.000984,0.000029,19.124300,0.450949,3.393856,2.651094,0.046813,0.108763,2.031772,1.083741,0.013559,1.293038,10.989571,21.928145,21.872776,0.728623,1.955085,0.001011,0.000076,0.021081,0.000059,0.000029,0.476710,0.399493,0.007193,0.008647,0.186751,0.000207,0.007151,0.000152,0.000084,3.932442,13.868501,13.868374,13.561788,6.230102,3.603950,6.569666,0.734814,0.301635,0.226225,0.020445,4.132091,11.027829,10.939451,0,0,0,0
xpu,RobertaForCausalLM,16,23.144380,1.443538,2.884286,0.915762,21.437371,0.170571,0.388588,0.249952,0.002400,0.630369,0.023089,19.881122,0.600117,0.152713,0.010799,0.000051,0.001014,0.000035,19.217130,0.461129,3.464441,2.705045,0.048264,0.107809,2.073280,1.044799,0.014355,1.276570,10.964372,22.164342,22.107460,0.746811,1.972006,0.001062,0.000076,0.022321,0.000062,0.000028,0.482923,0.403143,0.007433,0.009165,0.189731,0.000207,0.007346,0.000135,0.000081,3.997261,13.999855,13.999734,13.674912,6.333668,4.153369,6.624159,0.689489,0.319339,0.246945,0.023131,5.254287,11.289636,11.200865,0,0,0,0
xpu,PLBartForConditionalGeneration,8,10.459151,7.796680,2.295738,0.517472,2.153104,0.067256,0.089835,0.469969,0.013914,0.314516,0.016157,7.462810,0.583245,0.142615,0.007848,0.000215,0.000654,0.000206,5.671780,0.179846,3.909966,0.600498,0.012800,0.031283,0.238336,0.003721,6.939492,1.031007,6.923808,0.004956,0.002149,1.966958,0.012575,1.924148,0.036656,0.837522,0.232142,0.157486,0.383988,0.000359,0.000170,0.006290,0.000122,0.000069,0.103112,0.096317,0.001606,0.002092,0.038494,0.000428,0.001621,0.000224,0.000187,0.870438,5.013006,5.012748,3.075137,1.164659,0.479449,1.839454,0.061817,0.012633,3.325846,3.275458,0.761978
xpu,ElectraForQuestionAnswering,128,32.288804,1.438046,2.865554,0.708876,30.595165,0.167211,0.188721,0.243242,0.001355,0.631785,0.021689,28.633779,0.595205,0.150046,0.009132,0.000050,0.000984,0.000029,27.974708,0.471613,3.472101,2.673078,0.047499,0.109538,2.047767,1.077761,0.013708,1.307214,19.699314,30.509739,30.454757,0.737786,1.969861,0.001054,0.000077,0.021624,0.000060,0.000029,0.480247,0.398696,0.007184,0.008746,0.190438,0.000218,0.007048,0.000131,0.000080,3.980868,22.375608,22.375485,12.892477,5.939798,3.460718,6.617838,0.307373,9.478107,9.411183,0.022755,4.838147,10.896681,10.811313,0,0,0,0
xpu,AlbertForMaskedLM,4,22.650800,1.133036,2.046996,0.169629,21.382337,0.128568,0.033533,0.124236,0.002213,0.620420,0.016728,20.400549,0.800236,0.151526,0.008958,0.000044,0.000887,0.000029,19.578817,0.476457,3.191291,1.554018,0.046427,0.103508,0.861009,0.015091,1.215395,12.813917,34.395146,34.346633,1.085607,0.633427,1.916316,0.000972,0.000078,0.018471,0.000061,0.000029,0.419889,0.408797,0.006589,0.007876,0.168956,0.000207,0.006552,0.000125,0.000080,3.405279,26.379113,26.378997,10.859809,5.117689,3.043187,5.544012,0.184345,15.514238,15.465234,0.051389,6.977885,21.681333,21.581946,0,0,0,0
xpu,LayoutLMForMaskedLM,16,22.230679,1.438141,2.853626,0.894315,20.531087,0.193517,0.187587,0.247165,0.001800,0.634911,0.025923,18.995040,0.586175,0.143463,0.009786,0.000050,0.001156,0.000030,18.343953,0.463506,3.339510,2.744454,0.047081,0.102482,1.984304,1.034241,0.159065,1.290496,10.161156,21.694912,21.635646,0.775119,1.904258,0.001068,0.000076,0.024489,0.000064,0.000030,0.366955,0.398412,0.007905,0.009774,0.204141,0.000229,0.007735,0.000139,0.000083,4.255184,13.181029,13.180906,12.640472,5.205098,2.487302,7.087135,0.316549,0.535312,0.456203,0.019734,3.726098,11.627587,11.534699,0,0,0,0
xpu,MT5ForConditionalGeneration,16,46.063731,2.374694,4.750302,0.851572,43.378948,0.356545,0.197930,0.283506,0.002056,1.337102,0.045924,40.852130,0.583182,0.141937,0.018705,0.000053,0.002640,0.000035,40.197284,1.173867,5.926687,2.939239,0.101737,0.178853,1.568256,0.004840,2.024299,27.541334,44.781888,44.221623,1.040961,1.318366,3.304663,0.001779,0.000082,0.041081,0.000065,0.000029,0.809846,0.018742,0.012115,0.015630,0.336561,0.000220,0.012032,0.000150,0.000086,5.794816,30.545258,30.545120,18.955345,9.277867,5.547882,9.132100,0.499393,11.583454,11.464160,0.028344,4.105568,17.415016,17.241751,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,39.317974,2.718675,5.017095,1.449987,36.227971,0.402762,0.344790,0.340545,0.002155,1.251743,0.055525,33.729115,0.835532,0.147810,0.016990,0.000046,0.002560,0.000039,32.779556,0.850535,6.516237,3.870431,0.095572,0.228300,2.805767,1.086579,0.026346,2.438548,18.450955,40.578698,40.484270,1.387296,4.001484,0.001792,0.000080,0.042154,0.000064,0.000030,0.926507,0.792987,0.014409,0.214623,0.371968,0.000229,0.013969,0.000166,0.000085,7.991675,24.406592,24.406443,24.155683,9.848069,5.109577,13.542041,0.708836,0.242491,0.098490,0.018557,3.551543,22.311248,22.129071,0,0,0,0
