dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,GoogleFnet,16,1.246962,69.355262,2.914587,0.000000,0,0,232,1,0,0,0,0,0
xpu,PLBartForCausalLM,8,0.862169,14.704939,7.430358,0.000000,0,0,186,1,0,0,0,0,0
xpu,ElectraForQuestionAnswering,128,0.633579,35.472328,13.578413,0.000000,0,0,323,1,0,0,0,0,0
xpu,BertForQuestionAnswering,32,0.689918,34.240937,13.528483,0.000000,0,0,322,1,0,0,0,0,0
xpu,RobertaForCausalLM,16,1.274143,18.721440,14.279153,0.000000,0,0,328,1,0,0,0,0,0
xpu,AlbertForMaskedLM,4,1.061859,57.808238,16.363625,0.000000,0,0,395,1,0,0,0,0,0
xpu,MT5ForConditionalGeneration,16,2.126876,12.596620,17.395460,0.000000,0,0,1232,1,0,0,0,0,0
xpu,LayoutLMForMaskedLM,16,2.660240,16.110988,11.423312,0.000000,0,0,420,1,0,0,0,0,0
xpu,XLNetLMHeadModel,8,1.484881,45.836555,28.264207,0.000000,0,0,818,1,0,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,1.151385,19.783453,24.788235,0.000000,0,0,1080,1,0,0,0,0,0
xpu,PLBartForConditionalGeneration,8,0.729577,38.374885,14.993924,0.000000,0,0,476,1,0,0,0,0,0
xpu,GPT2ForSequenceClassification,4,1.276762,9.689237,11.960135,0.000000,0,0,1078,2,0,0,0,0,0
xpu,RobertaForQuestionAnswering,32,0.724471,29.822424,13.300992,0.000000,0,0,329,1,0,0,0,0,0
xpu,AlbertForQuestionAnswering,8,1.112369,113.836617,12.800143,0.000000,0,0,395,1,0,0,0,0,0
xpu,LayoutLMForSequenceClassification,32,3.542571,21.986289,12.655877,0.000000,0,0,836,2,0,0,0,0,0
xpu,MegatronBertForCausalLM,4,1.506951,13.370402,18.595276,0.000000,0,0,739,1,0,0,0,0,0
xpu,PegasusForCausalLM,32,1.062516,11.888958,10.199629,0.000000,0,0,333,1,0,0,0,0,0
xpu,YituTechConvBert,16,1.681450,22.573617,16.209911,0.000000,0,0,650,1,0,0,0,0,0
xpu,BlenderbotForCausalLM,4,0.997718,18.340756,17.753066,0.000000,0,0,633,1,0,0,0,0,0
xpu,T5ForConditionalGeneration,4,3.798502,10.479227,14.508938,0.000000,0,0,847,1,0,0,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,1.175038,45.823525,20.315004,0.000000,0,0,1087,1,0,0,0,0,0
xpu,BlenderbotSmallForCausalLM,256,1.061917,34.420702,8.565034,0.000000,0,0,232,1,0,0,0,0,0
xpu,MegatronBertForQuestionAnswering,16,1.678787,37.077643,17.986541,0.000000,0,0,740,1,0,0,0,0,0
xpu,T5Small,4,3.825220,10.434604,9.878363,0.000000,0,0,847,1,0,0,0,0,0
xpu,DistilBertForMaskedLM,128,0.966820,17.842354,9.982912,0.000000,0,0,160,1,0,0,0,0,0
xpu,M2M100ForConditionalGeneration,16,1.084634,18.580177,25.834716,0.000000,0,0,887,1,0,0,0,0,0
xpu,PegasusForConditionalGeneration,64,1.066537,50.561548,27.472797,0.000000,0,0,871,1,0,0,0,0,0
xpu,AllenaiLongformerBase,4,1.985696,28.881435,48.509950,0.000000,0,0,1780,4,4,1,0,0,0
xpu,TrOCRForCausalLM,32,1.316075,24.763440,12.088424,0.000000,0,0,446,1,0,0,0,0,0
xpu,DistilBertForQuestionAnswering,512,0.961614,47.778193,10.717782,0.000000,0,0,168,1,0,0,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,1.141321,34.797309,18.982075,0.000000,0,0,600,1,0,0,0,0,0
xpu,MBartForCausalLM,4,0.911791,16.386609,9.817499,0.000000,0,0,337,1,0,0,0,0,0
xpu,Qwen/Qwen3-0.6B,1,0.997305,37.048583,-0.859778,0.000000,0,0,0,0,0,0,0,0,0
xpu,BartForCausalLM,4,0.919579,15.968984,9.015962,0.000000,0,0,336,1,0,0,0,0,0
xpu,MobileBertForMaskedLM,128,1.378255,27.565543,34.124237,0.000000,0,0,1307,1,0,0,0,0,0
xpu,DistillGPT2,16,1.825804,13.001917,10.035996,0.000000,0,0,292,2,3,1,0,0,0
xpu,XGLMForCausalLM,8,1.864205,13.210182,21.059679,0.000000,0,0,971,1,0,0,0,0,0
xpu,MBartForConditionalGeneration,4,0.755146,44.652382,26.271128,0.000000,0,0,885,1,0,0,0,0,0
xpu,ElectraForCausalLM,32,1.318315,13.221103,15.619530,0.000000,0,0,322,1,0,0,0,0,0
xpu,BartForConditionalGeneration,4,0.753144,43.670377,23.848162,0.000000,0,0,879,1,0,0,0,0,0
xpu,MobileBertForQuestionAnswering,256,1.243526,24.244646,31.595810,0.000000,0,0,1311,1,0,0,0,0,0
xpu,BertForMaskedLM,16,0.806302,20.577403,12.469092,0.000000,0,0,315,1,0,0,0,0,0
xpu,OPTForCausalLM,2,1.008696,14.917287,9.856658,0.000000,0,0,366,1,0,0,0,0,0
xpu,google/gemma-2-2b,1,2.730397,25471.219279,100.510538,0.000000,0,0,4401,2,0,0,0,0,2
xpu,meta-llama/Llama-3.2-1B,1,2.225650,15379.403770,52.598784,0.000000,0,0,973,1,0,0,0,0,1
xpu,openai/whisper-tiny,1,1.000540,32.418903,-1.328642,0.000000,0,0,0,0,0,0,0,0,0
