dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,GoogleFnet,16,1.221390,203.263058,3.867977,0.000000,0,0,232,1,4,4,0,0,0
xpu,PLBartForCausalLM,8,1.012606,77.229228,16.955092,0.000000,0,0,63,6,7,5,0,0,0
xpu,BertForQuestionAnswering,32,1.068148,129.951871,36.732971,0.000000,0,0,322,1,4,4,0,0,0
xpu,RobertaForCausalLM,16,1.350915,83.146431,39.121776,0.000000,0,0,328,1,4,4,0,0,0
xpu,ElectraForQuestionAnswering,128,1.260957,143.432030,46.812087,0.000000,0,0,323,1,4,4,0,0,0
xpu,PLBartForConditionalGeneration,8,1.033870,164.695933,15.206233,0.000000,0,0,132,10,8,6,0,0,0
xpu,AlbertForMaskedLM,4,1.029416,195.712408,52.362934,0.000000,0,0,395,1,4,4,0,0,0
xpu,LayoutLMForMaskedLM,16,1.475223,84.099352,35.515364,0.000000,0,0,420,1,4,4,0,0,0
xpu,DebertaV2ForMaskedLM,2,1.091940,70.760886,59.428974,0.000000,0,0,1080,1,4,4,0,0,0
xpu,PegasusForCausalLM,32,1.069759,47.686629,15.218323,0.000000,0,0,59,5,7,5,0,0,0
xpu,XLNetLMHeadModel,8,1.116751,224.955641,79.821673,0.000000,0,0,770,1,4,4,0,0,0
xpu,RobertaForQuestionAnswering,32,1.065123,124.271786,31.747377,0.000000,0,0,329,1,4,4,0,0,0
xpu,MT5ForConditionalGeneration,16,1.745017,43.422888,87.458543,0.000000,0,0,1232,1,4,4,0,0,0
xpu,BlenderbotForCausalLM,4,1.055297,61.049070,16.086262,0.000000,0,0,61,6,7,5,0,0,0
xpu,GPT2ForSequenceClassification,4,1.105334,58.282773,37.036659,0.000000,0,0,1078,2,5,4,0,0,0
xpu,LayoutLMForSequenceClassification,32,1.529671,137.494221,40.965173,0.000000,0,0,836,2,5,4,0,0,0
xpu,AlbertForQuestionAnswering,8,1.024404,378.891852,43.925363,0.000000,0,0,395,1,4,4,0,0,0
xpu,BlenderbotSmallForCausalLM,256,1.241120,149.072705,16.932818,0.000000,0,0,59,5,7,5,0,0,0
xpu,PegasusForConditionalGeneration,64,1.096898,171.526460,26.450132,0.000000,0,0,119,9,10,6,0,0,0
xpu,Qwen/Qwen3-0.6B,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,T5ForConditionalGeneration,4,1.769037,61.736174,47.913850,0.000000,0,0,847,1,4,4,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,1.058696,172.920964,60.407287,0.000000,0,0,1087,1,4,4,0,0,0
xpu,YituTechConvBert,16,1.408740,91.607646,58.570439,0.000000,0,0,650,1,4,4,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,1.281293,135.264419,25.473589,0.000000,0,0,121,9,10,6,0,0,0
xpu,T5Small,4,1.774347,61.485051,5.838244,0.000000,0,0,847,1,4,4,0,0,0
xpu,MegatronBertForCausalLM,4,1.091033,66.423350,69.941978,0.000000,0,0,739,1,4,4,0,0,0
xpu,google/gemma-2-2b,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,M2M100ForConditionalGeneration,16,1.173719,72.563140,45.027537,0.000000,0,0,124,8,8,6,0,0,0
xpu,meta-llama/Llama-3.2-1B,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,openai/whisper-tiny,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,TrOCRForCausalLM,32,1.145307,89.458771,14.608092,0.000000,0,0,57,5,6,5,0,0,0
xpu,DistilBertForMaskedLM,128,1.196873,59.859471,35.322654,0.000000,0,0,160,1,4,4,0,0,0
xpu,MBartForCausalLM,4,0.930158,71.391888,13.730362,0.000000,0,0,63,6,7,5,0,0,0
xpu,AllenaiLongformerBase,4,1.729304,109.091453,86.383123,0.000000,0,0,1780,4,8,5,0,0,0
xpu,XGLMForCausalLM,8,1.412818,54.150050,19.083229,0.000000,0,0,68,5,6,5,0,0,0
xpu,MBartForConditionalGeneration,4,0.921758,160.867016,14.407410,0.000000,0,0,131,10,9,6,0,0,0
xpu,DistilBertForQuestionAnswering,512,1.220418,169.529727,34.414715,0.000000,0,0,168,1,4,4,0,0,0
xpu,BartForCausalLM,4,0.943953,69.995473,12.247286,0.000000,0,0,63,6,7,5,0,0,0
xpu,MegatronBertForQuestionAnswering,16,1.113453,180.211527,69.992994,0.000000,0,0,740,1,4,4,0,0,0
xpu,BartForConditionalGeneration,4,0.937708,155.926616,13.340977,0.000000,0,0,127,10,10,6,0,0,0
xpu,DistillGPT2,16,1.552562,56.078105,25.901430,0.000000,0,0,292,2,7,5,0,0,0
xpu,BertForMaskedLM,16,1.106706,75.812102,32.420315,0.000000,0,0,315,1,4,4,0,0,0
xpu,ElectraForCausalLM,32,1.547177,51.240576,46.787515,0.000000,0,0,322,1,4,4,0,0,0
xpu,MobileBertForMaskedLM,128,1.393148,93.529992,103.929374,0.000000,0,0,1307,1,4,4,0,0,0
xpu,MobileBertForQuestionAnswering,256,1.224091,113.377389,102.917013,0.000000,0,0,1311,1,4,4,0,0,0
xpu,OPTForCausalLM,2,0.887931,75.198265,13.679961,0.000000,0,0,58,4,7,5,0,0,0
