dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,get_fake_value,create_proxy,wrap_to_fake_tensor_and_record,variable_builder_call,compile_attempt_1,build_guards,gc,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,CacheBase.get_system.triton_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,PyCodeCache.load_by_key_path,StaticAutotunerFuture.warm_precompile,async_compile.wait,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,async_compile.precompile,TritonBundler.collect,CachingAutotuner.benchmark_all_configs
xpu,GoogleFnet,16,2.763931,2.636617,0.771812,0.154519,0.055756,0.049918,0.215582,0.013258,1.818878,0.587224,0.146120,1.031404,0.032605,0.000971,0.000459,0.018669,0.003928,0.000412,0.123643,0.000083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xpu,PLBartForCausalLM,8,6.329201,6.223967,0.699433,0.162992,0.048903,0.044174,0.170513,0.012752,5.484083,0.598969,0.151437,1.043022,0.007003,0.000054,0.000596,0.000031,3.683731,0.138547,3.040011,0.733034,0.006371,0.017553,0.304426,0.001865,2.306158,2.299464,0.102789,0.128775,0.002301,0.000156,0.000051,0.001713,0.000024,0.000018,0.040467,0.007888,0.001010,0.001161,0.025846,0.000087,0.000965,0.000049,0.000040,0.485556,1.321220,1.321168,0.935921,0.388387,0.202472,0.512659,0.029299,0.384230,0.372007,0.002235,0.102070,0.000117,0.355645,0,0,0,0,0
xpu,ElectraForQuestionAnswering,128,12.289265,12.107384,1.334650,0.320862,0.090185,0.092622,0.344327,0.022213,10.702576,0.810098,0.148880,1.084179,0.009063,0.000052,0.000969,0.000032,8.507032,0.322271,6.955474,0.974903,0.016613,0.059497,0.676875,0.004953,5.978643,5.962070,0.257892,0.645557,0.006414,0.000376,0.000047,0.005390,0.000030,0.000014,0.231020,0.017057,0.002801,0.003345,0.069625,0.000113,0.002560,0.000058,0.000041,1.533487,2.953128,2.953072,2.646209,0.904505,0.383410,1.669378,0.063116,0.305365,0.281752,0.005603,0.176452,0.000058,1.294355,0,0,0,0,0
xpu,BertForQuestionAnswering,32,12.336818,12.157226,1.297904,0.297270,0.088475,0.087215,0.334160,0.021181,10.790847,0.595318,0.152084,1.095212,0.008947,0.000055,0.000969,0.000030,8.596848,0.314892,7.079027,0.949274,0.016422,0.057466,0.657321,0.004838,6.128042,6.111663,0.252445,0.643128,0.006245,0.000371,0.000049,0.006196,0.000030,0.000014,0.229499,0.016613,0.002764,0.003294,0.067561,0.000106,0.002590,0.000062,0.000042,1.499855,3.170833,3.170778,2.629375,0.891884,0.386419,1.666100,0.062267,0.539980,0.517085,0.005256,0.173141,0.001172,1.150254,0,0,0,0,0
xpu,RobertaForCausalLM,16,12.717465,12.523634,1.338810,0.311540,0.091103,0.091219,0.345197,0.022883,11.113694,0.813739,0.150003,1.056437,0.009335,0.000053,0.000965,0.000030,8.951977,0.320006,7.420617,0.901996,0.017544,0.043230,0.621422,0.004907,6.516811,6.499952,0.254361,0.633838,0.006313,0.000382,0.000054,0.005593,0.000030,0.000014,0.220904,0.016971,0.002850,0.003328,0.069385,0.000118,0.002575,0.000061,0.000042,1.544818,3.512574,3.512520,2.723915,0.948369,0.387345,1.703557,0.062763,0.787108,0.764155,0.005418,0.187311,0.001230,1.101096,0,0,0,0,0
xpu,AlbertForMaskedLM,4,13.977271,13.905082,1.074601,0.345785,0.071481,0.015359,0.087155,0.016599,12.795046,0.602319,0.152299,1.085670,0.009077,0.000052,0.000880,0.000030,11.025172,0.320429,9.358011,0.680762,0.015892,0.059101,0.383307,0.005070,8.675829,8.662907,0.257797,0.626366,0.006252,0.000377,0.000051,0.004887,0.000030,0.000014,0.215427,0.017998,0.002639,0.003110,0.066412,0.000110,0.002552,0.000062,0.000044,1.284467,6.243481,6.243429,3.010815,1.245677,0.474043,1.705516,0.056137,3.231156,3.213687,0.007544,0.067462,0.000892,1.456383,0,0,0,0,0
xpu,MT5ForConditionalGeneration,16,19.676881,19.441216,2.424242,0.691009,0.212005,0.090008,0.414305,0.056866,16.897016,0.819874,0.148937,1.044376,0.021085,0.000065,0.002994,0.000243,14.709482,0.834941,11.505218,1.398319,0.037496,0.345098,0.758409,0.000552,10.104071,10.079948,0.363672,0.683728,0.009852,0.000555,0.000047,0.009583,0.000036,0.000015,0.126168,0.006029,0.004027,0.004827,0.098239,0.000112,0.003761,0.000074,0.000044,2.126371,6.201259,6.201205,6.041095,3.166995,2.008702,2.747365,0.116533,0.157490,0.125779,0.007316,0.225719,0.000068,1.142752,0,0,0,0,0
xpu,LayoutLMForMaskedLM,16,11.071592,10.878453,1.350341,0.320646,0.104301,0.091709,0.346463,0.026747,9.452901,0.791958,0.146445,1.047331,0.010255,0.000052,0.001126,0.000035,7.314208,0.324179,5.831366,0.908412,0.016939,0.037320,0.638265,0.003858,4.921368,4.907418,0.191662,0.224682,0.004767,0.000291,0.000048,0.004833,0.000030,0.000014,0.068042,0.016379,0.002117,0.002299,0.049894,0.000106,0.001885,0.000051,0.000042,1.177370,2.805367,2.805311,1.946471,0.693804,0.302789,1.182586,0.060224,0.857478,0.836332,0.003208,0.186108,0.001223,0.516421,0,0,0,0,0
xpu,XLNetLMHeadModel,8,27.098935,26.871948,2.365971,0.867730,0.160017,0.164241,0.529745,0.044599,24.395074,0.796709,0.147142,1.082930,0.015055,0.000049,0.002032,0.000035,22.019759,1.129034,17.280213,3.079980,0.053416,0.120160,1.991482,0.294738,14.195367,14.145701,0.837827,0.741931,0.022268,0.001155,0.000047,0.012462,0.000031,0.000014,0.194309,0.024404,0.008907,0.011029,0.222964,0.000114,0.007852,0.000078,0.000043,4.257578,7.092913,7.092852,6.866216,2.164750,0.963035,4.527694,0.155366,0.224318,0.179534,0.005589,0.217529,0.000383,1.230354,0,0,0,0,0
xpu,DebertaV2ForMaskedLM,2,24.229085,23.934602,2.337732,0.545706,0.210311,0.170387,0.603124,0.279985,21.230790,0.596561,0.150235,1.100845,0.017118,0.000052,0.002640,0.000035,18.977259,0.631436,16.053549,1.666932,0.036298,0.090052,1.016754,0.009203,14.383795,14.353903,0.469138,1.232367,0.011385,0.000633,0.000045,0.011162,0.000030,0.000014,0.433685,0.030980,0.005058,0.074826,0.128075,0.000120,0.004628,0.000068,0.000042,2.164050,9.413923,9.413864,4.718657,1.871118,0.686446,2.712527,0.118428,4.693183,4.654889,0.003944,0.282436,0.000776,0.602558,0,0,0,0,0
xpu,GPT2ForSequenceClassification,4,11.346916,11.029747,2.305958,0.445475,0.198228,0.136564,0.518135,0.049426,8.598988,0.592630,0.149135,1.084093,0.011245,0.000057,0.001309,0.000031,6.440322,0.221992,5.224844,0.681593,0.009544,0.038719,0.434425,0.003564,4.541986,4.531357,0.168496,0.192906,0.003899,0.000268,0.000048,0.002650,0.000024,0.000015,0.060750,0.012838,0.001693,0.001953,0.042742,0.000102,0.001828,0.000056,0.000040,0.873745,2.900056,2.900002,2.663545,1.481778,0.867700,1.124542,0.050013,0.263627,0.232088,0.005354,0.305153,0.001071,0.674113,0.038778,0.001587,0.000640,0.005911,0
xpu,RobertaForQuestionAnswering,32,12.140137,11.949057,1.340986,0.318147,0.090472,0.089910,0.340297,0.021811,10.538097,0.821120,0.145948,1.048419,0.009249,0.000054,0.000949,0.000031,8.374658,0.326114,6.814673,0.661813,0.017406,0.055004,0.368331,0.004991,6.151098,6.134418,0.256536,0.645588,0.006486,0.000394,0.000051,0.006444,0.000032,0.000014,0.228853,0.016581,0.002838,0.003120,0.069949,0.000109,0.002589,0.000062,0.000040,1.496475,3.177961,3.177906,2.640548,0.903822,0.390549,1.663576,0.064055,0.535843,0.512765,0.005424,0.185188,0.000391,1.161469,0,0,0,0,0
