dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,GoogleFnet,16,1.221621,203.137311,3.863216,0.000000,0,0,232,1,4,4,0,0,0
xpu,PLBartForCausalLM,8,0.981864,74.554754,15.791528,0.000000,0,0,63,6,7,5,0,0,0
xpu,RobertaForCausalLM,16,1.272867,83.584619,36.662590,0.000000,0,0,328,1,4,4,0,0,0
xpu,BertForQuestionAnswering,32,1.023118,129.794709,36.549872,0.000000,0,0,322,1,4,4,0,0,0
xpu,ElectraForQuestionAnswering,128,1.193397,141.135209,46.840551,0.000000,0,0,323,1,4,4,0,0,0
xpu,PLBartForConditionalGeneration,8,0.984402,166.053844,17.015441,0.000000,0,0,134,10,9,7,0,0,0
xpu,AlbertForMaskedLM,4,1.028525,175.417848,49.754611,0.000000,0,0,395,1,4,4,0,0,0
xpu,LayoutLMForMaskedLM,16,1.393823,84.116447,35.865785,0.000000,0,0,420,1,4,4,0,0,0
xpu,DebertaV2ForMaskedLM,2,1.080785,71.458230,58.875611,0.000000,0,0,1080,1,4,4,0,0,0
xpu,PegasusForCausalLM,32,1.055255,46.110477,14.985409,0.000000,0,0,59,5,7,5,0,0,0
xpu,RobertaForQuestionAnswering,32,1.034487,125.897344,31.905794,0.000000,0,0,329,1,4,4,0,0,0
xpu,BlenderbotForCausalLM,4,1.056580,60.142862,16.104390,0.000000,0,0,61,6,7,5,0,0,0
xpu,XLNetLMHeadModel,8,0.763910,299.355578,81.596248,0.000000,0,0,770,1,4,4,0,0,0
xpu,GPT2ForSequenceClassification,4,1.028598,58.786020,36.789685,0.000000,0,0,1078,2,5,4,0,0,0
xpu,MT5ForConditionalGeneration,16,1.926258,44.293583,96.335963,0.000000,0,0,1432,1,4,4,0,0,0
xpu,LayoutLMForSequenceClassification,32,1.469911,138.475708,40.766214,0.000000,0,0,836,2,5,4,0,0,0
xpu,AlbertForQuestionAnswering,8,1.039337,345.842526,43.321073,0.000000,0,0,395,1,4,4,0,0,0
xpu,BlenderbotSmallForCausalLM,256,1.128848,141.484539,16.801001,0.000000,0,0,59,5,7,5,0,0,0
xpu,PegasusForConditionalGeneration,64,1.056737,167.407676,25.992424,0.000000,0,0,120,9,10,6,0,0,0
xpu,Qwen/Qwen3-0.6B,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,DebertaV2ForQuestionAnswering,8,1.023090,170.887983,59.588061,0.000000,0,0,1087,1,4,4,0,0,0
xpu,T5ForConditionalGeneration,4,1.917721,62.425269,53.097179,0.000000,0,0,997,1,4,4,0,0,0
xpu,BlenderbotSmallForConditionalGeneration,128,1.210780,133.668362,25.434974,0.000000,0,0,123,9,11,7,0,0,0
xpu,YituTechConvBert,16,1.363829,90.132235,59.716281,0.000000,0,0,650,1,4,4,0,0,0
xpu,T5Small,4,1.908231,63.238862,8.113805,0.000000,0,0,997,1,4,4,0,0,0
xpu,M2M100ForConditionalGeneration,16,1.175450,71.597141,45.146970,0.000000,0,0,125,8,8,6,0,0,0
xpu,google/gemma-2-2b,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,MegatronBertForCausalLM,4,1.026501,66.459096,67.923614,0.000000,0,0,739,1,4,4,0,0,0
xpu,meta-llama/Llama-3.2-1B,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,DistilBertForMaskedLM,128,1.157199,58.904618,34.959623,0.000000,0,0,160,1,4,4,0,0,0
xpu,openai/whisper-tiny,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,TrOCRForCausalLM,32,1.033359,90.251275,14.654356,0.000000,0,0,57,5,6,5,0,0,0
xpu,MBartForCausalLM,4,0.906294,70.792343,13.157048,0.000000,0,0,63,6,7,5,0,0,0
xpu,AllenaiLongformerBase,4,1.414933,127.742274,83.912613,0.000000,0,0,1780,4,8,5,0,0,0
xpu,XGLMForCausalLM,8,1.474330,53.455202,16.794601,0.000000,0,0,69,5,6,5,0,0,0
xpu,MBartForConditionalGeneration,4,0.898415,160.520245,15.885688,0.000000,0,0,132,10,9,6,0,0,0
xpu,BartForCausalLM,4,0.905669,69.773334,11.149644,0.000000,0,0,63,6,7,5,0,0,0
xpu,DistilBertForQuestionAnswering,512,1.207470,164.724842,33.832913,0.000000,0,0,168,1,4,4,0,0,0
xpu,MegatronBertForQuestionAnswering,16,1.046648,185.123338,68.352963,0.000000,0,0,740,1,4,4,0,0,0
xpu,BartForConditionalGeneration,4,0.884343,159.257698,14.426483,0.000000,0,0,129,10,11,7,0,0,0
xpu,DistillGPT2,16,1.452895,54.539309,23.674331,0.000000,0,0,292,2,7,5,0,0,0
xpu,BertForMaskedLM,16,1.051728,75.394494,33.616634,0.000000,0,0,315,1,4,4,0,0,0
xpu,ElectraForCausalLM,32,1.419697,52.212827,47.519338,0.000000,0,0,322,1,4,4,0,0,0
xpu,MobileBertForMaskedLM,128,1.373354,93.323065,102.957208,0.000000,0,0,1307,1,4,4,0,0,0
xpu,MobileBertForQuestionAnswering,256,1.158221,108.526468,102.193223,0.000000,0,0,1311,1,4,4,0,0,0
xpu,OPTForCausalLM,2,0.846839,75.880331,13.678441,0.000000,0,0,58,4,7,5,0,0,0
