dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,CacheBase.get_system.triton_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,compile_fx.<locals>.fw_compiler_base,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,compile_fx_inner,fx_codegen_and_compile,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.reorder_for_locality,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,PyCodeCache.load_by_key_path,async_compile.precompile,async_compile.wait,TritonBundler.collect,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile,aot_trace_joint_graph,min_cut_rematerialization_partition,CachingAutotuner.benchmark_all_configs,backward._backward_impl,compile_fx.<locals>.bw_compiler
xpu,GoogleFnet,16,10.752676,0.803348,1.474144,0.429683,9.445974,0.100150,0.104355,0.493452,0.002325,0.273799,0.013436,8.690624,0.789274,0.146467,1.061201,0.009221,0.000055,0.000655,0.000031,6.666163,0.188938,1.159032,0.523951,0.009845,0.047243,0.196772,0.013508,0.606593,4.037341,10.931486,10.911612,0.328536,0.678138,0.000519,0.000079,0.003582,0.000048,0.000028,0.103748,0.089323,0.003297,0.003896,0.229616,0.000210,0.003341,0.000101,0.000077,1.856964,7.315179,7.315065,6.387991,2.376465,1.279282,3.850504,0.146333,0.923972,0.890930,0.008827,1.495065,6.979412,6.894780,0,0,0,0,0,0
xpu,PLBartForCausalLM,8,11.109840,10.662158,1.199457,0.322824,0.102022,0.045485,0.044573,0.315055,0.012568,0.200132,0.008305,9.434794,0.586737,0.143407,1.071930,0.007231,0.000221,0.000502,0.000168,7.697189,0.108780,0.306874,1.637299,0.003458,0.014407,1.218671,0.001766,0.097408,5.441716,9.063298,9.054012,0.088980,0.169004,0.000423,0.000273,0.001234,0.000189,0.000127,0.039992,0.024540,0.001063,0.001330,0.023102,0.000719,0.001313,0.000422,0.000366,0.516174,7.950870,7.950429,1.985401,0.855072,0.414957,1.082432,0.037794,5.958880,0.993390,4.943971,0.015782,3.566645,0.000233,3.654947,3.627725,0,0,0,0
xpu,RobertaForCausalLM,16,21.296982,1.360727,2.739296,0.706897,19.675527,0.168756,0.183138,0.247179,0.001956,0.517951,0.021619,18.183334,0.589881,0.146269,1.027401,0.009203,0.000050,0.000966,0.000029,16.278492,0.376249,2.666047,2.295015,0.031615,0.096262,1.715990,0.013800,1.056204,9.582788,18.892431,18.854819,0.659212,1.279536,0.000909,0.000078,0.007578,0.000061,0.000028,0.255173,0.341549,0.006748,0.008055,0.166206,0.000203,0.006401,0.000126,0.000081,3.693191,11.927352,11.927225,11.343715,5.544719,3.393344,5.512173,0.259464,0.579559,0.520853,0.016175,3.802338,9.461305,9.310468,0,0,0,0,0,0
xpu,BertForQuestionAnswering,32,21.001322,1.328962,2.676683,0.877158,19.417197,0.165270,0.368204,0.242294,0.001842,0.509077,0.020770,17.955253,0.592312,0.147945,1.083193,0.008875,0.000055,0.000949,0.000030,15.992029,0.371487,2.648357,1.704970,0.030535,0.094197,1.138401,0.013340,1.128708,9.842572,21.095691,21.055729,0.655879,1.277488,0.000906,0.000080,0.007857,0.000054,0.000027,0.262385,0.333852,0.006681,0.008017,0.168785,0.000208,0.006362,0.000120,0.000081,3.698988,14.098020,14.097903,11.421467,5.573710,3.408128,5.562390,0.258229,2.672341,2.613406,0.018652,4.668328,11.402756,11.254008,0,0,0,0,0,0
xpu,ElectraForQuestionAnswering,128,30.596035,1.374774,2.757374,0.911451,28.967893,0.167943,0.384579,0.240590,0.001877,0.528477,0.021389,27.471002,0.593919,0.151460,1.087692,0.009421,0.000054,0.000985,0.000030,25.495773,0.382716,2.677965,1.695902,0.030853,0.096638,1.122976,0.013174,1.122365,19.316452,29.266638,29.228729,0.661216,1.287729,0.000932,0.000080,0.007418,0.000055,0.000029,0.264179,0.337854,0.006772,0.008156,0.167931,0.000211,0.006470,0.000119,0.000081,3.662657,22.289956,22.289839,11.332434,5.400319,3.239830,5.634803,0.269875,10.953112,10.891018,0.020228,4.954529,10.103011,9.951038,0,0,0,0,0,0
xpu,PLBartForConditionalGeneration,8,11.202705,7.952192,2.056847,0.773058,2.736401,0.066848,0.089121,0.472493,0.015521,0.281499,0.015068,8.443607,0.593075,0.144123,1.030318,0.007261,0.000165,0.000538,0.000142,6.645312,0.154846,5.194983,0.699007,0.008206,0.027641,0.221020,0.003596,8.427153,8.413344,0.180458,0.345864,0.000150,0.000500,0.000260,0.002536,0.000178,0.000117,0.075594,0.070237,0.001929,0.002247,0.049073,0.000684,0.001969,0.000389,0.000337,1.270687,6.115977,6.115555,3.312418,1.506800,0.741050,1.719109,0.072704,2.809991,1.127545,1.644158,0.014531,0.035967,0.001906,0.000821,0.004909,0.640492,0.200845,1.245411,3.656555,3.608798
xpu,DebertaV2ForMaskedLM,2,34.341524,2.540136,4.696643,1.426118,31.425530,0.405808,0.351908,0.345204,0.001631,1.003820,0.053428,29.068387,0.825370,0.146785,1.094684,0.017136,0.000054,0.002535,0.000037,26.606145,0.657784,4.597506,2.868334,0.062447,0.194422,1.600968,0.025564,1.816585,16.108625,34.353521,34.278599,1.207458,3.038780,0.001564,0.000079,0.013912,0.000064,0.000030,0.948050,0.675808,0.012056,0.184636,0.318978,0.000219,0.011842,0.000138,0.000082,6.723086,20.851400,20.851269,20.465891,8.896568,5.326149,10.924196,0.592560,0.379280,0.268608,0.014460,2.554405,18.539679,18.246291,0,0,0,0,0,0
xpu,MT5ForConditionalGeneration,16,49.150956,2.300240,4.613269,0.843512,46.544696,0.354950,0.187011,0.281399,0.001934,1.201580,0.046270,44.080196,0.583653,0.145064,1.058588,0.018569,0.000066,0.002450,0.000034,42.123718,1.067147,4.669018,2.876436,0.078026,0.161446,1.550864,0.004573,1.783818,31.189047,45.223816,45.155267,1.195728,2.076966,0.001537,0.000077,0.019745,0.000066,0.000029,0.499784,0.018388,0.010871,0.013391,0.704546,0.000215,0.010857,0.000144,0.000080,5.717658,34.107071,34.106940,15.581315,7.674130,5.393490,7.441062,0.421767,18.519806,18.426008,0.023597,3.426353,14.319940,14.036003,0,0,0,0,0,0
xpu,LayoutLMForMaskedLM,16,20.821420,1.361912,2.750655,0.903033,19.206563,0.194334,0.185312,0.239432,0.002318,0.527695,0.024633,17.699136,0.585202,0.144222,1.051204,0.009941,0.000053,0.001174,0.000033,16.682172,0.478396,3.230823,3.026956,0.031641,0.091301,2.461370,0.013770,1.039213,8.404263,18.525426,18.486932,0.655634,1.258960,0.000887,0.000076,0.007194,0.000056,0.000028,0.248447,0.333007,0.006752,0.007875,0.164640,0.000184,0.006489,0.000117,0.000081,3.713763,11.530027,11.529902,10.754176,4.469576,2.262349,5.983555,0.272763,0.771733,0.709842,0.012976,2.215903,10.276690,10.122021,0,0,0,0,0,0
xpu,AlbertForMaskedLM,4,21.518364,1.072167,1.964395,0.170730,20.311182,0.130226,0.035818,0.123213,0.002492,0.545503,0.015510,19.352851,0.802913,0.147836,1.098972,0.008861,0.000047,0.000866,0.000029,17.369654,0.381380,2.436815,1.279670,0.030971,0.091020,0.854535,0.015183,0.966973,12.028483,31.142461,31.111619,0.557540,1.864378,0.000838,0.000075,0.006200,0.000053,0.000028,0.251226,0.956637,0.005862,0.006985,0.149716,0.000202,0.005579,0.000119,0.000078,2.966538,24.900661,24.900547,10.333725,5.486172,3.680530,4.656760,0.176899,14.562591,14.520967,0.029529,6.174633,19.639004,19.114682,0,0,0,0,0,0
