dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,jx_nest_base,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,repvgg_a2,128,1.601196,62.870544,53.881664,0.000000,0,0,231,1,6,5,0,0,0
xpu,gernet_l,128,1.548238,62.470050,57.763660,0.000000,0,0,246,1,6,5,0,0,0
xpu,convnext_base,64,1.075392,115.464013,72.364749,0.000000,0,0,455,1,6,5,0,0,0
xpu,dm_nfnet_f0,128,1.963829,77.988495,80.933660,0.000000,0,0,590,1,6,5,0,0,0
xpu,mobilenetv3_large_100,512,1.730251,148.338905,86.409275,0.000000,0,0,232,1,6,5,0,0,0
xpu,tinynet_a,128,1.292689,68.008533,101.572710,0.000000,0,0,342,1,6,5,0,0,0
xpu,sebotnet33ts_256,64,1.778010,54.745804,100.853013,0.000000,0,0,368,2,6,5,0,0,0
xpu,lcnet_050,256,1.942204,25.859480,48.832493,0.000000,0,0,125,1,6,5,0,0,0
xpu,convnextv2_nano.fcmae_ft_in22k_in1k,128,1.756969,80.678951,52.954884,0.000000,0,0,289,1,6,5,0,0,0
xpu,adv_inception_v3,128,2.299973,102.183514,134.167201,0.000000,0,0,408,1,6,5,0,0,0
xpu,selecsls42b,128,1.182742,64.071903,66.072948,0.000000,0,0,174,1,6,5,0,0,0
xpu,beit_base_patch16_224,64,1.044719,105.956365,40.520306,0.000000,0,0,371,1,6,5,0,0,0
xpu,tnt_s_patch16_224,128,1.636965,149.072449,84.389733,0.000000,0,0,787,1,6,5,0,0,0
xpu,crossvit_9_240,256,1.580220,75.772742,61.767953,0.000000,0,0,487,1,6,5,0,0,0
xpu,levit_128,1024,1.469348,144.150121,92.622749,0.000000,0,0,616,1,6,5,0,0,0
xpu,mobilevit_s,64,1.217125,76.466668,110.167429,0.000000,0,0,359,2,6,5,0,0,0
xpu,ghostnet_100,512,1.993428,161.250073,156.485888,0.000000,0,0,401,1,6,5,0,0,0
xpu,mixer_b16_224,128,1.480172,92.356579,30.328090,0.000000,0,0,199,1,6,5,0,0,0
xpu,res2net101_26w_4s,128,1.446034,183.419549,184.555129,0.000000,0,0,973,1,6,5,0,0,0
xpu,spnasnet_100,128,1.504632,50.133471,79.241537,0.000000,0,0,252,1,6,5,0,0,0
xpu,botnet26t_256,128,1.887999,66.637612,76.727068,0.000000,0,0,260,1,6,5,0,0,0
xpu,nfnet_l0,128,2.033603,62.628345,69.913204,0.000000,0,0,521,1,6,5,0,0,0
xpu,twins_pcpvt_base,128,1.358841,128.088308,90.117919,0.000000,0,0,851,1,6,5,0,0,0
xpu,cspdarknet53,64,1.474365,63.555283,86.778653,0.000000,0,0,320,1,6,5,0,0,0
