dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,repvgg_a2,128,1.563492,56.667286,53.528109,0.000000,0,0,231,1,6,5,0,0,0
xpu,jx_nest_base,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,gernet_l,128,1.551857,58.276972,58.201976,0.000000,0,0,246,1,6,5,0,0,0
xpu,convnext_base,64,1.045189,108.990212,73.979967,0.000000,0,0,455,1,6,5,0,0,0
xpu,mobilenetv3_large_100,512,1.630535,155.940883,91.032612,0.000000,0,0,232,1,6,5,0,0,0
xpu,dm_nfnet_f0,128,2.080288,68.745597,83.782897,0.000000,0,0,590,1,6,5,0,0,0
xpu,tinynet_a,128,1.493850,54.987592,100.056505,0.000000,0,0,342,1,6,5,0,0,0
xpu,sebotnet33ts_256,64,1.699970,53.804308,102.058832,0.000000,0,0,368,2,6,5,0,0,0
xpu,lcnet_050,256,1.921562,24.732299,48.101346,0.000000,0,0,125,1,6,5,0,0,0
xpu,adv_inception_v3,128,2.258542,102.286822,132.921002,0.000000,0,0,408,1,6,5,0,0,0
xpu,convnextv2_nano.fcmae_ft_in22k_in1k,128,1.667917,79.041933,52.700414,0.000000,0,0,289,1,6,5,0,0,0
xpu,selecsls42b,128,1.123956,61.588628,65.585565,0.000000,0,0,174,1,6,5,0,0,0
xpu,beit_base_patch16_224,64,0.866569,116.938763,40.271918,0.000000,0,0,371,1,6,5,0,0,0
xpu,crossvit_9_240,256,1.539997,68.666334,61.868811,0.000000,0,0,487,1,6,5,0,0,0
xpu,levit_128,1024,1.446432,133.129692,90.981795,0.000000,0,0,616,1,6,5,0,0,0
xpu,tnt_s_patch16_224,128,1.554223,142.922456,83.788759,0.000000,0,0,787,1,6,5,0,0,0
xpu,mobilevit_s,64,1.180523,74.120292,109.695263,0.000000,0,0,359,2,6,5,0,0,0
xpu,ghostnet_100,512,1.924641,167.590883,152.159074,0.000000,0,0,401,1,6,5,0,0,0
xpu,res2net101_26w_4s,128,1.424141,170.318118,184.792044,0.000000,0,0,973,1,6,5,0,0,0
xpu,mixer_b16_224,128,1.436952,94.744993,30.364111,0.000000,0,0,199,1,6,5,0,0,0
xpu,spnasnet_100,128,1.502073,47.683292,78.844223,0.000000,0,0,252,1,6,5,0,0,0
xpu,botnet26t_256,128,1.751070,65.801191,75.570400,0.000000,0,0,260,1,6,5,0,0,0
xpu,nfnet_l0,128,2.018839,60.311906,72.414436,0.000000,0,0,521,1,6,5,0,0,0
xpu,cspdarknet53,64,1.425130,62.638811,87.212011,0.000000,0,0,320,1,6,5,0,0,0
xpu,twins_pcpvt_base,128,1.326479,119.345816,89.648583,0.000000,0,0,851,1,6,5,0,0,0
xpu,dpn107,64,1.454483,184.840582,204.961789,0.000000,0,0,630,1,6,5,0,0,0
xpu,deit_base_distilled_patch16_224,64,1.208178,57.596769,23.677625,0.000000,0,0,267,1,6,5,0,0,0
xpu,pit_b_224,64,1.247929,61.921342,36.980202,0.000000,0,0,306,1,6,5,0,0,0
xpu,gluon_inception_v3,256,2.478283,180.048525,125.764077,0.000000,0,0,408,1,6,5,0,0,0
xpu,deit_tiny_patch16_224.fb_in1k,128,1.657154,24.534989,23.908919,0.000000,0,0,263,1,6,5,0,0,0
xpu,visformer_small,128,1.378259,72.149097,53.802140,0.000000,0,0,319,1,6,5,0,0,0
xpu,swin_base_patch4_window7_224,64,1.309523,125.642851,113.342897,0.000000,0,0,1438,1,6,5,0,0,0
xpu,cait_m36_384,4,1.589878,131.190264,110.458353,0.000000,0,0,1255,1,6,5,0,0,0
xpu,eca_botnext26ts_256,128,1.602303,76.493122,80.922967,0.000000,0,0,295,1,6,5,0,0,0
xpu,gmixer_24_224,128,1.954287,67.815688,46.798920,0.000000,0,0,583,1,6,5,0,0,0
xpu,res2net50_14w_8s,128,1.652933,111.816401,184.332813,0.000000,0,0,848,1,6,5,0,0,0
xpu,mixnet_l,128,1.144405,143.512176,187.593709,0.000000,0,0,579,1,6,5,0,0,0
xpu,vit_base_patch14_dinov2.lvd142m,128,1.089484,1296.400079,28.279375,0.000000,0,0,286,1,6,5,0,0,0
xpu,gmlp_s16_224,128,1.734063,100.923973,49.418591,0.000000,0,0,457,1,6,5,0,0,0
xpu,dla102,128,2.044646,96.835020,96.851612,0.000000,0,0,485,1,6,5,0,0,0
xpu,vit_base_patch16_224,64,1.151775,59.069210,25.489761,0.000000,0,0,263,1,6,5,0,0,0
xpu,swsl_resnext101_32x16d,32,1.443615,105.191229,80.201884,0.000000,0,0,449,1,6,5,0,0,0
xpu,coat_lite_mini,128,1.161816,75.674058,90.971520,0.000000,0,0,452,1,6,5,0,0,0
xpu,eca_halonext26ts,128,1.117586,115.460324,91.208314,0.000000,0,0,318,1,6,5,0,0,0
xpu,mnasnet_100,512,1.781509,155.718931,64.693822,0.000000,0,0,205,2,6,5,0,0,0
xpu,vit_base_patch16_siglip_256,128,1.393761,148.187343,28.922242,0.000000,0,0,283,1,6,5,0,0,0
xpu,res2next50,128,1.514119,116.288535,112.699755,0.000000,0,0,480,1,6,5,0,0,0
xpu,ese_vovnet19b_dw,256,1.540353,108.435745,60.982356,0.000000,0,0,134,2,6,5,0,0,0
xpu,resmlp_12_224,128,1.322905,39.026137,27.367998,0.000000,0,0,175,1,6,5,0,0,0
xpu,mobilenetv2_100,128,1.472870,52.548106,68.281893,0.000000,0,0,204,1,6,5,0,0,0
xpu,tf_efficientnet_b0,128,1.395860,72.466032,93.793596,0.000000,0,0,293,1,6,5,0,0,0
xpu,volo_d1_224,64,1.846828,69.426243,70.620600,0.000000,0,0,508,1,6,5,0,0,0
xpu,convit_base,64,1.823048,124.574036,107.159558,0.000000,0,0,1142,3,7,5,0,0,0
xpu,pnasnet5large,16,1.269684,187.023252,291.468052,0.000000,0,0,1157,1,6,5,0,0,0
xpu,fbnetc_100,512,1.745392,198.051173,80.777433,0.000000,0,0,258,2,6,5,0,0,0
xpu,convmixer_768_32,32,1.829137,129.266766,52.034224,0.000000,0,0,296,1,6,5,0,0,0
xpu,xcit_large_24_p8_224,16,2.331510,193.064804,132.561627,0.000000,0,0,1141,2,6,5,0,0,0
xpu,resnest101e,64,1.388015,116.238268,159.263991,0.000000,0,0,1024,1,6,5,0,0,0
xpu,tf_mixnet_l,128,1.130932,153.681693,160.664477,0.000000,0,0,594,1,6,5,0,0,0
xpu,hrnet_w18,128,1.473137,197.933770,291.678658,0.000000,0,0,1471,1,6,5,0,0,0
xpu,poolformer_m36,64,1.741822,94.082541,145.302978,0.000000,0,0,550,1,6,5,0,0,0
xpu,fbnetv3_b,256,1.361742,154.762109,121.302902,0.000000,0,0,455,1,6,5,0,0,0
xpu,inception_v3,128,2.325896,104.093307,18.414444,0.000000,0,0,408,1,6,5,0,0,0
xpu,regnety_002,1024,2.258318,123.897341,60.453504,0.000000,0,0,267,1,6,5,0,0,0
xpu,rexnet_100,256,1.426850,136.034336,155.486646,0.000000,0,0,332,1,6,5,0,0,0
