dev,name,batch_size,_compile.compile_inner,compile_attempt_0,bytecode_tracing,variable_builder_call,compile_attempt_1,create_proxy,wrap_to_fake_tensor_and_record,build_guards,gc,get_fake_value,insert_deferred_runtime_asserts,OutputGraph.call_user_compiler,inductor_import,inductor_codecache_torch_key,CacheBase.get_system.triton_key,_recursive_pre_grad_passes,pass.pre_grad_passes.group_batch_fusion_passes,pass.pre_grad_passes.efficient_conv_bn_eval_pass,pass.pre_grad_passes.apply_gumbel_max_trick_pass,create_aot_dispatcher_function,aot_collect_metadata,aot_trace_joint_graph,_recursive_joint_graph_passes,pass.joint_graph_passes.remove_noop_ops,pass.joint_graph_passes.constant_fold_uniform_value,pass.joint_graph_passes.pass_pattern_0,pass.joint_graph_passes.pass_pattern_1,min_cut_rematerialization_partition,compile_fx.<locals>.fw_compiler_base,compile_fx_inner,fx_codegen_and_compile,additional_fake_tensor_prop,_recursive_post_grad_passes,pass.post_grad_passes.remove_profiler_ops,pass.post_grad_passes.post_grad_custom_pre_pass,pass.post_grad_passes.remove_noop_ops,pass.post_grad_passes.remove_assert_ops,pass.post_grad_passes.pass_pattern_0,pass.post_grad_passes.pass_pattern_1,pass.post_grad_passes.pass_pattern_2,pass.post_grad_passes.stable_sort,pass.post_grad_passes.move_constructors_to_cuda,pass.post_grad_passes.reinplace_inplaceable_ops,pass.post_grad_passes.decompose_triton_kernel_wrapper_functional,pass.post_grad_passes.decompose_auto_functionalized,pass.post_grad_passes.decompose_scan_to_while_loop,pass.post_grad_passes.decompose_map_to_while_loop,GraphLowering.run,GraphLowering.compile_to_fn,GraphLowering.compile_to_module,GraphLowering.codegen,Scheduler.__init__,Scheduler.fused_nodes,Scheduler.codegen,PythonWrapperCodegen.generate,PyCodeCache.load_by_key_path,async_compile.wait,TritonBundler.collect,CachingAutotuner.benchmark_all_configs,AOTAutogradCache.inductor_load,TritonBundler.read_and_emit,TritonBundler.load_cached_static_autotuners,StaticAutotunerFuture.warm_precompile,backward._backward_impl,compile_fx.<locals>.bw_compiler
xpu,repvgg_a2,128,26.754738,1.416503,2.786105,1.230305,24.936402,0.153285,0.476618,0.377611,0.003158,0.317440,0.024811,23.406986,0.720916,0.144718,1.037768,0.009995,0.000050,0.002345,0.000039,21.189052,0.277025,2.864847,0.416300,0.021704,0.118867,0.033763,0.033478,1.550832,15.695447,26.107695,26.057976,0.811861,0.955154,0.001163,0.000081,0.020134,0.000071,0.000029,0.403005,0.018720,0.007946,0.009948,0.203212,0.000213,0.007794,0.000143,0.000083,5.366986,17.149097,17.148967,16.448142,6.982243,3.369888,8.955699,0.477973,0.694442,0.622033,0.035365,7.237738,10.572599,10.413305,0,0,0,0
xpu,gernet_l,128,25.695047,1.537841,2.953728,1.235442,23.756643,0.155194,0.459631,0.376454,0.002702,0.397882,0.024382,22.179361,0.723840,0.149717,1.108155,0.010429,0.000051,0.002273,0.000034,19.898206,0.326309,2.922411,0.416370,0.023961,0.120515,0.032157,0.030811,1.581470,14.246491,26.341510,26.291004,0.847513,0.946655,0.001141,0.000085,0.020006,0.000060,0.000029,0.385938,0.016034,0.007605,0.009435,0.207726,0.000207,0.007848,0.000135,0.000081,4.771927,17.840704,17.840573,17.440346,7.232763,2.311651,9.577273,0.592253,0.393046,0.307053,0.060580,11.170099,12.272817,12.096023,0,0,0,0
xpu,convnext_base,64,25.369927,1.663950,3.195678,1.262472,23.315991,0.207428,0.306593,0.363779,0.003107,0.618248,0.032285,21.613341,0.723124,0.151551,1.094236,0.011123,0.000057,0.001426,0.000030,19.323791,0.630271,3.120923,1.021947,0.042257,0.107107,0.576261,0.020123,1.479195,12.673658,39.828851,39.775756,0.892556,1.353324,0.001158,0.000080,0.020147,0.000071,0.000029,0.344756,0.024233,0.008405,0.010559,0.596168,0.000219,0.008339,0.000148,0.000092,5.298360,29.894010,29.893882,23.583005,10.027556,5.497043,12.963416,0.546589,6.303099,6.194415,0.094426,19.207143,27.399046,27.156379,0,0,0,0
xpu,mobilenetv3_large_100,512,32.620691,1.570482,2.797648,1.100935,30.691309,0.142035,0.446788,0.338421,0.002375,0.609591,0.023705,29.321516,0.726231,0.146792,1.035241,0.009654,0.000059,0.001996,0.000034,27.147541,0.518472,2.962587,0.406314,0.022308,0.113378,0.036821,0.026027,1.195420,21.663687,45.211387,44.826717,1.114046,1.262833,0.001190,0.000081,0.021856,0.000065,0.000029,0.409282,0.016508,0.007639,0.009185,0.205227,0.000193,0.008109,0.000137,0.000080,5.968867,34.347797,34.347672,27.979014,9.150191,3.531785,17.923209,0.867743,6.343858,6.155279,0.170958,28.617613,23.751009,23.548767,0,0,0,0
xpu,dm_nfnet_f0,128,28.130115,1.675209,3.067554,0.848703,26.110151,0.212983,0.232826,0.324586,0.002438,1.001362,0.031875,24.581986,0.726580,0.148559,1.112491,0.012877,0.000053,0.002802,0.000040,22.396737,0.530479,3.531471,0.825095,0.039330,0.136769,0.364401,0.032679,1.837506,15.163853,37.574473,37.509308,1.256176,1.278232,0.001455,0.000099,0.025759,0.000075,0.000028,0.530337,0.013069,0.010072,0.013209,0.269293,0.000240,0.010120,0.000156,0.000082,7.000681,25.660365,25.660217,24.922140,10.268885,4.545313,14.000913,0.600148,0.729764,0.623905,0.122968,22.148160,22.698836,22.411804,0,0,0,0
xpu,tinynet_a,128,33.183648,1.927673,3.548154,1.408148,30.818133,0.196715,0.545415,0.411632,0.002676,0.662800,0.033406,29.019625,0.719447,0.147366,1.097997,0.011514,0.000047,0.002581,0.000040,26.658101,0.743398,3.542026,0.780140,0.034571,0.436262,0.052595,0.041517,1.586093,19.451980,50.411842,50.342437,1.406104,1.791583,0.001606,0.000080,0.032984,0.000060,0.000028,0.599546,0.024172,0.011134,0.014002,0.291431,0.000217,0.011123,0.000149,0.000080,9.590934,34.747821,34.747654,29.905556,13.190317,5.512037,15.517183,1.109559,4.828803,4.691369,0.167565,28.086344,31.252957,30.961089,0,0,0,0
xpu,sebotnet33ts_256,64,36.555542,1.840094,2.973564,1.062334,34.333865,0.169417,0.235791,0.357563,0.003770,0.702051,0.027061,33.052835,0.733700,0.153549,1.045517,0.011154,0.000087,0.002075,0.000067,30.903282,0.533268,3.087594,4.596456,0.032992,0.109750,4.202808,0.026471,1.513543,20.765650,45.142516,45.089426,1.056767,2.469279,0.001278,0.000133,0.026144,0.000114,0.000055,0.440235,0.017788,0.008341,0.010950,0.512961,0.000376,0.008506,0.000231,0.000156,6.782618,32.818678,32.818464,30.080471,15.189459,5.411934,14.230849,0.623704,2.722402,2.616567,0.134368,30.784164,24.591936,24.378262,0,0,0,0
xpu,lcnet_050,256,16.542246,0.948613,1.554347,0.567641,15.337504,0.080436,0.159743,0.242436,0.002329,0.347131,0.014186,14.625550,0.959185,0.150992,1.117217,0.007551,0.000059,0.001402,0.000039,12.304305,0.356849,1.740401,0.609922,0.015321,0.349031,0.029085,0.015108,0.589193,8.747586,23.814549,23.782773,0.974433,0.809729,0.000788,0.000079,0.014408,0.000057,0.000028,0.270654,0.010896,0.005078,0.005890,0.131556,0.000203,0.005169,0.000116,0.000078,3.720805,17.026917,17.026800,14.078502,5.753724,2.607123,7.982345,0.319971,2.939802,2.872073,0.091125,14.996483,15.208525,15.067760,0,0,0,0
xpu,adv_inception_v3,128,51.010283,2.533557,4.450464,1.802982,47.664818,0.263550,0.488959,0.773794,0.002909,0.667607,0.039620,45.479106,0.978925,0.147726,1.090147,0.014400,0.000062,0.003651,0.000036,42.684016,0.560756,6.294308,0.928261,0.075450,0.335825,0.085181,0.064451,2.863367,31.038365,65.180408,65.092949,1.656154,1.674763,0.001995,0.000094,0.036488,0.000071,0.000029,0.682013,0.028470,0.014219,0.017964,0.362816,0.000220,0.013885,0.000164,0.000082,9.840433,48.276888,48.276730,44.492922,16.952005,5.482929,26.061701,1.415714,3.768076,3.597650,0.243321,35.702212,35.769268,34.143529,0,0,0,0
xpu,convnextv2_nano.fcmae_ft_in22k_in1k,128,15.858255,0.968263,1.686900,0.584432,14.611496,0.125555,0.149476,0.262564,0.002250,0.364269,0.020543,13.778852,0.959132,0.148503,1.087741,0.008607,0.000062,0.000882,0.000030,11.494412,0.250267,1.572915,0.635315,0.018267,0.057826,0.071243,0.009405,0.453304,8.370600,25.055367,24.749474,0.489020,0.680862,0.000595,0.000078,0.011600,0.000060,0.000029,0.195477,0.008967,0.003835,0.004303,0.277640,0.000213,0.004073,0.000112,0.000080,3.340344,19.086817,19.086688,15.435647,6.640387,3.072672,8.432119,0.336852,3.645467,3.584162,0.078182,16.083899,16.804283,16.685539,0,0,0,0
