dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio,eager_peak_mem,dynamo_peak_mem,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips
xpu,torchrec_dlrm,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,detectron2_maskrcnn_r_50_c4,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,nvidia_deeprecommender,256,1.111675,5.837365,9.028465,0.000000,0,0,13,1,6,5,0,0,0
xpu,dcgan,32,0.825044,2.374433,11.663330,0.000000,0,0,16,1,6,5,0,0,0
xpu,maml_omniglot,5,0.760114,3.075029,12.773824,0.000000,0,0,17,1,6,5,0,0,0
xpu,opacus_cifar10,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,demucs,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,microbench_unbacked_tolist_sum,1,0.947900,14.919565,0.889990,0.000000,0,0,0,0,8,6,0,0,0
xpu,dlrm,1024,1.076257,3.843257,9.890025,0.000000,0,0,36,1,6,5,0,0,0
xpu,resnet18,16,1.161465,7.877867,29.551242,0.000000,0,0,89,1,6,5,0,0,0
xpu,squeezenet1_1,32,1.274156,7.289898,37.202546,0.000000,0,0,66,1,6,5,0,0,0
xpu,hf_Albert,8,1.283279,37.809079,38.600415,0.000000,0,0,369,1,5,5,0,0,0
xpu,BERT_pytorch,16,1.461511,26.810322,39.881112,0.000000,0,0,543,1,6,5,0,0,0
xpu,timm_efficientdet,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,drq,1,0.844706,3.006437,14.673710,0.000000,0,0,59,3,6,5,0,0,0
xpu,hf_T5,8,1.764756,113.178350,49.378587,0.000000,0,0,849,1,5,5,0,0,0
xpu,hf_Bart,4,1.088657,41.801491,23.068335,0.000000,0,0,113,8,9,7,0,0,0
xpu,phlippe_densenet,128,1.175647,19.028167,59.885483,0.000000,0,0,238,1,6,5,0,0,0
xpu,mnasnet1_0,32,1.145625,18.948930,64.091507,0.000000,0,0,204,1,6,5,0,0,0
xpu,resnet50,32,1.448521,22.581442,51.215245,0.000000,0,0,228,1,6,5,0,0,0
xpu,fastNLP_Bert,6,1.163084,45.348473,39.002955,0.000000,0,0,452,5,10,6,0,0,0
xpu,resnet50_quantized_qat,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,phlippe_resnet,128,1.128250,8.110353,24.375518,0.000000,0,0,90,1,6,5,0,0,0
xpu,hf_Bert,4,1.109970,30.327272,34.607486,0.000000,0,0,289,1,5,5,0,0,0
xpu,functorch_dp_cifar10,64,1.141050,6.822127,35.992762,0.000000,0,0,69,1,6,5,0,0,0
xpu,timm_efficientnet,32,1.189819,27.274519,88.699931,0.000000,0,0,288,1,6,5,0,0,0
xpu,Background_Matting,4,1.189321,142.007692,85.081693,0.000000,0,0,229,1,6,5,0,0,0
xpu,pytorch_stargan,16,1.378157,13.034737,33.030112,0.000000,0,0,56,1,6,5,0,0,0
xpu,functorch_maml_omniglot,1,0.745917,2.889762,11.309018,0.000000,0,0,14,1,6,5,0,0,0
xpu,hf_T5_base,8,1.752174,313.995635,78.140437,0.000000,0,0,1587,1,5,5,0,0,0
xpu,resnext50_32x4d,8,1.130627,17.193372,49.459472,0.000000,0,0,228,1,6,5,0,0,0
xpu,hf_T5_generate,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,sam,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,mobilenet_v2,96,1.502762,39.362396,70.562582,0.000000,0,0,205,1,6,5,0,0,0
xpu,mobilenet_v2_quantized_qat,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,densenet121,4,0.982267,54.930704,156.982091,0.000000,0,0,552,1,6,5,0,0,0
xpu,hf_Bert_large,4,1.010790,62.943964,59.981178,0.000000,0,0,553,1,5,5,0,0,0
xpu,LearningToPaint,96,1.185988,8.921844,31.012714,0.000000,0,0,92,1,6,5,0,0,0
xpu,pytorch_unet,1,1.587895,35.468159,43.555751,0.000000,0,0,89,1,6,5,0,0,0
xpu,Super_SloMo,6,1.401574,68.490542,15.613636,0.000000,0,0,378,2,6,5,0,0,0
xpu,timm_nfnet,128,1.979185,75.421541,79.711141,0.000000,0,0,590,1,6,5,0,0,0
xpu,alexnet,128,1.378776,6.812990,21.302445,0.000000,0,0,22,1,6,5,0,0,0
xpu,hf_BigBird,2,1.339248,102.400827,53.987929,0.000000,0,0,344,16,24,7,0,0,0
xpu,shufflenet_v2_x1_0,128,1.357578,24.046976,92.818847,0.000000,0,0,327,1,6,5,0,0,0
xpu,mobilenet_v3_large,32,1.140432,21.124546,81.363374,0.000000,0,0,233,1,6,5,0,0,0
xpu,basic_gnn_edgecnn,1,1.452551,8.892416,8.667118,0.000000,0,0,55,1,6,5,0,0,0
xpu,moco,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0
xpu,soft_actor_critic,256,0.706511,1.754672,7.671301,0.000000,0,0,17,2,5,5,0,0,0
